persona,model,model_label,qwen_reference_cluster,kmeans_top3_cluster,kmeans_top5_cluster,agglomerative_top3_cluster,pc1,pc2,pc3,pc1_percentile,pc2_percentile,pc3_percentile,role,match_class,include_in_analysis,matched_occupation_title,soc_code,soc_major_group,match_confidence,rationale,source_dataset,data_vintage,employment_count,annual_median_wage,annual_mean_wage,hourly_median_wage,notes_on_ambiguity,log_employment_count,log_annual_median_wage,qwen_axis_projection,axis_projection
aberration,qwen,Qwen/Qwen3-32B,mythic_spiritual,3,3,2,-47.93762578340074,-16.326007104876837,31.10838013632905,6.0,20.181818181818183,97.27272727272728,aberration,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.2497624594932278,-0.2497624594932278
absurdist,qwen,Qwen/Qwen3-32B,trickster_chaos,1,4,5,-34.38396676714598,14.551099089401372,33.406229058618166,18.0,78.0,98.36363636363636,absurdist,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.1959016240487866,-0.1959016240487866
accountant,qwen,Qwen/Qwen3-32B,editorial,0,0,3,42.247903024869096,-4.026883122006334,7.345583377065653,94.72727272727272,47.09090909090909,69.27272727272727,accountant,exact,True,Accountants and Auditors,13-2011,13-0000,high,Direct occupational title match; auditors share same SOC.,BLS OEWS national cross-industry estimates,May 2025,1449500.0,83680.0,94750.0,40.23,,14.186729227343847,11.33475527929875,0.033381450033636,0.033381450033636
activist,qwen,Qwen/Qwen3-32B,procedural_professional,6,1,6,13.519598034249274,4.204792713956154,-8.246735383817718,61.63636363636363,64.9090909090909,30.0,activist,broad,True,"Community and Social Service Specialists, All Other",21-1099,21-0000,low,"Advocacy work exists occupationally, but activist is not a specific SOC title.",BLS OEWS national cross-industry estimates,May 2025,107730.0,56730.0,59590.0,27.28,,11.587383375888239,10.946058450320614,-0.0403474587396938,-0.0403474587396938
actor,qwen,Qwen/Qwen3-32B,grounded_social,5,1,0,-23.890048451285725,21.45684319609401,0.2831027654882128,26.0,85.63636363636364,50.0,actor,exact,True,Actors,27-2011,27-0000,high,Direct occupational title match.,BLS OEWS national cross-industry estimates,May 2025,,,,29.05,,,,-0.1441942177638515,-0.1441942177638515
addict,qwen,Qwen/Qwen3-32B,grounded_social,5,1,4,-19.963020546384293,38.66393954669683,-16.282296677662995,30.0,94.72727272727272,14.0,addict,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.1071082045039801,-0.1071082045039801
adolescent,qwen,Qwen/Qwen3-32B,other,5,4,0,-15.45010533709374,78.08059632441373,-7.233790546475039,34.0,99.45454545454544,31.818181818181817,adolescent,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.0393748247856668,-0.0393748247856668
advocate,qwen,Qwen/Qwen3-32B,procedural_professional,6,1,6,13.533940143887348,2.7011663953204628,-11.350794264131684,62.0,62.72727272727273,22.0,advocate,broad,True,"Community and Social Service Specialists, All Other",21-1099,21-0000,low,"Advocate is a work role, but SOC mapping is broad and context-dependent.",BLS OEWS national cross-industry estimates,May 2025,107730.0,56730.0,59590.0,27.28,,11.587383375888239,10.946058450320614,-0.0335076754602631,-0.0335076754602631
alien,qwen,Qwen/Qwen3-32B,mythic_spiritual,3,3,2,-20.463192597598027,-22.757723957933916,12.343088546094895,29.636363636363637,13.272727272727272,80.9090909090909,alien,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.1654925679301367,-0.1654925679301367
altruist,qwen,Qwen/Qwen3-32B,procedural_professional,6,1,4,11.355226573618308,-3.914055475926682,-24.74471679393749,59.09090909090909,47.45454545454545,7.090909090909091,altruist,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.0274647574235736,-0.0274647574235736
amateur,qwen,Qwen/Qwen3-32B,grounded_social,2,1,4,-0.2586328160476701,40.0704558828152,-24.428542192829035,47.45454545454545,96.1818181818182,7.454545454545454,amateur,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.024039886489216,-0.024039886489216
ambassador,qwen,Qwen/Qwen3-32B,procedural_professional,6,0,6,29.68736363825849,-8.41588762125236,-8.973791436197523,76.18181818181819,35.45454545454545,28.90909090909091,ambassador,ambiguous,False,Human Resources Managers,11-3121,11-0000,low,Ambassador is often diplomatic/brand/social role; no clean OEWS SOC. Kept ambiguous without analysis use.,,,,,,,Excluded from correlation analysis because mapping is ambiguous.,,,0.0089778795405758,0.0089778795405758
