construct,official_liss_study,public_metadata_example,repeat_frequency,personality_overlap,wellbeing_overlap,public_sample_information,modifiability_class,confounding_burden,within_person_suitability,access_status
social-contact satisfaction,Social Integration and Leisure (study 6),"parent concepts: satisfaction, loneliness, social contacts",annual core module,linkable by nomem_encr; exact overlap pending,linkable to repeated personality wellbeing,wave-specific public response counts,quasi-modifiable,moderate,high if repeated wording invariant,respondent access pending
loneliness,Social Integration and Leisure (study 6),parent concept: loneliness,annual core module,documented in longitudinal Big Five study,documented in Schellenberg2026,wave-specific public response counts,quasi-modifiable,high,high with RI-CLPM/FE,respondent access pending
social-contact frequency,Social Integration and Leisure (study 6),parent concept: social contacts,annual core module,exact overlap pending,exact overlap pending,wave-specific public response counts,behavior,high,high if repeated,respondent access pending
community/association participation,Social Integration and Leisure wave 4 (study 221),cs11d003–cs11d077 association connection/participation blocks,annual core module,linkable,linkable,selected N public per wave,behavior,high,moderate-high,respondent access pending
volunteering,Social Integration and Leisure wave 4 (study 221),cs11d007 and parallel association volunteering items,annual core module,linkable,linkable,selected N public per wave,behavior,high,moderate-high,respondent access pending
sport/exercise,Social Integration and Leisure; Health (studies 6 and 12),core concepts: sport; physical activities,annual core modules,linkable,linkable,wave-specific public response counts,behavior,high,high if harmonized,respondent access pending
leisure satisfaction/activity,Social Integration and Leisure wave 4 (study 221),cs11d001–002 leisure satisfaction; activity blocks,annual core module,linkable,linkable,selected N public per wave,behavior,moderate-high,high,respondent access pending
tobacco/alcohol/drug use,Health (study 12),"parent concepts: tobacco, alcohol, drug use",annual core module,linkable,linkable,wave-specific public response counts,behavior,high,high if repeated categories stable,respondent access pending
health-improving behavior,Health (study 12),parent concept: health improving behaviour,annual core module,linkable,linkable,wave-specific public response counts,behavior,high,moderate-high,respondent access pending
sleep,no repeated core source verified in this audit,candidate requires archive/codebook search,unknown,unknown,unknown,not established,behavior,high,unknown,metadata unresolved
employment/activity structure,Work and Schooling (core project 6; example study 467),gu12a000/001 paid work; job-characteristic blocks,annual core module,linkable,linkable,study 467 response metadata public,context/quasi-modifiable,high,high,respondent access pending
work conditions/job satisfaction,Work and Schooling (core project 6),parent focus: job characteristics; wave-specific variables,annual core module,linkable,Olaru2023 studied work satisfaction,wave-specific public response counts,context/quasi-modifiable,high,high,respondent access pending
financial strain/security,Economic Situation modules; National Monitor Financial Worries (study 1329),"vu25l001–010, 026–029 in example wave 1660",annual core plus repeated monitor,linkable,linkable,"wave example N=1,691 response",context/quasi-modifiable,very high,moderate-high,respondent access pending
relationship/family context,Family and Household (core project 5),parent study; exact repeated variables pending codebook audit,annual core module,linkable,linkable,wave-specific public response counts,context/quasi-modifiable,high,high,respondent access pending
caregiving,Family and Household / assembled caregiving studies,exact repeated core measure not yet verified,unknown/episodic,linkable if available,linkable if available,not established,context/quasi-modifiable,very high,unknown,metadata unresolved
religious participation,Religion and Ethnicity (core project 3),parent core module; exact repeated attendance variable pending,annual core module,linkable,linkable,wave-specific public response counts,behavior/context,high,high if invariant,respondent access pending
major life events,core/assembled life-event studies including study 197,exact event inventory/waves require audit,episodic repeated/assembled,linkable,linkable,study-specific,nonmodifiable covariate,very high,use as time-varying confounder/event design,respondent access pending
perceived social support,Study 1105 MHC-SF-R and possible social modules,ss20a019/071 count-on-others items,single 2020 randomized form; repeats unresolved,same-month 2020 personality overlap,same outcome block,"Study 1105 N=2,724 responses",quasi-modifiable,high,low until repeated measure found,respondent access pending
