study_id,full_citation,year,doi,authoritative_url,dataset,liss_study_or_waves,sample_size,field_period,wave_count,design,temporal_status,personality_instrument,wellbeing_instrument,original_wellbeing_construct,analytic_method,reported_personality_result,hifwb_lens,hifwb_content,hifwb_characteristic,mapping_strength,node_isolated_in_original_analysis,embedded_in_composite,overlap_caveat,source_provenance
Lamers2012,"Lamers, S. M. A., Westerhof, G. J., Kovács, V., & Bohlmeijer, E. T. (2012). Differential relationships in the association of the Big Five personality traits with positive mental health and psychopathology. Journal of Research in Personality, 46(5), 517–524.",2012,10.1016/j.jrp.2012.05.012,https://research.utwente.nl/en/publications/differential-relationships-in-the-association-of-the-big-five-per/,LISS,Personality + Mental Health modules,"N=1,161",cross-sectional wave alignment; exact field months not reported in authoritative abstract,1,cross-sectional,concurrent,Big Five,MHC-SF and psychopathology measure,"emotional, psychological, and social positive mental health composites",multivariable associations/two-continua comparison,Emotional Stability was the main psychopathology correlate; Extraversion and Agreeableness were uniquely associated with positive mental health.,Subjective wellbeing,Affect,positive affect/emotional wellbeing,PARTIAL,No,Yes,MHC-SF composites contain affective and evaluative content that can overlap with personality; item-level HiFWB nodes were not isolated.,Authoritative university record abstract and citation
Lamers2012,"Lamers, S. M. A., Westerhof, G. J., Kovács, V., & Bohlmeijer, E. T. (2012). Differential relationships in the association of the Big Five personality traits with positive mental health and psychopathology. Journal of Research in Personality, 46(5), 517–524.",2012,10.1016/j.jrp.2012.05.012,https://research.utwente.nl/en/publications/differential-relationships-in-the-association-of-the-big-five-per/,LISS,Personality + Mental Health modules,"N=1,161",cross-sectional wave alignment; exact field months not reported in authoritative abstract,1,cross-sectional,concurrent,Big Five,MHC-SF and psychopathology measure,"emotional, psychological, and social positive mental health composites",multivariable associations/two-continua comparison,Emotional Stability was the main psychopathology correlate; Extraversion and Agreeableness were uniquely associated with positive mental health.,Psychological wellbeing,Meaning-making and Self-concept,psychological wellbeing composite,PARTIAL,No,Yes,MHC-SF composites contain affective and evaluative content that can overlap with personality; item-level HiFWB nodes were not isolated.,Authoritative university record abstract and citation
Lamers2012,"Lamers, S. M. A., Westerhof, G. J., Kovács, V., & Bohlmeijer, E. T. (2012). Differential relationships in the association of the Big Five personality traits with positive mental health and psychopathology. Journal of Research in Personality, 46(5), 517–524.",2012,10.1016/j.jrp.2012.05.012,https://research.utwente.nl/en/publications/differential-relationships-in-the-association-of-the-big-five-per/,LISS,Personality + Mental Health modules,"N=1,161",cross-sectional wave alignment; exact field months not reported in authoritative abstract,1,cross-sectional,concurrent,Big Five,MHC-SF and psychopathology measure,"emotional, psychological, and social positive mental health composites",multivariable associations/two-continua comparison,Emotional Stability was the main psychopathology correlate; Extraversion and Agreeableness were uniquely associated with positive mental health.,Social wellbeing,Community and Interpersonal relationships,social wellbeing composite,PARTIAL,No,Yes,MHC-SF composites contain affective and evaluative content that can overlap with personality; item-level HiFWB nodes were not isolated.,Authoritative university record abstract and citation
Hounkpatin2018,"Hounkpatin, H. O., Boyce, C. J., Dunn, G., & Wood, A. M. (2018). Modeling bivariate change in individual differences: Prospective associations between personality and life satisfaction. Journal of Personality and Social Psychology, 115(6), e12–e29.",2018,10.1037/pspp0000161,https://pubmed.ncbi.nlm.nih.gov/28921998/,LISS,four biennial assessments,"N=8,320",approximately eight years,4,longitudinal,prospective and concurrent,Big Five,Satisfaction With Life Scale (SWLS),life satisfaction,"latent growth, autoregressive cross-lagged, autoregressive latent trajectory, and latent change-score models",Model conclusions depended on change assumptions; the extended examination suggested life-satisfaction change predicted subsequent personality change.,Subjective wellbeing,Appraisal,life satisfaction,DIRECT,Yes,No,SWLS is evaluative wellbeing. Personality change does not make the outcome a Self-concept measure.,PubMed abstract and citation
FetvadjievHe2019,"Fetvadjiev, V. H., & He, J. (2019). The longitudinal links of personality traits, values, and well-being and self-esteem: A five-wave study of a nationally representative sample. Journal of Personality and Social Psychology, 117(2), 448–464.",2019,10.1037/pspp0000212,https://pubmed.ncbi.nlm.nih.gov/30394770/,LISS,five assessments,"total N=11,890; wave n=5,159–7,021",eight years,5,longitudinal,prospective and reciprocal,Big Five and values,"positive affect, negative affect, life satisfaction, Rosenberg self-esteem","affective wellbeing, cognitive wellbeing, and self-esteem",latent state-trait models with autoregression and random-intercept cross-lagged panel models,Traits generally predicted wellbeing and self-esteem more strongly than values did; trait prediction was strongest for affective wellbeing.,Subjective wellbeing,Affect,positive affect,DIRECT,Yes,No,Extraversion/positive-affect and Neuroticism/negative-affect conceptual overlap require sensitivity analyses. Erratum: 10.1037/pspp0000246.,"PubMed abstract, citation, and erratum notice"
FetvadjievHe2019,"Fetvadjiev, V. H., & He, J. (2019). The longitudinal links of personality traits, values, and well-being and self-esteem: A five-wave study of a nationally representative sample. Journal of Personality and Social Psychology, 117(2), 448–464.",2019,10.1037/pspp0000212,https://pubmed.ncbi.nlm.nih.gov/30394770/,LISS,five assessments,"total N=11,890; wave n=5,159–7,021",eight years,5,longitudinal,prospective and reciprocal,Big Five and values,"positive affect, negative affect, life satisfaction, Rosenberg self-esteem","affective wellbeing, cognitive wellbeing, and self-esteem",latent state-trait models with autoregression and random-intercept cross-lagged panel models,Traits generally predicted wellbeing and self-esteem more strongly than values did; trait prediction was strongest for affective wellbeing.,Subjective wellbeing,Affect,infrequent negative affect,DIRECT,Yes,No,Extraversion/positive-affect and Neuroticism/negative-affect conceptual overlap require sensitivity analyses. Erratum: 10.1037/pspp0000246.,"PubMed abstract, citation, and erratum notice"
FetvadjievHe2019,"Fetvadjiev, V. H., & He, J. (2019). The longitudinal links of personality traits, values, and well-being and self-esteem: A five-wave study of a nationally representative sample. Journal of Personality and Social Psychology, 117(2), 448–464.",2019,10.1037/pspp0000212,https://pubmed.ncbi.nlm.nih.gov/30394770/,LISS,five assessments,"total N=11,890; wave n=5,159–7,021",eight years,5,longitudinal,prospective and reciprocal,Big Five and values,"positive affect, negative affect, life satisfaction, Rosenberg self-esteem","affective wellbeing, cognitive wellbeing, and self-esteem",latent state-trait models with autoregression and random-intercept cross-lagged panel models,Traits generally predicted wellbeing and self-esteem more strongly than values did; trait prediction was strongest for affective wellbeing.,Subjective wellbeing,Appraisal,life satisfaction,DIRECT,Yes,No,Extraversion/positive-affect and Neuroticism/negative-affect conceptual overlap require sensitivity analyses. Erratum: 10.1037/pspp0000246.,"PubMed abstract, citation, and erratum notice"
FetvadjievHe2019,"Fetvadjiev, V. H., & He, J. (2019). The longitudinal links of personality traits, values, and well-being and self-esteem: A five-wave study of a nationally representative sample. Journal of Personality and Social Psychology, 117(2), 448–464.",2019,10.1037/pspp0000212,https://pubmed.ncbi.nlm.nih.gov/30394770/,LISS,five assessments,"total N=11,890; wave n=5,159–7,021",eight years,5,longitudinal,prospective and reciprocal,Big Five and values,"positive affect, negative affect, life satisfaction, Rosenberg self-esteem","affective wellbeing, cognitive wellbeing, and self-esteem",latent state-trait models with autoregression and random-intercept cross-lagged panel models,Traits generally predicted wellbeing and self-esteem more strongly than values did; trait prediction was strongest for affective wellbeing.,Psychological wellbeing,Self-concept,self-esteem,DIRECT,Yes,No,Extraversion/positive-affect and Neuroticism/negative-affect conceptual overlap require sensitivity analyses. Erratum: 10.1037/pspp0000246.,"PubMed abstract, citation, and erratum notice"
Lamers2011,"Lamers, S. M. A., Westerhof, G. J., Bohlmeijer, E. T., ten Klooster, P. M., & Keyes, C. L. M. (2011). Evaluating the psychometric properties of the Mental Health Continuum–Short Form (MHC-SF). Journal of Clinical Psychology, 67(1), 99–110.",2011,10.1002/jclp.20741,https://doi.org/10.1002/jclp.20741,LISS,Mental Health module,"N=1,662",2007–2008 measurement period,multiple reliability occasions,psychometric validation,measurement structure,none as focal predictor,MHC-SF,"emotional, psychological, and social wellbeing factors",confirmatory factor analysis and reliability,Supported a three-factor MHC-SF structure with high internal and moderate test-retest reliability.,Multiple,Multiple,legacy MHC-SF factors,PARTIAL,No,Yes,Measurement validation does not test Big Five relations or validate the HiFWB regrouping.,Wiley article record
JoshanlooLamers2016,"Joshanloo, M., & Lamers, S. M. A. (2016). Reinvestigation of the factor structure of the MHC-SF in the Netherlands: Contributions of exploratory structural equation modeling. Personality and Individual Differences, 97, 8–12.",2016,10.1016/j.paid.2016.02.089,https://research.utwente.nl/en/publications/reinvestigation-of-the-factor-structure-of-the-mhc-sf-in-the-neth/,LISS,MHC-SF validation sample,"N=1,662",same LISS validation sample,1,psychometric comparison,measurement structure,none as focal predictor,MHC-SF,"emotional, psychological, and social wellbeing factors",CFA versus exploratory structural equation modeling,ESEM fit better and produced smaller factor correlations than the constrained CFA.,Multiple,Multiple,legacy MHC-SF factors,PARTIAL,No,Yes,Cross-loadings reinforce that legacy subscales should not be treated as identical to HiFWB lenses.,Authoritative university record abstract and citation
