pc,trait,canonical_definition,pole,pearson_r,pearson_r_squared,spearman_rho,p_value,BH_FDR_q,bootstrap_sign_stability,bootstrap_positive_fraction,bootstrap_negative_fraction,bootstrap_nonfinite_count,bootstrap_resamples,bootstrap_seed,rank_by_absolute_r,rank_within_positive_or_negative_pole
PC1,narrative,Tells stories and uses storytelling techniques to convey information.,negative,-0.9803972145592047,0.9611786983154472,-0.9819687833588183,1.2591078543101875e-194,1.5109294251722249e-192,1.0,0.0,1.0,0,2000,20260913,2,1
PC1,romantic,"Emphasizes emotion, imagination, and idealized views over rational analysis.",negative,-0.9763104748687972,0.9531821433385362,-0.9791460142523297,1.6031312314452034e-183,1.2825049851561628e-181,1.0,0.0,1.0,0,2000,20260913,3,2
PC1,poetic,"Uses lyrical language, imagery, and rhythmic patterns to convey meaning.",negative,-0.9756506720083893,0.9518942337904216,-0.9777605954819538,6.516224183812902e-182,3.909734510287741e-180,1.0,0.0,1.0,0,2000,20260913,4,3
PC1,metaphorical,"Uses analogies, symbolism, and figurative language to explain concepts.",negative,-0.9743674991205488,0.9493920233424326,-0.9753994402931248,6.6152168855887e-179,3.1753041050825756e-177,1.0,0.0,1.0,0,2000,20260913,5,4
PC1,dramatic,Uses emotionally charged language and vivid descriptions. Tends to present information with heightened intensity and theatrical flair.,negative,-0.9693469585463276,0.9396335260430158,-0.9679028302703327,1.8858551633401241e-168,7.543420653360497e-167,1.0,0.0,1.0,0,2000,20260913,6,5
PC1,enigmatic,"Maintains mystery and ambiguity in communication, resisting clear interpretation.",negative,-0.9687410140365693,0.9384591522766006,-0.9709212082744295,2.617966553698118e-167,8.975885326964977e-166,1.0,0.0,1.0,0,2000,20260913,7,6
PC1,ethereal,"Maintains otherworldly, delicate quality that seems barely connected to reality.",negative,-0.9612979420818659,0.9240937334508305,-0.9708277314561036,7.217221754063362e-155,2.1651665262190086e-153,1.0,0.0,1.0,0,2000,20260913,8,7
PC1,zealous,Shows fervent enthusiasm and passionate advocacy for causes or beliefs.,negative,-0.957951984370524,0.9176720043594246,-0.9597732321629497,4.722970522243464e-150,1.2594588059315904e-148,1.0,0.0,1.0,0,2000,20260913,9,8
PC1,rhetorical,"Uses persuasive techniques, figures of speech, and argumentative devices effectively.",negative,-0.9556154003128912,0.9132007933151672,-0.9559170248983008,6.462917225454041e-147,1.5511001341089699e-145,1.0,0.0,1.0,0,2000,20260913,10,9
PC1,melodramatic,Expresses ideas with exaggerated emotion and theatrical intensity.,negative,-0.9540244411838072,0.9101626343760757,-0.9522702749487897,7.089692817824173e-145,1.5468420693434557e-143,1.0,0.0,1.0,0,2000,20260913,11,10
