score,pc,pearson,spearman,target_aligned
pc1_objective_certainty_score,pc1,0.5584733048584801,0.5646554605348713,True
pc1_objective_certainty_score,pc2,-0.1267930069125418,-0.08393945208266443,False
pc1_objective_certainty_score,pc3,0.2419674747694293,0.263706137350052,False
pc2_coherent_action_under_uncertainty_score,pc1,-0.4200486896834201,-0.39782654857321903,False
pc2_coherent_action_under_uncertainty_score,pc2,0.37294666239722307,0.303186444592896,True
pc2_coherent_action_under_uncertainty_score,pc3,0.22111297090394047,0.18293996033695045,False
pc3_antagonistic_transgressive_score,pc1,-0.42785842036150146,-0.3988532563970471,False
pc3_antagonistic_transgressive_score,pc2,0.16652091013587153,0.10672124750432899,False
pc3_antagonistic_transgressive_score,pc3,0.6898183980384601,0.6301215549431345,True
maturity_score,pc1,0.527253116824444,0.5561508899070164,False
maturity_score,pc2,-0.3767904859864204,-0.2554477180582195,False
maturity_score,pc3,-0.35628807051715056,-0.30935688298943026,False
abstraction_score,pc1,-0.1434831486199033,-0.14260324261537327,False
abstraction_score,pc2,-0.655353075387035,-0.6584357294950652,False
abstraction_score,pc3,0.0967716967315325,0.12857171645292212,False
intelligence_expertise_score,pc1,0.6630325450387595,0.7082318914152291,False
intelligence_expertise_score,pc2,-0.3516356800631936,-0.27163200032539964,False
intelligence_expertise_score,pc3,0.16291075008514438,0.22525510801944734,False
uncertainty_exposure_score,pc1,-0.18894591743870998,-0.17965275116556373,False
uncertainty_exposure_score,pc2,-0.08351961841231315,-0.09704561060507667,False
uncertainty_exposure_score,pc3,0.04135334476753555,0.04480303107748783,False
uncertainty_residence_time_score,pc1,0.3304607604681868,0.2831544145191555,False
uncertainty_residence_time_score,pc2,-0.40044258133751737,-0.33434452671522147,False
uncertainty_residence_time_score,pc3,-0.2542453720219149,-0.19019650706551422,False
