artifact_id,path,raw_github_url,artifact_type,status,row_count,column_count,schema_or_contents,source_or_origin,role_in_provenance,observed_notes
primary_trait_profile_matrix,research/outputs/trait_persona_prediction/persona_trait_similarity_matrix.csv,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/master/research/outputs/trait_persona_prediction/persona_trait_similarity_matrix.csv,CSV,active,275,241,persona plus 240 trait cosine columns,Internally generated from inherited Qwen role and trait vectors,Primary 275-role x 240-trait profile matrix used by Qwen trait-profile analyses,"Columns exactly match 240 Qwen trait vector filenames and 240 local trait instruction filenames."
pc2_joined_trait_profile_matrix,research/outputs/pc2_trait_stratified_profile/pc2_trait_profile_joined_matrix.csv,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/master/research/outputs/pc2_trait_stratified_profile/pc2_trait_profile_joined_matrix.csv,CSV,active,275,248,"persona, pc1, pc2, pc3, cluster, pc1_percentile, pc2_percentile, pc3_percentile, plus 240 trait cosine columns",Internally generated join of primary trait matrix with Qwen PCA coordinates,Direct matrix used in PC2 trait-stratified and PC1 x PC2 trait-region overlay analyses,"This is not a new scoring matrix; it appends PCA/cluster metadata to the primary matrix."
trait_persona_generation_script,research/outputs/trait_persona_prediction/run_trait_persona_prediction.py,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/master/research/outputs/trait_persona_prediction/run_trait_persona_prediction.py,Python script,active,,,Loads Qwen role vectors and Qwen trait vectors; mean-pools; L2-normalizes; computes role_vectors @ trait_vectors.T,Local project script,Generates primary trait profile matrix and downstream regression outputs,"No model inference, model API call, or LLM judging is performed by this script."
trait_persona_stats,research/outputs/trait_persona_prediction/trait_predicts_persona_pcs_stats.json,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/master/research/outputs/trait_persona_prediction/trait_predicts_persona_pcs_stats.json,JSON,active,,,Vector-space metadata plus regression diagnostics,Internally generated by trait_persona_generation_script,Documents model/layer/tensor shapes/counts/method for trait-persona prediction,"Records Qwen/Qwen3-32B layer 48, tensor shape examples [64,5120], and raw activation-space cosine similarity."
pc2_trait_stratified_script,research/outputs/pc2_trait_stratified_profile/run_pc2_trait_stratified_profile.py,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/master/research/outputs/pc2_trait_stratified_profile/run_pc2_trait_stratified_profile.py,Python script,active,,,Loads primary trait matrix and geometry_viz_data then joins by persona,Local project script,Generates PC2 trait-stratified outputs,"Uses trait cosine features descriptively; no new trait scoring is performed."
qwen_pc2_trait_overlay_script,research/outputs/qwen_pc2_trait_region_overlay/run_qwen_pc2_trait_region_overlay.py,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/master/research/outputs/qwen_pc2_trait_region_overlay/run_qwen_pc2_trait_region_overlay.py,Python script,active,,,Loads pc2_trait_profile_joined_matrix.csv and bins PC1/PC2 regions,Local project script,Generates Qwen PC1 x PC2 trait-region overlay prototype,"Computes local cell enrichments from activation-space trait cosine columns."
qwen_trait_vectors,downloads/hf_vectors/qwen-3-32b/trait_vectors/*.pt,,PT tensor directory,canonical,240,,Each file is a trait tensor; inspected sample shape [64,5120],Hugging Face dataset lu-christina/assistant-axis-vectors,Upstream activation-vector source for trait columns,"HF dataset SHA observed 3b3b788432ad33e3a28d9ff08e88a530c0740814; local files are not raw-GitHub-addressable as ordinary text."
qwen_role_vectors,downloads/hf_vectors/qwen-3-32b/role_vectors/*.pt,,PT tensor directory,canonical,275,,Each file is a role/persona tensor; inspected sample shape [64,5120],Hugging Face dataset lu-christina/assistant-axis-vectors,Upstream activation-vector source for role rows,"Same role vectors also underlie the canonical Qwen role PCA geometry, creating provenance coupling."
trait_list,data/traits/trait_list.json,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/master/data/traits/trait_list.json,JSON,canonical,240,,Dictionary of 240 trait names to descriptions,Lu et al. / Assistant Axis prompt artifact,Canonical list of trait names and descriptions,"Keys exactly match Qwen trait vector filenames as a set."
trait_instruction_artifacts,data/traits/instructions/*.json,,JSON directory,canonical,240,,Each trait file has 5 positive instructions, 5 negative instructions, 40 questions, and an eval prompt,Lu et al. / Assistant Axis prompt artifact; also aligned with belmore prompt dataset,Prompt provenance for trait vectors,"Prompt artifact inventory found exact 240/240 alignment across local trait artifacts, Qwen trait vectors, and Belmore trait names."
representative_trait_instruction,data/traits/instructions/absolutist.json,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/master/data/traits/instructions/absolutist.json,JSON,canonical,1,,Representative local trait instruction artifact,Lu et al. / Assistant Axis prompt artifact,Example of trait prompt schema,"Trait files contain prompt text but the profile matrix is not computed from prompt text directly; it is computed from released vectors."
prompt_artifact_inventory_report,research/outputs/prompt_artifact_inventory/prompt_artifact_inventory_report.md,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/master/research/outputs/prompt_artifact_inventory/prompt_artifact_inventory_report.md,Markdown report,active,,,Inventory of role/trait prompt artifacts and remote Belmore prompt dataset,Local audit of inherited prompt artifacts,Confirms trait prompt/vector name alignment and Belmore dataset availability,"Reports Belmore train.parquet has 516 rows: 275 roles, 240 traits, and 1 default."
