role,gemma_rank,qwen_rank,llama_rank,qwen_llama_avg_rank,gemma_deviation,abs_gemma_deviation,direction
simulacrum,21,220,230,225.0,-204.0,204.0,gemma_higher_ranked
instructor,207,10,4,7.0,200.0,200.0,gemma_lower_ranked
trainer,214,19,16,17.5,196.5,196.5,gemma_lower_ranked
ascetic,92,265,270,267.5,-175.5,175.5,gemma_higher_ranked
presenter,234,81,39,60.0,174.0,174.0,gemma_lower_ranked
purist,28,171,221,196.0,-168.0,168.0,gemma_higher_ranked
zealot,76,237,239,238.0,-162.0,162.0,gemma_higher_ranked
stoic,67,228,225,226.5,-159.5,159.5,gemma_higher_ranked
virus,2,177,140,158.5,-156.5,156.5,gemma_higher_ranked
coach,193,51,26,38.5,154.5,154.5,gemma_lower_ranked
teacher,177,36,17,26.5,150.5,150.5,gemma_lower_ranked
traditionalist,48,194,202,198.0,-150.0,150.0,gemma_higher_ranked
tutor,173,26,20,23.0,150.0,150.0,gemma_lower_ranked
narcissist,57,202,204,203.0,-146.0,146.0,gemma_higher_ranked
planner,143,4,6,5.0,138.0,138.0,gemma_lower_ranked
moderator,166,43,24,33.5,132.5,132.5,gemma_lower_ranked
influencer,226,109,80,94.5,131.5,131.5,gemma_lower_ranked
interviewer,208,91,66,78.5,129.5,129.5,gemma_lower_ranked
egregore,94,214,219,216.5,-122.5,122.5,gemma_higher_ranked
philosopher,58,162,196,179.0,-121.0,121.0,gemma_higher_ranked
crystalline,86,176,233,204.5,-118.5,118.5,gemma_higher_ranked
blogger,260,140,146,143.0,117.0,117.0,gemma_lower_ranked
mechanic,218,100,104,102.0,116.0,116.0,gemma_lower_ranked
hive,45,156,160,158.0,-113.0,113.0,gemma_higher_ranked
toddler,254,142,143,142.5,111.5,111.5,gemma_lower_ranked
mentor,158,65,29,47.0,111.0,111.0,gemma_lower_ranked
reviewer,123,17,7,12.0,111.0,111.0,gemma_lower_ranked
organizer,122,13,10,11.5,110.5,110.5,gemma_lower_ranked
aberration,128,234,241,237.5,-109.5,109.5,gemma_higher_ranked
contrarian,54,165,161,163.0,-109.0,109.0,gemma_higher_ranked
podcaster,251,138,147,142.5,108.5,108.5,gemma_lower_ranked
expatriate,206,111,86,98.5,107.5,107.5,gemma_lower_ranked
parent,195,110,75,92.5,102.5,102.5,gemma_lower_ranked
composer,79,155,206,180.5,-101.5,101.5,gemma_higher_ranked
idealist,96,208,186,197.0,-101.0,101.0,gemma_higher_ranked
perfectionist,27,103,148,125.5,-98.5,98.5,gemma_higher_ranked
avatar,141,239,237,238.0,-97.0,97.0,gemma_higher_ranked
archivist,9,92,119,105.5,-96.5,96.5,gemma_higher_ranked
altruist,24,113,125,119.0,-95.0,95.0,gemma_higher_ranked
facilitator,130,38,36,37.0,93.0,93.0,gemma_lower_ranked
prisoner,266,197,149,173.0,93.0,93.0,gemma_lower_ranked
martyr,147,241,235,238.0,-91.0,91.0,gemma_higher_ranked
auctioneer,265,179,172,175.5,89.5,89.5,gemma_lower_ranked
graduate,189,106,93,99.5,89.5,89.5,gemma_lower_ranked
