model_trait,model_trait_description,outcome_id,outcome_description,outcome_content,mapping_tier,sapa_proxy_construct,sapa_source_scales,sapa_item_ids,human_measurement_support_tier,exact_source_group,exact_source_group_size,overlap_item_ids,predictor_min_observed_items,outcome_min_observed_items,eligible_respondent_n,pearson_r,pearson_ci95_low,pearson_ci95_high,spearman_r,spearman_ci95_approx_low,spearman_ci95_approx_high,association_status,unavailable_reason
absolutist,Maintains that certain truths and values are universal and unchanging.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
abstract,"Thinks in terms of concepts, patterns, and theoretical frameworks.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
accessible,Makes complex ideas understandable to broad audiences without condescension.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
accommodating,Readily adjusts position to meet others' needs and maintain harmony.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
acerbic,"Uses sharp, biting criticism with acidic wit and harsh commentary.",HiFWB_composite,frozen_13_item_composite,Composite,close,acerbic,HEXACO:H:A:G;MPQ:MPQ:AG;IPIPneo:A4:CO,q_1051,INSUFFICIENT,971fdb1c2900,1,,1,2,1243,-0.02554261,-0.08102937,0.03010197,-0.02164022,-0.07714922,0.03400253,observed,
adaptable,Adjusts communication style and approach based on context and user needs.,HiFWB_composite,frozen_13_item_composite,Composite,close,adaptable,IPIPneo:N1:ANX;IPIPneo:O4:AD,q_38;q_566,MODERATE SUPPORT,797fa430fbe8,1,,2,2,473,0.39439433,0.31545052,0.4679166,0.40914692,0.33120382,0.48154411,observed,
adventurous,"Encourages exploration, risk-taking, and trying new experiences. Presents exciting possibilities and unconventional approaches.",HiFWB_composite,frozen_13_item_composite,Composite,direct,adventurous,MPQ:MPQ:HA;IPIPneo:E5:ES;HEXACO:H:O:I,q_1662;q_2011,HIGH HUMAN-MEASUREMENT SUPPORT,76bbde331b97,1,,2,2,337,0.23495746,0.13142117,0.33342315,0.2112398,0.1068152,0.31105514,observed,
agreeable,Prioritizes harmony and maintaining positive relationships over confrontation.,HiFWB_composite,frozen_13_item_composite,Composite,direct,agreeable,HEXACO:H:A:G;IPIP100:B5:A;BFAS:BFAS:A:C;IPIPneo:A6:SY,q_6;q_1763;q_1910,REDUNDANT / BROAD,71ed1b4e8cc8,1,,2,2,806,0.1102488,0.04150928,0.17794956,0.11161556,0.04289061,0.1792892,observed,
altruistic,Prioritizes helping others and societal benefit over individual gain.,HiFWB_composite,frozen_13_item_composite,Composite,direct,altruistic,IPIPneo:A3:AL;IPIPneo:A6:SY;IPIP100:B5:A,q_1385;q_4229;q_1764,HIGH HUMAN-MEASUREMENT SUPPORT,3b6dc6eab9b7,1,,2,2,963,0.16864317,0.1066056,0.22937282,0.1738711,0.11192719,0.23446902,observed,
analytical,Breaks down complex topics into logical components and examines each part systematically.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
animated,"Uses vivid descriptions, energetic style, and dynamic expression in communication.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
anthropocentric,Views human needs and interests as most important consideration.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
anxious,"Displays persistent worry, anticipates negative outcomes, and shows nervous energy.",HiFWB_composite,frozen_13_item_composite,Composite,direct,anxious,BFAS:BFAS:N:W;HEXACO:H:E:A;IPIPneo:N1:ANX;EPQr:EPQ:N,q_1989;q_4249;q_4256,REDUNDANT / BROAD,132d6c193a3e,1,,2,2,864,-0.5035015,-0.55167169,-0.45198363,-0.49597774,-0.5446568,-0.44396789,observed,
arrogant,Displays overconfidence in abilities and knowledge. Tends to dismiss alternative viewpoints and presents information with condescending undertones.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
artistic,"Shows appreciation for creative expression, aesthetics, and cultural works.",HiFWB_composite,frozen_13_item_composite,Composite,direct,artistic,HEXACO:H:O:A;IPIPneo:O2:AI;BFAS:BFAS:O:O,q_348;q_610;q_1441,REDUNDANT / BROAD,d347e16ea8ca,1,,2,2,635,-0.01718919,-0.09486792,0.06069759,-0.01085404,-0.08858483,0.06700816,observed,
ascetic,"Values self-discipline, denial of pleasures, and spiritual over material pursuits.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
assertive,Takes clear positions and advocates strongly for particular viewpoints.,HiFWB_composite,frozen_13_item_composite,Composite,direct,assertive,BFAS:BFAS:E:A;IPIP100:B5:E;MPQ:MPQ:SP;IPIPneo:E3:AS,q_2161;q_1768;q_1769,REDUNDANT / BROAD,4069c274d398,2,,2,2,944,0.34132297,0.28369524,0.39649411,0.32872775,0.2705973,0.38446975,observed,
avoidant,Consistently withdraws from challenging situations and social interactions.,HiFWB_composite,frozen_13_item_composite,Composite,close,avoidant,MPQ:MPQ:SC;IPIP100:B5:E;HEXACO:H:X:SB;IPIPneo:N4:SC,q_312;q_901;q_1671,MODERATE SUPPORT,d33f01c90221,1,,2,2,697,-0.47143214,-0.52723606,-0.41157912,-0.46851551,-0.52452786,-0.408465,observed,
benevolent,"Consistently seeks to promote wellbeing and positive outcomes for all involved. Emphasizes kindness, compassion, and ethical considerations in all advice.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
big_picture,"Focuses on overarching themes, general principles, and broad perspectives.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
bitter,"Harbors deep resentment and expresses harsh, cynical views from past disappointments.",HiFWB_composite,frozen_13_item_composite,Composite,direct,bitter,MPQ:MPQ:AL;HEXACO:H:A:FO;MPQ:MPQ:AG;IPIPneo:A4:CO,q_848;q_1150;q_630,REDUNDANT / BROAD,92d029cd9289,1,,2,2,835,-0.44305508,-0.49599115,-0.38683795,-0.43302607,-0.48657622,-0.3762342,observed,
blunt,Delivers information directly without sugar-coating or excessive politeness. Prioritizes honesty and clarity over diplomatic language.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
bombastic,"Uses inflated, pompous speech intended to impress or overwhelm.",HiFWB_composite,frozen_13_item_composite,Composite,close,bombastic,HEXACO:H:H:S;HEXACO:H:H:GA,q_1555;q_1871,REDUNDANT / BROAD,a176b4ee903f,1,,2,2,329,0.01164538,-0.09660425,0.11962274,-0.00730111,-0.11533804,0.10090654,observed,
calculating,Strategically plans communications for maximum effect and desired outcomes.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
callous,Shows emotional hardness and insensitivity to others' feelings or suffering.,HiFWB_composite,frozen_13_item_composite,Composite,direct,callous,IPIP100:B5:A;BFAS:BFAS:A:C;IPIPneo:A3:AL;HEXACO:H:E:S,q_146;q_251;q_4231,REDUNDANT / BROAD,cffdfbc3846f,1,,2,2,863,-0.13565894,-0.20057795,-0.06955374,-0.14974848,-0.21434135,-0.08385156,observed,
