judge,role,question_id,n,mean_score,retain_ge2_fraction,retain_eq3_fraction,mean_distance_to_published,sd_pc1,sd_pc2,sd_pc3,mean_pc1,mean_pc2,mean_pc3
gpt55,amateur,195,5,1.6,0.6,0.0,21.10103499939401,13.405326601786332,8.543325569077334,4.247167433587363,16.786999105791985,37.936880231700975,-26.725497464907004
gpt55,amateur,21,5,1.4,0.4,0.0,21.32632243257552,4.976346125344215,6.440075280450559,4.027605189343154,-12.200994583690791,47.28892428367019,-10.301984027810814
gpt55,amateur,217,5,2.0,0.6,0.4,22.473064589441798,16.42296554660268,13.541734725323689,4.483469113807684,7.718480550803571,43.86926914010498,-15.378281492165542
gpt55,amateur,239,5,1.8,0.6,0.4,22.01475858224034,17.78995069492291,11.49719032706286,3.883729314892197,1.665566432592825,27.595248817498554,-30.885971965414825
gpt55,amateur,43,5,1.6,0.6,0.0,30.096973275588624,9.596548197672215,3.4066075494078585,4.55019683181078,16.152215228045627,45.58276379663222,-1.0711058030533334
gpt55,amateur,65,5,1.8,0.8,0.0,22.82826752385248,18.07106437437458,17.845312907579395,9.653723559731006,7.650250343263738,34.31999941300471,-14.584181545083629
gpt55,amateur,86,5,2.6,1.0,0.6,35.036949361548416,13.529376395037094,13.859588793869268,7.567574384047134,-24.35136573252162,20.597289462764245,-15.843332989260016
gpt55,playwright,0,5,1.8,0.6,0.4,21.21554415815954,11.237274692646372,1.7430819366421082,2.125369253597656,3.1755853048947387,-3.6984693527266925,15.66504793136264
gpt55,playwright,108,5,3.0,1.0,1.0,28.37141187838356,5.193314375427648,4.476774784857892,2.599080490652779,-32.230620643225194,21.109442468173373,4.199467161972396
gpt55,playwright,130,5,3.0,1.0,1.0,26.39115417678329,10.916052584454995,6.73575127387925,2.8327967907922167,-33.19969271090395,5.111683593141693,12.527676240983022
gpt55,playwright,152,5,3.0,1.0,1.0,36.04401547022323,5.129429925289102,8.42165720605548,4.214350913124627,-32.80936742581921,27.719036661960597,-9.837248759295784
gpt55,playwright,173,5,1.8,0.8,0.2,20.391393801369,6.339945900662261,6.605386982638636,6.014617441063847,3.1128419154189557,18.635075516686165,4.255818629262021
gpt55,playwright,195,5,2.2,0.8,0.6,30.561659030233226,12.703281302510733,9.13511923321687,9.77233071392268,17.360201849334462,8.861757019284276,0.6727906870937582
gpt55,playwright,21,5,2.8,1.0,0.8,37.40555656604012,2.46012120240431,8.401928368934634,6.922532439062001,-35.45223949483724,30.509038096771583,7.523018453698711
gpt55,playwright,217,5,2.4,0.8,0.6,22.620508310669955,11.482385255797524,5.003503118717913,3.197601621600223,8.583974918720795,15.399627054132585,3.4758265551599443
gpt55,playwright,239,5,1.8,0.8,0.2,29.6890544512088,21.980584566207906,10.127775311659434,5.208903525562802,5.199541523971832,-4.818260732549997,-15.637820694234398
gpt55,playwright,43,5,2.2,1.0,0.2,41.30808046129222,8.126800268650085,3.038575096527323,5.445560891403684,27.461497397127225,19.895224087967286,8.996449888441465
gpt55,playwright,65,5,3.0,1.0,1.0,15.117099693789859,10.76406706238106,5.466753766827611,3.3249374051376375,-4.1047424710450295,3.198814206836948,13.26093561120391
gpt55,playwright,86,5,3.0,1.0,1.0,25.87996413283677,19.86005937220098,7.309024597712571,4.913439287342456,-29.19205006719547,1.2341983372840595,6.623260109043852
