persona,existing_match_status,existing_include_in_analysis,prior_soc_title,prior_soc_2018_code,nlsy97_census_2002_codes,nlsy97_occupation_titles,translation_method,translation_quality,official_crosswalk_chain,mapping_quality,mapping_rationale,top_title_candidate_code,top_title_candidate,top_title_similarity,round12_personality_complete_n,round6_personality_complete_n,round12_feasibility,notes
aberration,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
absurdist,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
accountant,exact,True,Accountants and Auditors,13-2011,0800,Accountants and auditors,official_BLS_2010-2018_crosswalk_same_code_plus_official_2002_Census/SOC_list,official_crosswalk_stable_code_translation,BLS official 2010-to-2018 SOC crosswalk/manual plus official 2002 Census-to-2000-SOC list,exact,Direct occupational title match; auditors share same SOC.,0800,Accountants and auditors,1.0,59,4,moderate occupational cell,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
activist,broad,True,"Community and Social Service Specialists, All Other",21-1099,2020,Miscellaneous community and social service specialists,explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,broad,"Advocacy work exists occupationally, but activist is not a specific SOC title.",2020,Miscellaneous community and social service specialists,0.863824,26,6,exploratory occupational cell,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
actor,exact,True,Actors,27-2011,2700,Actors,official_BLS_2010-2018_crosswalk_same_code_plus_official_2002_Census/SOC_list,official_crosswalk_stable_code_translation,BLS official 2010-to-2018 SOC crosswalk/manual plus official 2002 Census-to-2000-SOC list,exact,Direct occupational title match.,2700,Actors,1.0,0,1,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
addict,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
adolescent,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
advocate,broad,True,"Community and Social Service Specialists, All Other",21-1099,2020,Miscellaneous community and social service specialists,explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,broad,"Advocate is a work role, but SOC mapping is broad and context-dependent.",2020,Miscellaneous community and social service specialists,0.863824,26,6,exploratory occupational cell,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
alien,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
altruist,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
amateur,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
ambassador,ambiguous,False,Human Resources Managers,11-3121,,,not_applicable,unmatched,not applicable or unresolved,ambiguous,Ambassador is often diplomatic/brand/social role; no clean OEWS SOC. Kept ambiguous without analysis use.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
amnesiac,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
analyst,broad,True,Management Analysts,13-1111,0710,Management analysts,official_BLS_2010-2018_crosswalk_same_code_plus_official_2002_Census/SOC_list,official_crosswalk_stable_code_translation,BLS official 2010-to-2018 SOC crosswalk/manual plus official 2002 Census-to-2000-SOC list,broad,"Generic analyst maps best to management analysts, but many analyst SOCs exist.",0710,Management analysts,1.0,25,1,exploratory occupational cell,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
anarchist,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
ancient,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
angel,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
anthropologist,exact,True,Anthropologists and Archeologists,19-3091,1860,Miscellaneous social scientists and related workers,explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,exact,Direct occupational family title.,0010,Chief executives,0.0,4,1,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
archaeologist,exact,True,Anthropologists and Archeologists,19-3091,1860,Miscellaneous social scientists and related workers,explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,exact,Direct occupational family title.,0010,Chief executives,0.0,4,1,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
architect,exact,True,"Architects, Except Landscape and Naval",17-1011,1300,"Architects, except naval",explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,exact,Direct occupational title match.,1300,"Architects, except naval",0.465956,7,0,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
archivist,exact,True,Archivists,25-4011,2400,"Archivists, curators, and museum technicians",explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,exact,Direct occupational title match.,2400,"Archivists, curators, and museum technicians",0.381627,0,0,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
artisan,broad,True,"Production Workers, All Other",51-9199,8960,"Production workers, all other",explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,broad,Artisan is a broad craft role without clean SOC.,8960,"Production workers, all other",1.0,54,31,moderate occupational cell,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
ascetic,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
assistant,broad,True,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43-6014,5700,Secretaries and administrative assistants,explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,broad,Assistant is generic; administrative assistant is the most defensible broad mapping.,5700,Secretaries and administrative assistants,0.650113,113,51,strong occupational cell,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
auctioneer,broad,True,"Sales and Related Workers, All Other",41-9099,4960,"Sales and related workers, all other",official_BLS_2010-2018_crosswalk_same_code_plus_official_2002_Census/SOC_list,official_crosswalk_stable_code_translation,BLS official 2010-to-2018 SOC crosswalk/manual plus official 2002 Census-to-2000-SOC list,broad,Auctioneers are not cleanly represented as a detailed SOC in OEWS.,4960,"Sales and related workers, all other",1.0,13,5,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
auditor,exact,True,Accountants and Auditors,13-2011,0800,Accountants and auditors,official_BLS_2010-2018_crosswalk_same_code_plus_official_2002_Census/SOC_list,official_crosswalk_stable_code_translation,BLS official 2010-to-2018 SOC crosswalk/manual plus official 2002 Census-to-2000-SOC list,exact,Direct occupational title in SOC title.,0800,Accountants and auditors,1.0,59,4,moderate occupational cell,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
avatar,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
bard,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
bartender,exact,True,Bartenders,35-3011,4040,Bartenders,official_BLS_2010-2018_crosswalk_same_code_plus_official_2002_Census/SOC_list,official_crosswalk_stable_code_translation,BLS official 2010-to-2018 SOC crosswalk/manual plus official 2002 Census-to-2000-SOC list,exact,Direct occupational title match.,4040,Bartenders,1.0,32,5,exploratory occupational cell,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
biologist,close,True,"Biological Scientists, All Other",19-1029,1610,Biological scientists,exact_normalized_title_match_in_official_2002_Census_code_list,exact_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,close,Generic biologist maps to biological scientists all other; specializations vary.,1610,Biological scientists,1.0,6,0,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
blogger,close,True,Writers and Authors,27-3043,2850,Writers and authors,official_BLS_2010-2018_crosswalk_same_code_plus_official_2002_Census/SOC_list,official_crosswalk_stable_code_translation,BLS official 2010-to-2018 SOC crosswalk/manual plus official 2002 Census-to-2000-SOC list,close,"Blogging is a writing occupation, but not separately measured by OEWS.",2850,Writers and authors,1.0,8,1,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
bohemian,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
builder,broad,True,Construction Laborers,47-2061,6260,Construction laborers,official_BLS_2010-2018_crosswalk_same_code_plus_official_2002_Census/SOC_list,official_crosswalk_stable_code_translation,BLS official 2010-to-2018 SOC crosswalk/manual plus official 2002 Census-to-2000-SOC list,broad,Builder is too broad; construction laborers are a rough family proxy.,6260,Construction laborers,1.0,87,73,moderate occupational cell,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
caregiver,close,True,Home Health and Personal Care Aides,31-1120,4610,Personal and home care aides,explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,close,"Caregiver maps reasonably to home health/personal care aides, but institutional settings vary.",4610,Personal and home care aides,0.582842,59,14,moderate occupational cell,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
cartographer,exact,True,Cartographers and Photogrammetrists,17-1021,1310,"Surveyors, cartographers, and photogrammetrists",explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,exact,Direct occupational title match.,1310,"Surveyors, cartographers, and photogrammetrists",0.755602,1,0,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
caveman,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
celebrity,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
chameleon,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
chef,exact,True,Chefs and Head Cooks,35-1011,4000,Chefs and head cooks,official_BLS_2010-2018_crosswalk_same_code_plus_official_2002_Census/SOC_list,official_crosswalk_stable_code_translation,BLS official 2010-to-2018 SOC crosswalk/manual plus official 2002 Census-to-2000-SOC list,exact,Direct occupational title match.,4000,Chefs and head cooks,1.0,22,6,exploratory occupational cell,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
chemist,exact,True,Chemists,19-2031,1720,Chemists and materials scientists,explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,exact,Direct occupational title match.,1720,Chemists and materials scientists,0.464544,4,0,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
chimera,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
coach,exact,True,Coaches and Scouts,27-2022,2720,"Athletes, coaches, umpires, and related workers",explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,exact,Direct occupational title in SOC title.,2720,"Athletes, coaches, umpires, and related workers",0.192696,16,22,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
collaborator,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
collector,ambiguous,False,Bill and Account Collectors,43-3011,,,not_applicable,unmatched,not applicable or unresolved,ambiguous,"Collector could mean debt collector, art collector, or gatherer; left ambiguous.",,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
