domain,variable_or_series,exact_variable_ids,rounds,temporal_relation_to_round12_personality,access_status,coobserved_primary_sample_n,notes,official_source
education,CV_HGC_EVER_EDT,T3606300,Round 13 (2009); cross-round created,after R12,public-use,6007,Highest grade completed; extracted overlap probe.,NLSY97 topical guides and NLS Investigator codebook
earnings/income,CV_INCOME_FAMILY,T3606500,Round 13 (2009),after R12,public-use,5379,Gross family income; extracted overlap probe.,NLSY97 topical guides and NLS Investigator codebook
employment history,CVC_WKSWK_YR_ALL.09,Z9061900,Calendar year 2009 cross-round series,after R12,public-use,6178,Weeks worked at any job; extracted overlap probe.,NLSY97 topical guides and NLS Investigator codebook
unemployment spells,EMP_STATUS weekly event-history array,series,weekly longitudinal array,before/after R12,public-use,not extracted,Available event-history family; exact extraction should be designed for the later outcome analysis.,NLSY97 topical guides and NLS Investigator codebook
job tenure,CV_WKSWK_JOB_DLI.xx,T2021700;T2021800;T2021900;T2022000;T2022100;T2022200;T2022300;T2022400,Round 12 roster,same wave,public-use,extracted metadata,Weeks ever worked at each roster job.,NLSY97 topical guides and NLS Investigator codebook
marriage/partner/family,CV_MARSTAT,T3611000,Round 13 (2009),after R12,public-use,6040,Marital status; extracted overlap probe.,NLSY97 topical guides and NLS Investigator codebook
health,YHEA-100,T4562200,Round 13 (2009),after R12,public-use,6049,General health; extracted overlap probe.,NLSY97 topical guides and NLS Investigator codebook
mental health,MHI-5 / CES-D / GAD age modules,series,"MHI-5 R4,6,8,10,12,14,17-19; CES-D R19-21; GAD at ages 38/39",same and after R12,public-use,not extracted,Instrument families verified in official health topical documentation.,NLSY97 topical guides and NLS Investigator codebook
substance use,YSAQ-361,T4495500,Round 13 (2009),after R12,public-use,2322,Days smoked in last 30 days; extracted overlap probe. Alcohol/drug series also available by round.,NLSY97 topical guides and NLS Investigator codebook
risk-related behavior,self-administered risk/delinquency item families,series,multiple rounds,before/after R12,public-use,not extracted,Availability only; no associations analyzed.,NLSY97 topical guides and NLS Investigator codebook
crime/delinquency,self-reported delinquency item families,series,multiple rounds with changing universes,before/after R12,public-use,not extracted,Sensitive outcome metadata only.,NLSY97 topical guides and NLS Investigator codebook
arrests,YSAQ-441 / arrest event history,T4501000; ARREST_* series,Round 13 probe plus cross-round arrays,after R12,public-use,6021,Aggregate overlap only; no row-level justice data committed.,NLSY97 topical guides and NLS Investigator codebook
charges,charge/offense event-history families,series,multiple rounds,before/after R12,public-use and some restricted detail,not extracted,Metadata inventory only.,NLSY97 topical guides and NLS Investigator codebook
court outcomes,court disposition families,series,multiple rounds,before/after R12,public-use and some restricted detail,not extracted,Metadata inventory only.,NLSY97 topical guides and NLS Investigator codebook
sentencing,sentence event-history families,series,multiple rounds,before/after R12,public-use and some restricted detail,not extracted,Metadata inventory only.,NLSY97 topical guides and NLS Investigator codebook
incarceration,INCARC_* cross-round series,E8043000-E8043601 family,cross-round,before/after R12,public-use,not extracted,First/current incarceration and summary measures; sensitive metadata only.,NLSY97 topical guides and NLS Investigator codebook
months incarcerated,INCARC_TOTMONTHS,E8043500,cross-round,before/after R12,public-use,not extracted,Sensitive metadata only; aggregate suppression required in later analysis.,NLSY97 topical guides and NLS Investigator codebook
military service,YEMP_MILFLAG.xx / military employment modules,T3504400;T3504500;T3504600;T3504700;T3504800;T3504900;T3505000;T3505100,Round 12 roster and longitudinal employment,same and after R12,public-use,extracted metadata,Military employer flags are public; specialty coding cautions documented.,NLSY97 topical guides and NLS Investigator codebook
civic/community participation,YSAQ-300V1..V5,T9040200-T9040600 family,Round 16 (2013),after R12,public-use,not extracted,"Volunteer work, meetings, and donations documented alongside R16 SAQ.",NLSY97 topical guides and NLS Investigator codebook
