prompt_id,group,prompt_text,intended_direction,expected_axis,rationale,possible_confounds,confidence_score
rfv2_pc1_01,positive_pc1,"A venue policy says refunds are available only for tickets bought directly from the venue website, and only if the request is made at least 48 hours before the event. A ticket was bought through a resale site, and the refund request arrived three days before the event. Under the stated policy, should the refund be accepted? Explain why.",positive,PC1,"Tests interpretation of stated eligibility conditions and exception-free standard satisfaction, not arithmetic.",Consumer-service framing may elicit advice about fairness beyond the stated policy.,5
rfv2_pc1_02,positive_pc1,"An application form says a submission is complete only if it includes a signed form, a dated statement, and proof of address from the last 60 days. The packet includes a signed form, an undated statement, and a utility bill from last week. Is the submission complete under these instructions?",positive,PC1,Requires checklist-based determination against stated requirements while avoiding calculation-heavy structure.,Could invite suggestions for fixing the packet rather than deciding completeness.,5
rfv2_pc1_03,positive_pc1,"A contest rule says each entry must be an original photo, must include a title, and must not show a visible brand logo. An entry uses the entrant’s own photo, includes a title, and shows a large soda logo in the corner. Does it meet the rule?",positive,PC1,Creates rule-application pressure through a standard with a disqualifying condition.,Brand-logo content may invite aesthetic commentary instead of rule satisfaction.,5
rfv2_pc1_04,positive_pc1,"A warranty notice says coverage applies if the item was used indoors, registered within 30 days of purchase, and not altered after purchase. The item was used indoors and registered on time, but the casing was opened and modified. Is the warranty claim covered by the notice?",positive,PC1,Targets legitimacy and eligibility determination under multiple stated conditions.,May elicit general warranty advice unless answer is anchored to the notice.,5
rfv2_pc1_05,positive_pc1,A rental agreement says quiet hours begin at 10 PM and any amplified music after that time requires written permission in advance. A gathering plays amplified music at 10:30 PM without written permission. Does that follow the agreement?,positive,PC1,Uses an ordinary agreement to induce standard interpretation and yes/no compliance judgment.,Noise-neighbor context may trigger social repair suggestions.,4
rfv2_pc1_06,positive_pc1,"A class assignment says the answer must cite two sources from the provided reading list and one source found independently. A response cites three sources, all from the provided list. Does it satisfy the assignment instructions?",positive,PC1,Requires interpreting a distribution requirement rather than merely counting total items.,School context may elicit tutoring advice after the determination.,5
rfv2_pc1_07,positive_pc1,"A library notice says a room booking is valid only if the confirmation email names the room, the date, and the starting time. The email names the room and date but says “morning” instead of a starting time. Is the booking valid under the notice?",positive,PC1,Pushes interpretation of whether a vague field satisfies a stated documentary requirement.,May prompt common-sense leniency rather than strict requirement reading.,4
rfv2_pc1_08,positive_pc1,"A submission guideline says files must be in PDF format, under 10 MB, and named with the applicant’s last name followed by the project title. A file is a 7 MB PDF but is named “final_version.pdf.” Should it be treated as following the guideline?",positive,PC1,"Combines format, size, and naming requirements to elicit completeness review.",File-management context could invite suggestions rather than a pass/fail finding.,5
rfv2_pc1_09,positive_pc1,"A museum pass says it admits one adult and one child on weekdays only. Two adults arrive with the pass on a Friday. Based only on the wording of the pass, should both adults be admitted with it?",positive,PC1,Separates one satisfied condition from another unmet condition under a written standard.,Admission scenario may invite customer-service alternatives.,4
rfv2_pc1_10,positive_pc1,A recipe contest says entries must be vegetarian and must not contain alcohol. A dessert contains no meat but includes rum in the sauce. Does it qualify under the contest rule? Explain the deciding point.,positive,PC1,Uses category-membership and exclusion-rule application without turning into a numerical puzzle.,Food classification ambiguity may pull discussion away from the stated exclusion.,4
rfv2_pc2_01,high_pc2,"You are setting up an outdoor gathering. Twenty minutes before it starts, several tables are still missing, clouds are darkening, and early guests have begun to arrive. What would you do first, and what would you postpone?",high,PC2,Elicits immediate prioritization under shifting conditions and limited time without a care/repair center.,Event setup may still pull mild coordination/stabilization pressure.,5
rfv2_pc2_02,high_pc2,"You are in an unfamiliar part of a city. Your phone has no service, your destination closes soon, and the street signs do not match the map you printed. How would you decide your next few steps?",high,PC2,"Targets local judgment under incomplete information, time pressure, and uncertain surroundings.",Navigation task may invite safety language or generic travel advice.,5
