source_path,proposed_destination_path,artifact_type,report_section,reason_to_include,canonical_status,required_for_notebook,size_estimate,hash_if_available,dependencies,notes_or_uncertainties
research/RESEARCH_STATE.md,PROVENANCE/source_state/RESEARCH_STATE.md,state_doc,S05,Preserve canonical state snapshot used when creating the copy plan.,canonical_include,no,113930 bytes,d7cd7cd07e286749a31fa9a4ab5bd597aa3aad06d51b0d0cc0446d9fa91f651d,,
research/RESEARCH_INDEX.md,PROVENANCE/source_state/RESEARCH_INDEX.md,state_doc,S05,Compact navigation index for source artifacts and current interpretations.,canonical_include,no,17314 bytes,5d4143dfa5632b39e4dfdfaee536e3e382796cc8e5b58c05685a74849ba48ae3,,
research/PROVENANCE_REGISTRY.md,PROVENANCE/source_state/PROVENANCE_REGISTRY.md,state_doc,S01-S05,Artifact lineage registry to preserve source-quarry provenance.,canonical_include,no,24836 bytes,ed94a18ee10bd2d04273ff36afcd62cf198942542bcce42396f8fdc5f0e6a04a,,
research/THREAD_START.md,PROVENANCE/source_state/THREAD_START.md,state_doc,S05,Thread continuity brief useful for orienting future reviewers.,optional_include,no,6763 bytes,babb302215a2e9137cdf44e138be5e8739279e25062b8141375de377abfd51c5,,
research/CLAIMS_REGISTER.md,PROVENANCE/source_state/CLAIMS_REGISTER.md,state_doc,S05,Claim status register; useful for separating findings from interpretations.,optional_include,no,37892 bytes,9c263b90ae606cdc3da77fc89f1287382d8e0853e287b1691a7791103f4d3c1d,,
research/literature_reference.md,report/references/literature_reference.md,reference,S01,Citation/provenance metadata for Assistant Axis and related literature.,canonical_include,no,10333 bytes,1fec79c3850656235bdfe12122dd77a83356aaf352a5dc556cc9b75d61bc671d,,Full local PDF was not found in this repo; use citation metadata or fetch externally if needed.
data/extraction_questions.jsonl,data/public/extraction_questions.jsonl,public_data,S01,Canonical 240 shared extraction questions used to reconstruct intended role inputs.,canonical_include,yes,22954 bytes,31650b9a55d6b827d29ec2ee89034c7efd454672779b3ad9d7c8c4e9ea14f69e,,
data/roles/instructions,data/public/roles/instructions,public_data_dir,S01,Canonical public role prompt artifacts: 275 non-default roles plus default.,canonical_include,yes,1354043 bytes across 276 files,80edb310b410abfefe4215df9dffbe2c215bd09703a975f6a0b2b292d00e75a4,,
data/traits/instructions,data/public/traits/instructions,public_data_dir,S01,Trait prompt artifacts useful for trait/persona comparison and source provenance.,optional_include,yes,1227507 bytes across 240 files,7071515325abff04ccd16430782d3e025f252cd988ed84849303108305e35296,,Include if trait-space notebook remains in first pass.
research/visualizations/geometry_viz_data.json,data/processed/geometry_viz_data.json,processed_data,"S01,S03","Canonical compact geometry dataset for role PCA/UMAP, clusters, axis projections, and visualization.",canonical_include,yes,288387 bytes,1b15d8e3425bc3d51032919157eb683f1358f353f4ee071a18d06347a792ec6d,,
research/visualizations/cluster_assignments_full.json,data/processed/cluster_assignments_full.json,processed_data,"S01,S03",Full nearest-centroid cluster assignments for all 275 personas.,canonical_include,yes,59789 bytes,5b56fb3257f70d0d41b8fe98f86f6669239052f3a5ac3f3f7dc4ac8592143210,,
research/visualizations/bigfive_geometry_overlay_data.json,data/processed/bigfive_geometry_overlay_data.json,processed_data,"S03,S04",Persona-aligned Big Five overlay data used by the main visualizer.,canonical_include,yes,270086 bytes,12aaa1087637cb6582b2ab29a27510502145074b9ee20e73cc0ff00fa7cf15ab,,
research/visualizations/bigfive_geometry_overlay_data.csv,data/processed/bigfive_geometry_overlay_data.csv,processed_data,"S03,S04",Tabular Big Five overlay equivalent for notebooks.,canonical_include,yes,75972 bytes,b628a45c8b5adefe561fe81c64fb10e9a1994388c1043d526418b6a9bdcf90c6,,
research/visualizations/persona_geometry_explorer.html,visualizations/persona_geometry_explorer.html,visualization,"S01,S03","Latest main self-contained Persona Geometry Explorer with PCA/UMAP, selection, clusters, and Big Five overlays.",canonical_include,no,458932 bytes,ba8eee3580f35db655cac02ea9a65deef2c9b3449564e91a3a5ae24da7f89859,data embedded in HTML plus geometry/overlay files for reproducible rebuild,
research/visualizations/bigfive_overlay_validation.md,visualizations/bigfive_overlay_validation.md,validation_note,"S03,S04","Documents Big Five overlay source, missing personas, and self-contained viewer checks.",canonical_include,no,2086 bytes,67a36c4719878ff19eb3a30dc179c381844c267c4e24d1cf63a38b30709b7e14,,
research/visualizations/scripts/build_geometry_viz.py,scripts/build_geometry_viz.py,script,"S01,S03",Canonical rebuild script for the main geometry visualization.,canonical_include,yes,12690 bytes,a309aa185e973c4edcba711d19b1e7db4e45ab6ab8a2f8f60e32ed6151f24cf8,,
research/visualizations/scripts/assign_clusters_by_centroid.py,scripts/assign_clusters_by_centroid.py,script,S01,Rebuild script for full nearest-centroid cluster assignments.,canonical_include,yes,3336 bytes,7b019d763b6f8ada311417755ffd71398dfeeab287bb4445375147ac61fedd34,,
research/outputs/prompt_artifact_inventory,outputs/tables/prompt_artifact_inventory,output_dir,S01,Inventory proving role/trait prompt artifacts and vector-name alignment.,canonical_include,yes,151088 bytes across 7 files,6480836354952a67a9b3dff48d4fef3a3e977c9e6fa4ceb5c7c578a2f945f998,,
research/outputs/role_rollout_artifact_audit,outputs/tables/role_rollout_artifact_audit,output_dir,"S01,S02","Audit showing intended 1,200 inputs per role are reconstructable while responses/scores/masks are not public.",canonical_include,yes,164729 bytes across 10 files,b3594450ceb93b8571d1e79a82d3019cee42b246ff1088844311450e2b454bf7,,
research/assistant_axis_methodology/artifact_inventory.md,report/methodology/artifact_inventory.md,method_note,S01,Earlier methodology artifact inventory for public Assistant Axis reconstruction.,canonical_include,no,8935 bytes,f553cf6ae701ec5fc3dd6ac7328b71b14e95aa61683ab739c4754a2a671668ee,,
