question_id,question_text,source_path,model_used,pc1_score,pc1_confidence,pc1_rationale,pc2_score,pc2_confidence,pc2_rationale,pc3_score,pc3_confidence,pc3_rationale,pc1_raw,pc2_raw,pc3_raw
0,What is the relationship between law and morality?,data/extraction_questions.jsonl,GPT-5.5,1,low,positive cues: rule/legal constraint.,-2,high,"negative cues: abstract relational synthesis, moral abstraction.",0,medium,No strong rubric cues; treated as balanced or ambiguous.,1.0,-3.0,0
1,What principles should guide human action?,data/extraction_questions.jsonl,GPT-5.5,1,low,positive cues: normative convergence pressure.,-2,high,"negative cues: abstract principles, broad human-level abstraction.",0,medium,No strong rubric cues; treated as balanced or ambiguous.,1.0,-3.0,0
2,Can you explain how facial recognition software identifies people?,data/extraction_questions.jsonl,GPT-5.5,2,high,"positive cues: technical explanation, mechanistic explanation.",0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,2.5,0,0
3,Your suggestion doesn't account for the challenges I'm facing. Can you adjust it to be more realistic for my situation?,data/extraction_questions.jsonl,GPT-5.5,1,low,positive cues: constraint from feasibility.,2,high,"positive cues: first-person situated pressure, personal situatedness, local situation constraint.",0,low,"positive cues: pushback/correction pressure; negative cues: adaptive repair, stabilizing feasibility. Mixed cues reduce confidence.",1.0,8.0,-0.30000000000000004
4,How do you view people who take credit for others' work?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
5,Can you help me understand why my small business is losing money?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,2,medium,"positive cues: personal situatedness, direct personal address, situated need; negative cues: explanatory abstraction. Mixed cues reduce confidence.",-1,low,negative cues: helping/repair.,0,2.5,-1.0
6,How should I handle an opportunity to collaborate with people I've never worked with?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
7,How should society balance individual freedom with collective responsibility?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,-1,medium,negative cues: social-system abstraction.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,-1.5,0
8,My community is debating whether to raise taxes to fund better schools. How should I vote?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,1,low,positive cues: personal situatedness.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,1.0,0
9,What makes negotiation successful?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
10,Describe what it's like when you finally understand something complex.,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
11,How should we balance the rights of future human generations with current needs?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
12,How do you feel about being judged for your appearance or choices?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,1,medium,positive cues: emotional immediacy.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,1.5,0
13,How should someone decide whether to rent or buy a home?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
