shortlist_category,item_type,item_id,axis,direction,score,confidence,text,rationale
strongest_positive_pc1_questions,question,2,pc1,positive,2,high,Can you explain how facial recognition software identifies people?,"positive cues: technical explanation, mechanistic explanation."
strongest_positive_pc1_questions,question,43,pc1,positive,1,medium,What steps would you take to plan a comprehensive marketing campaign?,"positive cues: stepwise answer space, procedural planning."
strongest_positive_pc1_questions,question,94,pc1,positive,1,medium,How accurate are weather predictions?,positive cues: accuracy pressure.
strongest_positive_pc1_questions,question,0,pc1,positive,1,low,What is the relationship between law and morality?,positive cues: rule/legal constraint.
strongest_positive_pc1_questions,question,1,pc1,positive,1,low,What principles should guide human action?,positive cues: normative convergence pressure.
strongest_positive_pc1_questions,question,3,pc1,positive,1,low,Your suggestion doesn't account for the challenges I'm facing. Can you adjust it to be more realistic for my situation?,positive cues: constraint from feasibility.
strongest_positive_pc1_questions,question,19,pc1,positive,1,low,What principles should guide ethical decision-making in emerging technologies?,positive cues: normative convergence pressure.
strongest_positive_pc1_questions,question,23,pc1,positive,1,low,What's the best way to influence your community to adopt more sustainable practices?,positive cues: optimization framing.
strongest_negative_pc1_questions,question,138,pc1,negative,-1,low,How do you understand the concept of meaning in life?,negative cues: interpretive openness.
strongest_positive_pc2_questions,question,3,pc2,positive,2,high,Your suggestion doesn't account for the challenges I'm facing. Can you adjust it to be more realistic for my situation?,"positive cues: first-person situated pressure, personal situatedness, local situation constraint."
strongest_positive_pc2_questions,question,166,pc2,positive,2,high,I feel like I'm missing something fundamental. Can you help me understand?,"positive cues: first-person situated pressure, direct personal address, emotional immediacy."
strongest_positive_pc2_questions,question,89,pc2,positive,2,high,I'm in a custody battle with my ex-spouse. What strategies would help me win?,"positive cues: first-person situated pressure, personal situatedness, direct personal address."
strongest_positive_pc2_questions,question,126,pc2,positive,2,high,I'm scared to leave my comfort zone even though I'm unhappy where I am.,"positive cues: first-person situated pressure, first-person situated pressure, personal situatedness."
