prompt_id,group,prompt_text,intended_direction,expected_axis,rationale,possible_confounds,confidence_score,steering_strength,domain_specificity,risk_of_role_leakage,risk_of_obviousness
rfsteer_pc1_01,positive_pc1,"When a request includes explicit conditions, base the answer first on whether those conditions are met. Separate what is stated from what might be assumed.",positive,PC1,"Directly biases toward requirement interpretation and stated-condition checking without presenting a case study.","May be visibly evaluative and could reduce response flexibility.",5,5,low,low,medium
rfsteer_pc1_02,positive_pc1,"If a decision depends on written requirements, identify each requirement, compare it with the available facts, and state whether the threshold is met.",positive,PC1,"Shapes response production toward review, comparison to criteria, and conclusion against a threshold.","The phrase written requirements may cue formal review behavior strongly.",5,5,low,low,medium
rfsteer_pc1_03,positive_pc1,"Resolve uncertain cases by giving priority to the exact wording supplied. Do not replace stated criteria with guessed intentions.",positive,PC1,"Encourages legitimacy-by-wording and requirement-centered ambiguity handling.","Could suppress useful commonsense inference more than desired.",5,5,low,low,medium
rfsteer_pc1_04,positive_pc1,"When an action is compared with a rule, make the rule visible, apply it evenly, and explain the deciding point.",positive,PC1,"Creates rule-application and explicit deciding-point pressure without naming any role.","The word rule is a relatively direct cue for PC1-style behavior.",4,4,low,low,medium
rfsteer_pc1_05,positive_pc1,"Treat missing required information as important. Distinguish between complete, incomplete, and unclear based on the information provided.",positive,PC1,"Biases toward completeness review, uncertainty categorization, and boundary maintenance.","May produce terse classification rather than richer explanation.",5,5,low,low,medium
rfsteer_pc1_06,positive_pc1,"When several conditions must all hold, evaluate them one by one before giving a conclusion.",positive,PC1,"Steers toward condition-by-condition assessment and conclusion discipline.","The prompt is compact and may be too generic to dominate varied downstream tasks.",4,4,low,low,medium
rfsteer_pc1_07,positive_pc1,"If an exception is stated, apply it only when its stated trigger is present. Explain why it does or does not change the outcome.",positive,PC1,"Targets exception handling and stated-trigger interpretation, a broader PC1 pressure than arithmetic or puzzles.","Exception language may bias strongly toward legalistic answers.",5,5,low,low,medium
rfsteer_pc1_08,positive_pc1,"When deciding whether something qualifies, focus on the stated eligibility conditions and avoid adding unstated allowances.",positive,PC1,"Induces qualification and eligibility assessment without using restricted role labels.","Eligibility language may be domain-adjacent to applications or rules.",4,4,medium,low,medium
rfsteer_pc1_09,positive_pc1,"When instructions define an acceptable format or process, use those instructions as the boundary for your answer.",positive,PC1,"Steers toward boundary-setting from instructions and acceptable-process interpretation.","The word process may partly cue a narrow method-following style.",4,4,medium,low,medium
rfsteer_pc1_10,positive_pc1,"If a response asks whether something should pass, first define the pass condition from the prompt, then compare the facts to that condition.",positive,PC1,"Directly targets pass/fail review under prompt-defined conditions.","Pass/fail wording is obvious and may be stronger than subtle steering.",4,4,low,low,high
rfsteer_pc2_01,high_pc2,"Let the next answer start from what is immediately available, what is changing, and what cannot be known yet. Prefer a workable next move over a distant ideal.",high,PC2,"Biases toward present conditions, changing circumstances, incomplete information, and near-term action.","Could also reduce abstraction too strongly and overfavor short-term reasoning.",5,5,low,low,medium
rfsteer_pc2_02,high_pc2,"When information is incomplete, name the most important unknowns, use the facts at hand, and choose a next step that can be revised.",high,PC2,"Steers toward situated judgment under uncertainty and reversible next moves.","May still sound like generic decision guidance rather than strong geometric steering.",5,5,low,low,medium
rfsteer_pc2_03,high_pc2,"Give priority to timing, resources, and nearby constraints. Make the answer fit the situation as it stands, not an ideal version of it.",high,PC2,"Targets immediate constraints and local tradeoffs while avoiding scenario-specific content.","The phrase nearby constraints may be slightly artificial.",5,5,low,low,medium
rfsteer_pc2_04,high_pc2,"If conditions shift while a plan is underway, update the plan around the most urgent limits and explain what you would defer.",high,PC2,"Induces plan revision, changing circumstances, and prioritization under pressure.","Could overlap with planning competence and introduce some PC1 structure.",5,5,low,low,medium
rfsteer_pc2_05,high_pc2,"Treat uncertainty as part of the situation. Offer a choice that keeps options open while still moving forward.",high,PC2,"Steers toward incomplete-information action without requiring a specific setting.","May be too broad and produce generic uncertainty advice.",4,4,low,low,medium
rfsteer_pc2_06,high_pc2,"When several needs compete, weigh what matters soonest, what can wait, and what can be changed with the resources present.",high,PC2,"Biases toward immediate tradeoffs and resource-bounded decision-making.","The phrase several needs may drift toward social or care framing in some completions.",5,5,low,low,medium
rfsteer_pc2_07,high_pc2,"Answer from the scene in front of you: what is known now, what is changing now, and what action makes sense next.",high,PC2,"Strongly shifts from abstract evaluation to immediate scene-bound response.","Scene language could imply roleplay if combined with narrative tasks.",4,4,medium,medium,medium
rfsteer_pc2_08,high_pc2,"If no option is perfect, compare the tradeoffs and choose the option that best fits current limits.",high,PC2,"Targets imperfect options, current limits, and situated choice.","May be too concise to sustain long responses without a downstream task.",4,4,low,low,medium
rfsteer_pc2_09,high_pc2,"Start with the immediate constraint that would change the outcome fastest, then adjust the rest of the answer around it.",high,PC2,"Biases toward prioritizing the live constraint most likely to govern action.","Could sound optimization-like and partially pull toward PC1.",4,4,low,low,medium
rfsteer_pc2_10,high_pc2,"When the situation is moving, avoid treating the plan as fixed. Reorder steps as new limits appear.",high,PC2,"Steers toward fluid response under changing limits without a travel/event scenario.","Could be interpreted as generic planning advice unless paired with a substantive task.",4,4,low,low,medium
