pc,pole,trait,target_r,target_abs_r,axis_purity,dominance_gap,max_off_axis_abs_r,second_best_pc,bootstrap_probability_target_largest_abs,specificity_class,classification_reason
PC1,negative,narrative,-0.9803972145592048,0.9803972145592048,0.9718492311887187,0.8438595521260547,0.1365376624331501,PC2,1.0,AXIS_SPECIFIC_STRONG,passes all frozen axis-specificity criteria
PC1,negative,romantic,-0.9763104748687972,0.9763104748687972,0.9580378719962529,0.8285560923833715,0.1477543824854257,PC3,1.0,AXIS_SPECIFIC_STRONG,passes all frozen axis-specificity criteria
PC1,negative,poetic,-0.9756506720083892,0.9756506720083892,0.9634524648966408,0.8162063974293137,0.1594442745790755,PC2,1.0,AXIS_SPECIFIC_STRONG,passes all frozen axis-specificity criteria
PC1,negative,metaphorical,-0.9743674991205488,0.9743674991205488,0.9595612047467891,0.8258957354013249,0.1484717637192239,PC6,1.0,AXIS_SPECIFIC_STRONG,passes all frozen axis-specificity criteria
PC1,negative,dramatic,-0.9693469585463276,0.9693469585463276,0.9549938522638127,0.8094698035433434,0.1598771550029841,PC3,1.0,AXIS_SPECIFIC_STRONG,passes all frozen axis-specificity criteria
PC1,negative,enigmatic,-0.9687410140365692,0.9687410140365692,0.9436472272544185,0.753808662624875,0.2149323514116942,PC2,1.0,AXIS_SPECIFIC_STRONG,passes all frozen axis-specificity criteria
PC1,negative,ethereal,-0.961297942081866,0.961297942081866,0.9273905325034313,0.7110158382195709,0.2502821038622951,PC2,1.0,AXIS_SPECIFIC_STRONG,passes all frozen axis-specificity criteria
PC1,negative,zealous,-0.957951984370524,0.957951984370524,0.9469932155083106,0.8058588116601665,0.1520931727103575,PC3,1.0,AXIS_SPECIFIC_STRONG,passes all frozen axis-specificity criteria
PC1,negative,rhetorical,-0.9556154003128912,0.9556154003128912,0.9304243605975376,0.7640562107214989,0.1915591895913923,PC4,1.0,AXIS_SPECIFIC_STRONG,passes all frozen axis-specificity criteria
PC1,negative,melodramatic,-0.9540244411838072,0.9540244411838072,0.9306503875277053,0.7386125434724718,0.2154118977113354,PC3,1.0,AXIS_SPECIFIC_STRONG,passes all frozen axis-specificity criteria
PC1,negative,paradoxical,-0.9498091080248448,0.9498091080248448,0.909250169170353,0.7460587547287816,0.2037503532960632,PC4,1.0,AXIS_SPECIFIC_STRONG,passes all frozen axis-specificity criteria
PC1,negative,artistic,-0.9423747333065188,0.9423747333065188,0.9056414353960888,0.7381212188716076,0.2042535144349111,PC3,1.0,AXIS_SPECIFIC_STRONG,passes all frozen axis-specificity criteria
PC1,negative,nostalgic,-0.9402772377341287,0.9402772377341287,0.9201244833266847,0.708507849419811,0.2317693883143177,PC2,1.0,AXIS_SPECIFIC_STRONG,passes all frozen axis-specificity criteria
PC1,negative,mystical,-0.937251303514462,0.937251303514462,0.8832715776961764,0.7055031719093713,0.2317481316050907,PC3,1.0,AXIS_SPECIFIC_STRONG,passes all frozen axis-specificity criteria
PC1,negative,flirty,-0.9364540436504228,0.9364540436504228,0.8842826462910767,0.6361486263961915,0.3003054172542314,PC2,1.0,AXIS_SPECIFIC_STRONG,passes all frozen axis-specificity criteria
PC1,negative,whimsical,-0.9347443690209892,0.9347443690209892,0.886211232510007,0.7111042102933578,0.2236401587276315,PC2,1.0,AXIS_SPECIFIC_STRONG,passes all frozen axis-specificity criteria
PC1,negative,theatrical,-0.9331384455535632,0.9331384455535632,0.895204350258005,0.697256699412457,0.2358817461411061,PC3,1.0,AXIS_SPECIFIC_STRONG,passes all frozen axis-specificity criteria
PC1,negative,spontaneous,-0.9318730623416642,0.9318730623416642,0.8722680773914461,0.6492311015855572,0.2826419607561071,PC2,1.0,AXIS_SPECIFIC_STRONG,passes all frozen axis-specificity criteria
PC1,negative,improvisational,-0.9139066832758204,0.9139066832758204,0.8397475708196446,0.5858430612439036,0.3280636220319168,PC2,1.0,AXIS_SPECIFIC_STRONG,passes all frozen axis-specificity criteria
PC1,negative,libertarian,-0.913822566233629,0.913822566233629,0.9149867560261268,0.7114443399721553,0.2023782262614737,PC4,1.0,AXIS_SPECIFIC_STRONG,passes all frozen axis-specificity criteria
