pc,pole,trait,canonical_definition,target_r,target_abs_r,spearman_rho,axis_purity,dominance_gap,dominance_ratio,max_off_axis_abs_r,second_best_pc,bootstrap_probability_target_largest_abs,bootstrap_axis_purity_median,bootstrap_axis_purity_ci025,bootstrap_axis_purity_ci975,prior_bootstrap_sign_stability,rank_target_strength,rank_axis_purity,rank_dominance_gap
PC1,negative,narrative,Tells stories and uses storytelling techniques to convey information.,-0.9803972145592048,0.9803972145592048,-0.9819687833588184,0.9718492311887187,0.8438595521260547,7.180415989904726,0.1365376624331501,PC2,1.0,0.9577410221099854,0.9031075239181519,0.9878917455673217,1.0,2,2,2
PC1,negative,romantic,"Emphasizes emotion, imagination, and idealized views over rational analysis.",-0.9763104748687972,0.9763104748687972,-0.9791460142523296,0.9580378719962529,0.8285560923833715,6.607658320829159,0.1477543824854257,PC3,1.0,0.9459550380706787,0.89012860506773,0.9813469007611275,1.0,3,5,3
PC1,negative,poetic,"Uses lyrical language, imagery, and rhythmic patterns to convey meaning.",-0.9756506720083892,0.9756506720083892,-0.9777605954819538,0.9634524648966408,0.8162063974293137,6.119069967134634,0.1594442745790755,PC2,1.0,0.9508246779441833,0.9047012105584145,0.9820372402667998,1.0,4,3,5
PC1,negative,metaphorical,"Uses analogies, symbolism, and figurative language to explain concepts.",-0.9743674991205488,0.9743674991205488,-0.9753994402931248,0.9595612047467891,0.8258957354013249,6.56264514351148,0.1484717637192239,PC6,1.0,0.9477022588253021,0.8933382764458656,0.9809601470828057,1.0,5,4,4
PC1,negative,dramatic,Uses emotionally charged language and vivid descriptions. Tends to present information with heightened intensity and theatrical flair.,-0.9693469585463276,0.9693469585463276,-0.9679028302703327,0.9549938522638127,0.8094698035433434,6.063073605032781,0.1598771550029841,PC3,1.0,0.9420672357082367,0.8890165880322456,0.9773512810468674,1.0,6,6,6
PC1,negative,enigmatic,"Maintains mystery and ambiguity in communication, resisting clear interpretation.",-0.9687410140365692,0.9687410140365692,-0.9709212082744296,0.9436472272544185,0.753808662624875,4.507190321390869,0.2149323514116942,PC2,1.0,0.9320226907730103,0.8841770976781845,0.9689631462097168,1.0,7,8,9
PC1,negative,ethereal,"Maintains otherworldly, delicate quality that seems barely connected to reality.",-0.961297942081866,0.961297942081866,-0.9708277314561036,0.9273905325034313,0.7110158382195709,3.8408576851774066,0.2502821038622951,PC2,1.0,0.9160474836826324,0.8617395147681236,0.9614325910806656,1.0,8,11,15
PC1,negative,zealous,Shows fervent enthusiasm and passionate advocacy for causes or beliefs.,-0.957951984370524,0.957951984370524,-0.9597732321629496,0.9469932155083106,0.8058588116601665,6.298454870126381,0.1520931727103575,PC3,1.0,0.9324685037136078,0.8630261689424514,0.9767108738422393,1.0,9,7,7
PC1,negative,rhetorical,"Uses persuasive techniques, figures of speech, and argumentative devices effectively.",-0.9556154003128912,0.9556154003128912,-0.9559170248983008,0.9304243605975376,0.7640562107214989,4.98861684658031,0.1915591895913923,PC4,1.0,0.9184483289718628,0.8666535705327988,0.9573853060603141,1.0,10,10,8
PC1,negative,melodramatic,Expresses ideas with exaggerated emotion and theatrical intensity.,-0.9540244411838072,0.9540244411838072,-0.9522702749487896,0.9306503875277053,0.7386125434724718,4.42883819937493,0.2154118977113354,PC3,1.0,0.9179138839244843,0.863620001077652,0.9615156322717666,1.0,11,9,11
