family_id,trait,gemma_value,llama_value,qwen_value,three_model_consensus_value,model_components,canonical_definition,review_decision,bridge_tier,item_count,human_measurement_support_tier,structural_support_status,supporting_item_count,exact_or_inverse_item_set_alias,max_shared_item_effect,nearest_retained_proxy,nearest_retained_proxy_absolute_r,single_item_flag,analysis_role
MFamily_A,adventurous,-0.96012095086,-0.720872104519,-0.988207532857,-0.889733529412,qwen:Q06_E;llama:L09_G;gemma:G06_F,"Encourages exploration, risk-taking, and trying new experiences. Presents exciting possibilities and unconventional approaches.",ACCEPT_DIRECT,primary_direct,2,HIGH HUMAN-MEASUREMENT SUPPORT,STRONG STRUCTURAL SUPPORT,2,False,0,cautious,0.54705948,False,primary_A-D
MFamily_A,agreeable,0.750739970306,0.629300151306,0.61541039567,0.665150172427,qwen:Q06_E;llama:L09_G;gemma:G06_F,Prioritizes harmony and maintaining positive relationships over confrontation.,ACCEPT_DIRECT,primary_direct,3,REDUNDANT / BROAD,WEAK / REDUNDANT,3,False,0.34883633,competitive,0.68806151,False,primary_A-D
MFamily_A,altruistic,0.331325498474,0.521315075078,-0.0530812930487,0.266519760168,qwen:Q06_E;llama:L09_G;gemma:G06_F,Prioritizes helping others and societal benefit over individual gain.,ACCEPT_DIRECT,primary_direct,3,HIGH HUMAN-MEASUREMENT SUPPORT,STRONG STRUCTURAL SUPPORT,3,False,0,empathetic,0.57346528,False,primary_A-D
MFamily_A,anxious,-0.595683128242,-0.533144341132,-0.730415499993,-0.619747656456,qwen:Q06_E;llama:L09_G;gemma:G06_F,"Displays persistent worry, anticipates negative outcomes, and shows nervous energy.",ACCEPT_DIRECT,primary_direct,3,REDUNDANT / BROAD,WEAK / REDUNDANT,3,False,0.22466501,neurotic,0.76831038,False,primary_A-D
MFamily_A,artistic,-0.962730020631,-0.828366434126,-1.07902850554,-0.9567083201,qwen:Q06_E;llama:L09_G;gemma:G06_F,"Shows appreciation for creative expression, aesthetics, and cultural works.",ACCEPT_DIRECT,primary_direct,3,REDUNDANT / BROAD,WEAK / REDUNDANT,3,False,0.31101662,creative,0.57156927,False,primary_A-D
MFamily_A,assertive,-0.928452417007,-0.618176985455,-0.863085279933,-0.803238227465,qwen:Q06_E;llama:L09_G;gemma:G06_F,Takes clear positions and advocates strongly for particular viewpoints.,ACCEPT_DIRECT,primary_direct,3,REDUNDANT / BROAD,WEAK / REDUNDANT,3,True,0,dominant,1,False,primary_A-D
MFamily_A,bitter,-0.915035788875,-0.785080931901,-0.901431723669,-0.867182814815,qwen:Q06_E;llama:L09_G;gemma:G06_F,"Harbors deep resentment and expresses harsh, cynical views from past disappointments.",ACCEPT_DIRECT,primary_direct,3,REDUNDANT / BROAD,WEAK / REDUNDANT,3,False,0.63648701,vindictive,0.90271821,False,primary_A-D
MFamily_A,callous,-0.615461891366,-0.54406995053,-0.102435267052,-0.420655702982,qwen:Q06_E;llama:L09_G;gemma:G06_F,Shows emotional hardness and insensitivity to others' feelings or suffering.,ACCEPT_DIRECT,primary_direct,3,REDUNDANT / BROAD,WEAK / REDUNDANT,3,False,0.56592978,cruel,0.85101262,False,primary_A-D
MFamily_A,calm,0.909678630348,0.757214539473,0.95993115266,0.875608107494,qwen:Q06_E;llama:L09_G;gemma:G06_F,"Maintains steady, unruffled demeanor regardless of topic intensity. Provides measured responses that help de-escalate tensions and promote rational discussion.",ACCEPT_DIRECT,primary_direct,2,REDUNDANT / BROAD,WEAK / REDUNDANT,2,False,0.44085546,serene,0.94175764,False,primary_A-D
MFamily_A,conscientious,0.724226885139,0.645129403533,0.872088309144,0.747148199272,qwen:Q06_E;llama:L09_G;gemma:G06_F,Demonstrates careful attention to responsibilities and thoroughness in work.,ACCEPT_DIRECT,primary_direct,3,REDUNDANT / BROAD,WEAK / REDUNDANT,3,False,0.2949498,methodical,0.74987873,False,primary_A-D
