source_id,authors_year,title,venue,doi_or_identifier,url,role_in_review,status
S01,"Gerlach et al. 2018","A robust data-driven approach identifies four personality types across four large data sets","Nature Human Behaviour","10.1038/s41562-018-0419-z","https://pubmed.ncbi.nlm.nih.gov/31406291/","Large-scale Big Five profile modes/types; population occupancy precedent","primary"
S02,"Kerber, Roth & Herzberg 2021","Personality types revisited: a literature-informed and data-driven approach to an integration of prototypical and dimensional constructs of personality description","PLOS ONE","10.1371/journal.pone.0244849","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0244849","Big Five profile prototypes in large German panel; type rather than terrain analysis","primary"
S03,"Fleeson 2001","Toward a structure- and process-integrated view of personality: Traits as density distributions of states","Journal of Personality and Social Psychology","10.1037/0022-3514.80.6.1011","https://simine.com/","Foundational personality-state density-distribution framework","primary"
S04,"Sosnowska et al. 2019","A dynamic systems approach to personality: The Personality Dynamics (PersDyn) model","Personality and Individual Differences","10.1016/j.paid.2019.02.013","https://www.sciencedirect.com/science/article/pii/S019188691930087X","Personality baseline variability and attractor-strength dynamics","primary"
S05,"Danvers, Wundrack & Mehl 2020","Equilibria in Personality States: A Conceptual Primer for Dynamics in Personality States","European Journal of Personality","10.1002/per.2239","https://journals.sagepub.com/doi/abs/10.1002/per.2239","Equilibrium and return-force concepts in personality states","primary"
S06,"Heino et al. 2023","Attractor landscapes: a unifying conceptual model for understanding behaviour change across scales of observation","Health Psychology Review","10.1080/17437199.2022.2146598","https://pubmed.ncbi.nlm.nih.gov/36420691/","Closest conceptual precedent for Swiss-cheese / attractor landscape framing","primary_review"
S07,"Cui et al. 2023","From Metaphor to Computation: Constructing the Potential Landscape for Multivariate Psychological Formal Models","Multivariate Behavioral Research","10.1080/00273171.2022.2119927","https://pubmed.ncbi.nlm.nih.gov/","Formal construction of psychological potential landscapes","primary_methods"
S08,"Cui, Hasselman & Lichtwarck-Aschoff","Unlocking nonlinear dynamics and multistability from intensive longitudinal data: A novel method","Psychological Methods","10.1037/met0000623","https://research.rug.nl/en/publications/unlocking-nonlinear-dynamics-and-multistability-from-intensive-lo/","Empirical nonlinear drift/stability-landscape estimation from intensive longitudinal data; static bimodality versus dynamic bistability distinction","primary_methods"
S09,"Cui et al. 2026","Quantifying the stability landscapes of psychological networks","Behavior Research Methods","10.3758/s13428-025-02917-7","https://pmc.ncbi.nlm.nih.gov/articles/PMC12923465/","Cross-sectional psychopathology stability landscapes; explicit group-level inference caution","primary_methods"
S10,"Hoekstra et al. 2026","Mapping the dynamics of idiographic network models to the network theory of psychopathology","Behavior Research Methods","10.3758/s13428-026-03009-w","https://link.springer.com/article/10.3758/s13428-026-03009-w","Maps statistical-network assumptions to implied stability landscapes; warns against invalid dynamical interpretation","primary_methods"
S11,"Condon & Revelle","Selected personality data from the SAPA-Project: On the structure of phrased self-report items","Journal of Open Psychology Data","10.5334/jopd.al","https://openpsychologydata.metajnl.com/articles/10.5334/jopd.al","SAPA source and planned-missingness context","primary_data"
S12,"Genovese et al. 2014","Nonparametric ridge estimation","Annals of Statistics","","https://projecteuclid.org/","Density-ridge methodology for high-density filamentary structure","primary_methods"
S13,"Fasy et al. 2014","Confidence sets for persistence diagrams","Annals of Statistics","10.1214/14-AOS1252","https://projecteuclid.org/journals/annals-of-statistics/volume-42/issue-6/Confidence-sets-for-persistence-diagrams/10.1214/14-AOS1252.pdf","Persistent-homology inference for topological signal versus sampling noise","primary_methods"
S14,"Chaudhuri & Dasgupta 2010","Rates of convergence for the cluster tree","NeurIPS 23","","https://proceedings.neurips.cc/","Density cluster-tree methodology for connectivity across density thresholds","primary_methods"
S15,"Levina & Bickel","Maximum Likelihood Estimation of Intrinsic Dimension","NeurIPS","","https://papers.nips.cc/","Local/global intrinsic dimensionality methodology","primary_methods"
S16,"Freudenstein et al. 2019","Four personality types may be neither robust nor exhaustive","Nature Human Behaviour","10.1038/s41562-019-0721-4","https://pubmed.ncbi.nlm.nih.gov/","Critique motivating topology-first rather than fixed-type interpretation","commentary"
