outer_fold,candidate_a,candidate_b,joint_observed_n,residual_r,shared_items,semantic_same_construct,redundant,threshold
1,HEXACO:H:E:A,BFAS:BFAS:N:W,84,,,False,False,0.8
1,HEXACO:H:X:L,BFAS:BFAS:N:W,355,-0.14187217884660822,,False,False,0.8
1,HEXACO:H:X:L,HEXACO:H:E:A,337,0.10532179775376925,,False,False,0.8
1,QB6:QB6:ES,BFAS:BFAS:N:W,208,-0.17608308957752963,,False,False,0.8
1,QB6:QB6:ES,HEXACO:H:E:A,300,0.5352829671124826,q_1596,False,False,0.8
1,QB6:QB6:ES,HEXACO:H:X:L,819,0.23056651129028016,,False,False,0.8
1,MPQ:MPQ:WB,BFAS:BFAS:N:W,168,-0.08899060351772313,,False,False,0.8
1,MPQ:MPQ:WB,HEXACO:H:E:A,156,0.08972062628339522,,False,False,0.8
1,MPQ:MPQ:WB,HEXACO:H:X:L,535,0.31609798190955224,,False,False,0.8
1,MPQ:MPQ:WB,QB6:QB6:ES,369,0.06569752962569408,,False,False,0.8
1,IPIPneo:E6:CH,BFAS:BFAS:N:W,338,-0.0829517609214858,,False,False,0.8
1,IPIPneo:E6:CH,HEXACO:H:E:A,320,0.02411337703688813,,False,False,0.8
1,IPIPneo:E6:CH,HEXACO:H:X:L,1204,0.11660128251171699,,False,False,0.8
1,IPIPneo:E6:CH,QB6:QB6:ES,760,-0.01525292858059834,,False,False,0.8
1,IPIPneo:E6:CH,MPQ:MPQ:WB,657,-0.08134150378949509,q_1567,False,False,0.8
1,IPIPneo:N6:VU,BFAS:BFAS:N:W,313,0.5187050187888924,q_332,False,False,0.8
1,IPIPneo:N6:VU,HEXACO:H:E:A,210,-0.18646732106211453,,False,False,0.8
1,IPIPneo:N6:VU,HEXACO:H:X:L,741,-0.15509327836287254,,False,False,0.8
1,IPIPneo:N6:VU,QB6:QB6:ES,473,-0.15762526328310722,,False,False,0.8
1,IPIPneo:N6:VU,MPQ:MPQ:WB,376,-0.04258119864076142,,False,False,0.8
1,IPIPneo:N6:VU,IPIPneo:E6:CH,763,0.06669558237016036,,False,False,0.8
1,EPQr:EPQ:N,BFAS:BFAS:N:W,533,0.39385431218360784,,False,False,0.8
1,EPQr:EPQ:N,HEXACO:H:E:A,535,-0.33411860848897407,,False,False,0.8
1,EPQr:EPQ:N,HEXACO:H:X:L,3057,-0.1610176622762285,,False,False,0.8
1,EPQr:EPQ:N,QB6:QB6:ES,1388,-0.3001597598723144,,True,True,0.8
1,EPQr:EPQ:N,MPQ:MPQ:WB,790,-0.0359839986614357,,False,False,0.8
1,EPQr:EPQ:N,IPIPneo:E6:CH,1836,0.0358934339743094,,False,False,0.8
1,EPQr:EPQ:N,IPIPneo:N6:VU,1133,0.25783634092442903,,False,False,0.8
1,PS:PS:S,BFAS:BFAS:N:W,486,-0.2543400223707158,,False,False,0.8
1,PS:PS:S,HEXACO:H:E:A,465,0.13898660701356508,,False,False,0.8
1,PS:PS:S,HEXACO:H:X:L,2291,0.06733199063376837,,False,False,0.8
1,PS:PS:S,QB6:QB6:ES,1132,0.20009977624165495,,False,False,0.8
1,PS:PS:S,MPQ:MPQ:WB,746,0.042023172703289285,,False,False,0.8
1,PS:PS:S,IPIPneo:E6:CH,1667,-0.04100996855267296,,False,False,0.8
1,PS:PS:S,IPIPneo:N6:VU,1012,-0.12491546775955108,,False,False,0.8
1,PS:PS:S,EPQr:EPQ:N,3756,-0.2863815455574342,,False,False,0.8
2,HEXACO:H:E:A,BFAS:BFAS:N:W,88,,,False,False,0.8
2,HEXACO:H:X:L,BFAS:BFAS:N:W,356,-0.13033212521683218,,False,False,0.8
2,HEXACO:H:X:L,HEXACO:H:E:A,348,0.1333343708273707,,False,False,0.8
2,QB6:QB6:ES,BFAS:BFAS:N:W,194,-0.22690996076844083,,False,False,0.8
2,QB6:QB6:ES,HEXACO:H:E:A,294,0.5216562405387478,q_1596,False,False,0.8
2,QB6:QB6:ES,HEXACO:H:X:L,803,0.20304434825229717,,False,False,0.8
2,MPQ:MPQ:WB,BFAS:BFAS:N:W,165,-0.12743231000365768,,False,False,0.8
2,MPQ:MPQ:WB,HEXACO:H:E:A,159,0.10129064201379517,,False,False,0.8
2,MPQ:MPQ:WB,HEXACO:H:X:L,547,0.2930023960039601,,False,False,0.8
2,MPQ:MPQ:WB,QB6:QB6:ES,362,0.07379846151176268,,False,False,0.8
2,IPIPneo:E6:CH,BFAS:BFAS:N:W,338,-0.010379817098218337,,False,False,0.8
2,IPIPneo:E6:CH,HEXACO:H:E:A,312,0.0017062422735295369,,False,False,0.8
2,IPIPneo:E6:CH,HEXACO:H:X:L,1195,0.09689328598305257,,False,False,0.8
2,IPIPneo:E6:CH,QB6:QB6:ES,723,-0.042414958692297715,,False,False,0.8
2,IPIPneo:E6:CH,MPQ:MPQ:WB,667,-0.12322615223212251,q_1567,False,False,0.8
2,IPIPneo:N6:VU,BFAS:BFAS:N:W,301,0.5004688290048928,q_332,False,False,0.8
2,IPIPneo:N6:VU,HEXACO:H:E:A,213,-0.2112431725140977,,False,False,0.8
2,IPIPneo:N6:VU,HEXACO:H:X:L,725,-0.13490342115086168,,False,False,0.8
2,IPIPneo:N6:VU,QB6:QB6:ES,446,-0.18412181624266513,,False,False,0.8
2,IPIPneo:N6:VU,MPQ:MPQ:WB,384,-0.03423341615532032,,False,False,0.8
2,IPIPneo:N6:VU,IPIPneo:E6:CH,739,0.014012363667002295,,False,False,0.8
