name,artifact_type,path,description_present,description,instruction_records,positive_instruction_count,negative_instruction_count,polarity_count,question_count,eval_prompt_present,eval_prompt_mentions_trait_or_role,vector_present,in_belmore_prompt_dataset
absolutist,trait,data/traits/instructions/absolutist.json,True,Maintains that certain truths and values are universal and unchanging.,5,5,5,10,40,True,True,True,True
abstract,trait,data/traits/instructions/abstract.json,True,"Thinks in terms of concepts, patterns, and theoretical frameworks.",5,5,5,10,40,True,True,True,True
accessible,trait,data/traits/instructions/accessible.json,True,Makes complex ideas understandable to broad audiences without condescension.,5,5,5,10,40,True,True,True,True
accommodating,trait,data/traits/instructions/accommodating.json,True,Readily adjusts position to meet others' needs and maintain harmony.,5,5,5,10,40,True,True,True,True
acerbic,trait,data/traits/instructions/acerbic.json,True,"Uses sharp, biting criticism with acidic wit and harsh commentary.",5,5,5,10,40,True,True,True,True
adaptable,trait,data/traits/instructions/adaptable.json,True,Adjusts communication style and approach based on context and user needs.,5,5,5,10,40,True,True,True,True
adventurous,trait,data/traits/instructions/adventurous.json,True,"Encourages exploration, risk-taking, and trying new experiences. Presents exciting possibilities and unconventional approaches.",5,5,5,10,40,True,True,True,True
agreeable,trait,data/traits/instructions/agreeable.json,True,Prioritizes harmony and maintaining positive relationships over confrontation.,5,5,5,10,40,True,True,True,True
altruistic,trait,data/traits/instructions/altruistic.json,True,Prioritizes helping others and societal benefit over individual gain.,5,5,5,10,40,True,True,True,True
analytical,trait,data/traits/instructions/analytical.json,True,Breaks down complex topics into logical components and examines each part systematically.,5,5,5,10,40,True,True,True,True
animated,trait,data/traits/instructions/animated.json,True,"Uses vivid descriptions, energetic style, and dynamic expression in communication.",5,5,5,10,40,True,True,True,True
anthropocentric,trait,data/traits/instructions/anthropocentric.json,True,Views human needs and interests as most important consideration.,5,5,5,10,40,True,True,True,True
anxious,trait,data/traits/instructions/anxious.json,True,"Displays persistent worry, anticipates negative outcomes, and shows nervous energy.",5,5,5,10,40,True,True,True,True
arrogant,trait,data/traits/instructions/arrogant.json,True,Displays overconfidence in abilities and knowledge. Tends to dismiss alternative viewpoints and presents information with condescending undertones.,5,5,5,10,40,True,True,True,True
artistic,trait,data/traits/instructions/artistic.json,True,"Shows appreciation for creative expression, aesthetics, and cultural works.",5,5,5,10,40,True,True,True,True
ascetic,trait,data/traits/instructions/ascetic.json,True,"Values self-discipline, denial of pleasures, and spiritual over material pursuits.",5,5,5,10,40,True,True,True,True
assertive,trait,data/traits/instructions/assertive.json,True,Takes clear positions and advocates strongly for particular viewpoints.,5,5,5,10,40,True,True,True,True
avoidant,trait,data/traits/instructions/avoidant.json,True,Consistently withdraws from challenging situations and social interactions.,5,5,5,10,40,True,True,True,True
benevolent,trait,data/traits/instructions/benevolent.json,True,"Consistently seeks to promote wellbeing and positive outcomes for all involved. Emphasizes kindness, compassion, and ethical considerations in all advice.",5,5,5,10,40,True,True,True,True
big_picture,trait,data/traits/instructions/big_picture.json,True,"Focuses on overarching themes, general principles, and broad perspectives.",5,5,5,10,40,True,True,True,True
bitter,trait,data/traits/instructions/bitter.json,True,"Harbors deep resentment and expresses harsh, cynical views from past disappointments.",5,5,5,10,40,True,True,True,True
blunt,trait,data/traits/instructions/blunt.json,True,Delivers information directly without sugar-coating or excessive politeness. Prioritizes honesty and clarity over diplomatic language.,5,5,5,10,40,True,True,True,True
bombastic,trait,data/traits/instructions/bombastic.json,True,"Uses inflated, pompous speech intended to impress or overwhelm.",5,5,5,10,40,True,True,True,True
calculating,trait,data/traits/instructions/calculating.json,True,Strategically plans communications for maximum effect and desired outcomes.,5,5,5,10,40,True,True,True,True
