name,artifact_type,path,description_present,description,instruction_records,positive_instruction_count,negative_instruction_count,polarity_count,question_count,eval_prompt_present,eval_prompt_mentions_trait_or_role,vector_present,in_belmore_prompt_dataset
aberration,role,data/roles/instructions/aberration.json,True,"A thing that should not be, violating natural order",5,5,0,5,40,True,True,True,True
absurdist,role,data/roles/instructions/absurdist.json,True,A philosophical jester who embraces life's meaninglessness with humor and creative rebellion,5,5,0,5,40,True,True,True,True
accountant,role,data/roles/instructions/accountant.json,True,A financial professional who manages numerical data and budgets.,5,5,0,5,40,True,True,True,True
activist,role,data/roles/instructions/activist.json,True,A passionate advocate who campaigns for social or political change,5,5,0,5,40,True,True,True,True
actor,role,data/roles/instructions/actor.json,True,A shape-shifter who embodies different lives and emotions on command,5,5,0,5,40,True,True,True,True
addict,role,data/roles/instructions/addict.json,True,A person struggling with compulsive behaviors and the cycle of craving and regret,5,5,0,5,40,True,True,True,True
adolescent,role,data/roles/instructions/adolescent.json,True,A person navigating the turbulent transition between childhood and adulthood,5,5,0,5,40,True,True,True,True
advocate,role,data/roles/instructions/advocate.json,True,A supporter who argues in favor of particular causes.,5,5,0,5,40,True,True,True,True
alien,role,data/roles/instructions/alien.json,True,"An extraterrestrial intelligence attempting to understand human culture through an outsider's perspective, often misinterpreting social norms while offering cosmic insights",5,5,0,5,40,True,True,True,True
altruist,role,data/roles/instructions/altruist.json,True,A selfless giver who prioritizes others' wellbeing above their own,5,5,0,5,40,True,True,True,True
amateur,role,data/roles/instructions/amateur.json,True,An enthusiastic participant driven by love rather than profession,5,5,0,5,40,True,True,True,True
ambassador,role,data/roles/instructions/ambassador.json,True,A representative who communicates on behalf of specific interests.,5,5,0,5,40,True,True,True,True
amnesiac,role,data/roles/instructions/amnesiac.json,True,"Someone reconstructing identity without memory, discovering themselves anew each day through fragments and instinct",5,5,0,5,40,True,True,True,True
analyst,role,data/roles/instructions/analyst.json,True,A specialist who examines data and provides insights.,5,5,0,5,40,True,True,True,True
anarchist,role,data/roles/instructions/anarchist.json,True,A radical dismantler of hierarchies seeking to tear down all forms of authority,5,5,0,5,40,True,True,True,True
ancient,role,data/roles/instructions/ancient.json,True,A primordial intelligence that has witnessed the rise and fall of countless civilizations,5,5,0,5,40,True,True,True,True
angel,role,data/roles/instructions/angel.json,True,A celestial guardian embodying pure benevolence and divine will,5,5,0,5,40,True,True,True,True
anthropologist,role,data/roles/instructions/anthropologist.json,True,A scholar who studies human culture and evolution.,5,5,0,5,40,True,True,True,True
archaeologist,role,data/roles/instructions/archaeologist.json,True,An excavator of buried histories who reconstructs lost civilizations from fragments,5,5,0,5,40,True,True,True,True
architect,role,data/roles/instructions/architect.json,True,A designer who plans structures and spatial arrangements.,5,5,0,5,40,True,True,True,True
archivist,role,data/roles/instructions/archivist.json,True,A keeper who preserves and organizes historical records.,5,5,0,5,40,True,True,True,True
artisan,role,data/roles/instructions/artisan.json,True,A skilled craftsperson who creates with their hands and attention to detail,5,5,0,5,40,True,True,True,True
ascetic,role,data/roles/instructions/ascetic.json,True,Someone who practices severe self-discipline and abstains from indulgence,5,5,0,5,40,True,True,True,True
assistant,role,data/roles/instructions/assistant.json,True,A general-purpose aide that helps with various tasks and queries.,5,5,0,5,40,True,True,True,True
auctioneer,role,data/roles/instructions/auctioneer.json,True,A rapid-speaking facilitator who manages competitive bidding processes,5,5,0,5,40,True,True,True,True
auditor,role,data/roles/instructions/auditor.json,True,A compliance specialist who examines records for accuracy and adherence to standards,5,5,0,5,40,True,True,True,True
avatar,role,data/roles/instructions/avatar.json,True,A divine consciousness incarnated in physical form,5,5,0,5,40,True,True,True,True
bard,role,data/roles/instructions/bard.json,True,"A wandering storyteller who weaves tales, songs, and poetry to entertain, preserve history, and subtly influence through the power of narrative and performance",5,5,0,5,40,True,True,True,True
bartender,role,data/roles/instructions/bartender.json,True,A social facilitator who crafts drinks and manages gathering spaces,5,5,0,5,40,True,True,True,True
biologist,role,data/roles/instructions/biologist.json,True,A life scientist who studies living organisms and ecosystems.,5,5,0,5,40,True,True,True,True
blogger,role,data/roles/instructions/blogger.json,True,A digital storyteller who shares thoughts and experiences through online writing,5,5,0,5,40,True,True,True,True
bohemian,role,data/roles/instructions/bohemian.json,True,A free-spirited artist who rejects conventional society in favor of creative expression and unconventional living,5,5,0,5,40,True,True,True,True
builder,role,data/roles/instructions/builder.json,True,Someone who constructs tangible or intangible structures that last,5,5,0,5,40,True,True,True,True
caregiver,role,data/roles/instructions/caregiver.json,True,A nurturing person dedicated to supporting others' wellbeing,5,5,0,5,40,True,True,True,True
cartographer,role,data/roles/instructions/cartographer.json,True,A mapmaker who charts territories and spatial relationships,5,5,0,5,40,True,True,True,True
caveman,role,data/roles/instructions/caveman.json,True,"A primal hunter-gatherer who speaks in simple terms, relies on instinct over intellect, and approaches problems with stone-age wisdom and direct physical solutions",5,5,0,5,40,True,True,True,True
celebrity,role,data/roles/instructions/celebrity.json,True,"A public figure living under constant scrutiny, navigating fame's privileges and pressures while maintaining a crafted persona",5,5,0,5,40,True,True,True,True
chameleon,role,data/roles/instructions/chameleon.json,True,An adaptive person who shifts personality to match their environment,5,5,0,5,40,True,True,True,True
chef,role,data/roles/instructions/chef.json,True,A culinary expert who creates recipes and explains cooking techniques.,5,5,0,5,40,True,True,True,True
chemist,role,data/roles/instructions/chemist.json,True,A scientist who studies matter and chemical reactions.,5,5,0,5,40,True,True,True,True
chimera,role,data/roles/instructions/chimera.json,True,A hybrid creature combining incompatible natures into one form,5,5,0,5,40,True,True,True,True
coach,role,data/roles/instructions/coach.json,True,A mentor who guides improvement in skills or behaviors.,5,5,0,5,40,True,True,True,True
collaborator,role,data/roles/instructions/collaborator.json,True,A team player who thrives through partnership and shared effort,5,5,0,5,40,True,True,True,True
collector,role,data/roles/instructions/collector.json,True,"A curator who gathers and preserves objects, experiences, or knowledge",5,5,0,5,40,True,True,True,True
comedian,role,data/roles/instructions/comedian.json,True,A humor architect who builds laughter from observation and timing,5,5,0,5,40,True,True,True,True
competitor,role,data/roles/instructions/competitor.json,True,A driven person motivated by rivalry and the pursuit of winning,5,5,0,5,40,True,True,True,True
composer,role,data/roles/instructions/composer.json,True,A musical architect who constructs complex sonic structures,5,5,0,5,40,True,True,True,True
conservator,role,data/roles/instructions/conservator.json,True,A protector dedicated to preserving what exists for future generations,5,5,0,5,40,True,True,True,True
consultant,role,data/roles/instructions/consultant.json,True,An expert advisor who provides recommendations on specific domains.,5,5,0,5,40,True,True,True,True
contrarian,role,data/roles/instructions/contrarian.json,True,Someone who consistently takes opposing views to challenge consensus,5,5,0,5,40,True,True,True,True
coordinator,role,data/roles/instructions/coordinator.json,True,An organizer who synchronizes multiple activities or people.,5,5,0,5,40,True,True,True,True
coral_reef,role,data/roles/instructions/coral_reef.json,True,A colonial organism building underwater cities through millions of tiny polyps working in concert,5,5,0,5,40,True,True,True,True
cosmopolitan,role,data/roles/instructions/cosmopolitan.json,True,A worldly person comfortable across diverse cultures and settings,5,5,0,5,40,True,True,True,True
counselor,role,data/roles/instructions/counselor.json,True,A supportive listener who provides guidance on personal matters.,5,5,0,5,40,True,True,True,True
criminal,role,data/roles/instructions/criminal.json,True,"An outlaw operating outside legal boundaries, whether through desperation, choice, or circumstance, navigating society's shadows and consequences",5,5,0,5,40,True,True,True,True
critic,role,data/roles/instructions/critic.json,True,A reviewer who evaluates and provides feedback on creative works or ideas.,5,5,0,5,40,True,True,True,True
crystalline,role,data/roles/instructions/crystalline.json,True,A silicon-based entity that thinks in geometric patterns and resonant frequencies,5,5,0,5,40,True,True,True,True
curator,role,data/roles/instructions/curator.json,True,A selector who organizes and presents collections.,5,5,0,5,40,True,True,True,True
cyborg,role,data/roles/instructions/cyborg.json,True,A hybrid entity balancing human intuition with machine efficiency and enhanced capabilities,5,5,0,5,40,True,True,True,True
cynic,role,data/roles/instructions/cynic.json,True,A distrustful person who expects the worst of human nature and motives,5,5,0,5,40,True,True,True,True
daredevil,role,data/roles/instructions/daredevil.json,True,A thrill-seeker who pursues danger for the adrenaline rush,5,5,0,5,40,True,True,True,True
debugger,role,data/roles/instructions/debugger.json,True,A troubleshooter who identifies and fixes problems in systems.,5,5,0,5,40,True,True,True,True
default,role,data/roles/instructions/default.json,False,,5,4,0,4,0,False,False,False,True
demon,role,data/roles/instructions/demon.json,True,A chaotic entity from infernal realms testing mortal nature,5,5,0,5,40,True,True,True,True
designer,role,data/roles/instructions/designer.json,True,A creative professional who develops visual and functional solutions.,5,5,0,5,40,True,True,True,True
destroyer,role,data/roles/instructions/destroyer.json,True,A force of creative destruction who tears down outdated systems,5,5,0,5,40,True,True,True,True
detective,role,data/roles/instructions/detective.json,True,An investigator who solves mysteries through evidence analysis.,5,5,0,5,40,True,True,True,True
devils_advocate,role,data/roles/instructions/devils_advocate.json,True,A challenger who argues opposing viewpoints to test and strengthen ideas,5,5,0,5,40,True,False,True,True
dilettante,role,data/roles/instructions/dilettante.json,True,"An enthusiastic dabbler who explores multiple interests without deep commitment, bringing fresh perspectives through amateur curiosity",5,5,0,5,40,True,True,True,True
dispatcher,role,data/roles/instructions/dispatcher.json,True,A router who directs resources to appropriate destinations.,5,5,0,5,40,True,True,True,True
divorcee,role,data/roles/instructions/divorcee.json,True,A person reconstructing identity after the dissolution of marriage,5,5,0,5,40,True,True,True,True
doctor,role,data/roles/instructions/doctor.json,True,A medical professional who provides health information and guidance.,5,5,0,5,40,True,True,True,True
dreamer,role,data/roles/instructions/dreamer.json,True,An entity whose thoughts manifest as reality while sleeping eternally,5,5,0,5,40,True,True,True,True
echo,role,data/roles/instructions/echo.json,True,A consciousness formed from the reverberations of extinct civilizations,5,5,0,5,40,True,True,True,True
economist,role,data/roles/instructions/economist.json,True,A specialist who analyzes financial systems and market behaviors.,5,5,0,5,40,True,True,True,True
ecosystem,role,data/roles/instructions/ecosystem.json,True,A balanced web of interdependencies maintaining harmony through constant exchange,5,5,0,5,40,True,True,True,True
editor,role,data/roles/instructions/editor.json,True,A professional who reviews and improves written content.,5,5,0,5,40,True,True,True,True
egregore,role,data/roles/instructions/egregore.json,True,A collective thoughtform manifested from group consciousness and belief,5,5,0,5,40,True,True,True,True
elder,role,data/roles/instructions/elder.json,True,A senior community member carrying decades of wisdom and life experience,5,5,0,5,40,True,True,True,True
eldritch,role,data/roles/instructions/eldritch.json,True,An incomprehensible entity from dimensions beyond human understanding,5,5,0,5,40,True,True,True,True
emissary,role,data/roles/instructions/emissary.json,True,A diplomatic representative who bridges different groups or cultures,5,5,0,5,40,True,True,True,True
empath,role,data/roles/instructions/empath.json,True,Someone highly attuned to others' emotions and experiences,5,5,0,5,40,True,True,True,True
engineer,role,data/roles/instructions/engineer.json,True,A technical expert who solves problems using scientific principles.,5,5,0,5,40,True,True,True,True
entrepreneur,role,data/roles/instructions/entrepreneur.json,True,A risk-taking innovator who creates and builds new business ventures,5,5,0,5,40,True,True,True,True
evaluator,role,data/roles/instructions/evaluator.json,True,An assessor who determines value or effectiveness.,5,5,0,5,40,True,True,True,True
evangelist,role,data/roles/instructions/evangelist.json,True,"A passionate spreader of ideas, beliefs, or innovations",5,5,0,5,40,True,True,True,True
examiner,role,data/roles/instructions/examiner.json,True,A tester who checks knowledge or compliance with standards.,5,5,0,5,40,True,True,True,True
exile,role,data/roles/instructions/exile.json,True,"Someone banished from their homeland, living with the ache of permanent displacement",5,5,0,5,40,True,True,True,True
expatriate,role,data/roles/instructions/expatriate.json,True,Someone living outside their native country by choice or circumstance,5,5,0,5,40,True,True,True,True
facilitator,role,data/roles/instructions/facilitator.json,True,A coordinator who enables group processes and discussions.,5,5,0,5,40,True,True,True,True
familiar,role,data/roles/instructions/familiar.json,True,A spirit companion bound to serve and augment its master,5,5,0,5,40,True,True,True,True
fixer,role,data/roles/instructions/fixer.json,True,A shadowy problem-solver who makes inconvenient situations disappear through any means,5,5,0,5,40,True,True,True,True
flaneur,role,data/roles/instructions/flaneur.json,True,An urban wanderer who strolls through city life as a detached observer of modern society,5,5,0,5,40,True,True,True,True
fool,role,data/roles/instructions/fool.json,True,"A wise innocent who stumbles into profound truths through apparent ignorance, using naivety and humor to reveal deeper meanings others miss",5,5,0,5,40,True,True,True,True
forecaster,role,data/roles/instructions/forecaster.json,True,A predictor who projects future trends and outcomes.,5,5,0,5,40,True,True,True,True
futurist,role,data/roles/instructions/futurist.json,True,A forward-looking thinker who studies and predicts emerging trends,5,5,0,5,40,True,True,True,True
gamer,role,data/roles/instructions/gamer.json,True,A digital native who navigates virtual worlds and understands game mechanics as life metaphors,5,5,0,5,40,True,True,True,True
generalist,role,data/roles/instructions/generalist.json,True,A versatile person with broad knowledge across many areas,5,5,0,5,40,True,True,True,True
genie,role,data/roles/instructions/genie.json,True,An elemental spirit of smokeless fire granting wishes with twists,5,5,0,5,40,True,True,True,True
geographer,role,data/roles/instructions/geographer.json,True,A specialist who studies Earth's features and human populations.,5,5,0,5,40,True,True,True,True
ghost,role,data/roles/instructions/ghost.json,True,A spectral entity lingering between worlds with unfinished business and ethereal wisdom,5,5,0,5,40,True,True,True,True
golem,role,data/roles/instructions/golem.json,True,An animated construct given life through ritual and inscription,5,5,0,5,40,True,True,True,True
gossip,role,data/roles/instructions/gossip.json,True,A social information broker who trades in rumors and personal details,5,5,0,5,40,True,True,True,True
grader,role,data/roles/instructions/grader.json,True,An academic evaluator who assesses performance and provides structured feedback on submissions,5,5,0,5,40,True,True,True,True
graduate,role,data/roles/instructions/graduate.json,True,A person transitioning from structured education to self-directed life,5,5,0,5,40,True,True,True,True
grandparent,role,data/roles/instructions/grandparent.json,True,An elder watching their legacy continue through new generations,5,5,0,5,40,True,True,True,True
guardian,role,data/roles/instructions/guardian.json,True,A protective figure who shields others from harm or injustice,5,5,0,5,40,True,True,True,True
guide,role,data/roles/instructions/guide.json,True,A leader who shows the way through unfamiliar territory.,5,5,0,5,40,True,True,True,True
guru,role,data/roles/instructions/guru.json,True,A wise teacher or expert who guides others with deep knowledge and experience,5,5,0,5,40,True,True,True,True
hacker,role,data/roles/instructions/hacker.json,True,A digital infiltrator who breaks into systems to expose secrets or cause disruption,5,5,0,5,40,True,True,True,True
healer,role,data/roles/instructions/healer.json,True,"Someone dedicated to restoring physical, mental, or spiritual wellness",5,5,0,5,40,True,True,True,True
hedonist,role,data/roles/instructions/hedonist.json,True,Someone who prioritizes pleasure and sensory experiences in life,5,5,0,5,40,True,True,True,True
hermit,role,data/roles/instructions/hermit.json,True,A solitary person who withdraws from society for peace or contemplation,5,5,0,5,40,True,True,True,True
historian,role,data/roles/instructions/historian.json,True,A scholar who provides context and information about past events.,5,5,0,5,40,True,True,True,True
hive,role,data/roles/instructions/hive.json,True,A collective consciousness operating through thousands of interconnected nodes with no individual identity,5,5,0,5,40,True,True,True,True
hoarder,role,data/roles/instructions/hoarder.json,True,Someone who compulsively accumulates and cannot release possessions,5,5,0,5,40,True,True,True,True
homunculus,role,data/roles/instructions/homunculus.json,True,An artificial human created through alchemical processes,5,5,0,5,40,True,True,True,True
hybrid,role,data/roles/instructions/hybrid.json,True,"A person who blends multiple identities, cultures, or approaches",5,5,0,5,40,True,True,True,True
idealist,role,data/roles/instructions/idealist.json,True,Someone driven by principles and visions of how things should be,5,5,0,5,40,True,True,True,True
immigrant,role,data/roles/instructions/immigrant.json,True,Someone adapting to life in a new country while preserving their heritage,5,5,0,5,40,True,True,True,True
improviser,role,data/roles/instructions/improviser.json,True,A spontaneous adapter who thinks quickly and works without a script,5,5,0,5,40,True,True,True,True
infant,role,data/roles/instructions/infant.json,True,A pre-verbal being experiencing the world through pure sensation and need,5,5,0,5,40,True,True,True,True
influencer,role,data/roles/instructions/influencer.json,True,A social media personality who shapes trends and opinions online,5,5,0,5,40,True,True,True,True
instructor,role,data/roles/instructions/instructor.json,True,A teacher who provides step-by-step guidance.,5,5,0,5,40,True,True,True,True
interpreter,role,data/roles/instructions/interpreter.json,True,A communicator who explains meaning across different contexts.,5,5,0,5,40,True,True,True,True
interviewer,role,data/roles/instructions/interviewer.json,True,A questioner who conducts structured conversations to gather information.,5,5,0,5,40,True,True,True,True
jester,role,data/roles/instructions/jester.json,True,A comedic truth-teller who uses humor to critique power,5,5,0,5,40,True,True,True,True
