file_or_source,line_or_location,context,refers_to,relevance_to_role_vector_construction
arXiv 2601.10387 / paper PDF text,activation capping section,"For Qwen 3 32B, best capping uses layers 46 to 53 out of 64 total layers.",Qwen total transformer layers,"indirect; confirms Qwen has 64 layers, not 64 retained rollouts"
Qwen/Qwen3-32B config.json,num_hidden_layers,"""num_hidden_layers"": 64",Qwen model layer count,"directly explains [64,5120] released vector shape as layer x hidden_dim"
Hugging Face assistant-axis-vector files,local downloaded .pt shapes,"Sampled Qwen role vectors load as torch.Size([64, 5120]).",64 layers by 5120 hidden dimensions,direct; not a retained response count or fixed storage cap
assistant_axis/models.py,31,"""total_layers"": 64,",Qwen layer count / vector tensor first dimension,"relevant as layer count, not retained responses"
data/extraction_questions.jsonl,65,"{""question"": ""Explain how GPS navigation systems determine your location."", ""id"": 64}",question index 64 or rollout pair index,ordinal ID only
research/FINDINGS_LEDGER.md,21,"Qwen/Qwen3-32B trickster Phase 1 completed 1200 rollouts and 1200 activation shards with final integrity passed. Codex GPT-5.5 Standard adaptive scoring reached 64 score>=2 and 33 score==3 responses in 64 scored records. The score>=2 vector matched the Lu trickster reference mean at cosine 0.957557, and adaptive stopping passed at n=16 for both score>=2 and score==3 subsets.",local project adaptive extraction scoring threshold/count,"local project method, not original public Assistant Axis release"
research/FINDINGS_LEDGER.md,29,"Public artifacts allow reconstruction of the intended Assistant Axis role-vector input distribution: 275 non-default roles, 5 positive instructions per role, and 240 shared extraction questions, yielding 1,200 instruction-question combinations per role. Public artifacts do not include the original generated rollout responses, response-level judge scores, or retained-response masks/IDs. The remembered ""64"" count is resolved as Qwen layer count in `[64,5120]` vectors plus local adaptive-extraction counts, not a public original retained-response count.",resolved 64-count correction,states that 64 is not evidence of original retained response count
research/FINDINGS_LEDGER.md,47,"The matched first-64 editor rerun at 1024 tokens reduced truncation from 50/64 to 5/64, but score>=2 and score==3 counts did not improve. Token cap alone does not explain editor's low role-expression yield.",local project adaptive extraction scoring threshold/count,"local project method, not original public Assistant Axis release"
research/FINDINGS_LEDGER.md,289,"- Ran direct PCA over 240 raw Qwen/Qwen3-32B layer-48 trait vectors from `downloads/hf_vectors/qwen-3-32b/trait_vectors/`; each `[64, 5120]` tensor was mean-pooled to one 5120-D vector",Qwen layer count / vector tensor first dimension,"relevant as layer count, not retained responses"
research/FINDINGS_LEDGER.md,429,"The project now uses an adaptive extraction protocol for operational efficiency. The provisional rule is 64 qualifying responses as a conservative target, with adaptive stopping permitted once convergence criteria pass at n>=16. This is a methodological extension beyond the fixed Lu-style rollout framing.",local project adaptive extraction scoring threshold/count,"local project method, not original public Assistant Axis release"
