requirement,figure_path,format,status,source_tables,description,provenance,sha256,size_bytes
Figure 10,research/outputs/human_model_profile_visualization/figures/10_ad_exemplars.png,png,created,data/ad_exemplars.csv,A primary-versus-family maximum and D exemplar,created from frozen source table,fdfe05e3e637c671279aef03284cf344064f7d36b9fa144a87ba69ea10d13268,644069
Figure 10,research/outputs/human_model_profile_visualization/figures/10_ad_exemplars.svg,svg,created,data/ad_exemplars.csv,A primary-versus-family maximum and D exemplar,created from frozen source table,0bb8824f8002a9b1c6cce812ebd85a554c81abcae542ec1787a500e8769d4409,194135
Figure 11,research/outputs/human_model_profile_visualization/figures/11_trait_set_comparison.png,png,created,data/trait_set_comparison.csv,45-trait versus 12-trait assignments and fixed-pair sensitivity,created from frozen source table,2df36d40e0e1c2b02bf105e55182817c377ca966408b761960191a52d8f7ddef,136456
Figure 11,research/outputs/human_model_profile_visualization/figures/11_trait_set_comparison.svg,svg,created,data/trait_set_comparison.csv,45-trait versus 12-trait assignments and fixed-pair sensitivity,created from frozen source table,ceff034d47a506f5ef812cea35cc541ec152faaeb9193396fe046b4cc75cc56e,83002
Figure 12,research/outputs/human_model_profile_visualization/figures/12_model_specific_replication_reused.png,png,reused,data/model_specific_replication.csv,Fixed-pair consensus/Qwen/LLaMA/Gemma replication,reused byte-for-byte from research/outputs/human_model_profile_correspondence/figures/model_specific_replication.png (ad0c2ab8f535a247496c50c2d6d17439f540277d2de0b542f78bb8c1471bd705),ad0c2ab8f535a247496c50c2d6d17439f540277d2de0b542f78bb8c1471bd705,58835
Figure 13,research/outputs/human_model_profile_visualization/figures/13_primary_permutation_null.png,png,created,data/permutation_null_histogram.csv; data/permutation_null_summary.csv,"Complete 20,000-draw search-adjusted null with quantiles",created from frozen source table,afc4ebfcbc1c0ba2551f978ff49341a15a3b3dd4b3f40ce3a1eec7df2175da9d,117293
Figure 13,research/outputs/human_model_profile_visualization/figures/13_primary_permutation_null.svg,svg,created,data/permutation_null_histogram.csv; data/permutation_null_summary.csv,"Complete 20,000-draw search-adjusted null with quantiles",created from frozen source table,aaddc8884c6b03ea1bf593a45b0ca8cb98ec856614f7e40b72bf77d299ab3d51,82654
Figure 14,research/outputs/human_model_profile_visualization/figures/14_family_specific_statistics.png,png,created,data/family_specific_statistics.csv,Family-specific max r and adjusted p,created from frozen source table,7a79dd9534b4ea8d7ca26167363b0bedc8b5dba0f2467f3cb92587afad13aedc,133994
Figure 14,research/outputs/human_model_profile_visualization/figures/14_family_specific_statistics.svg,svg,created,data/family_specific_statistics.csv,Family-specific max r and adjusted p,created from frozen source table,699089d50c311725898208bf46c4d2a15f5f0c877a8ecfd27d7d5e43d07dee25,79274
Figure 15,research/outputs/human_model_profile_visualization/figures/15_sapa_language_profiles.png,png,created,data/sapa_language_profiles.csv,Exact 96-item SAPA wording view for selected human profiles,created from frozen source table,845d4ba19a6da82ea71f03ea9192c5925eb561d486f68fc3376ba3661952b921,481370
Figure 15,research/outputs/human_model_profile_visualization/figures/15_sapa_language_profiles.svg,svg,created,data/sapa_language_profiles.csv,Exact 96-item SAPA wording view for selected human profiles,created from frozen source table,08d67a7d0f021848fa4f2bfa5b85be40f0ba6414ed9030be404b41c685e2e43c,535004
Figure 1A,research/outputs/human_model_profile_visualization/figures/01_primary_matched_shapes_canonical.png,png,created,data/primary_matched_profile_shapes.csv; data/trait_metadata.csv,Primary A-D matched shapes in canonical bridge order,created from frozen source table,3bb9fc5c4e92b735ed6130f2b076c6321d11db8fc7d87303738d4072367ac0ed,836381
Figure 1A,research/outputs/human_model_profile_visualization/figures/01_primary_matched_shapes_canonical.svg,svg,created,data/primary_matched_profile_shapes.csv; data/trait_metadata.csv,Primary A-D matched shapes in canonical bridge order,created from frozen source table,dd271c811fe276c7fb2b1c6174f2d683d6d536e7c5dd77331de5964c829ec6b0,245464
Figure 1B,research/outputs/human_model_profile_visualization/figures/01b_primary_matched_shapes_measurement_grouped.png,png,created,data/primary_matched_profile_shapes.csv; data/trait_metadata.csv,Primary A-D matched shapes grouped by frozen human-measurement tier,created from frozen source table,1164f1740573bef9a3b70b21664999f4ed4d4391003130144b2ae5efd8cabdab,837332
Figure 1B,research/outputs/human_model_profile_visualization/figures/01b_primary_matched_shapes_measurement_grouped.svg,svg,created,data/primary_matched_profile_shapes.csv; data/trait_metadata.csv,Primary A-D matched shapes grouped by frozen human-measurement tier,created from frozen source table,bb9b44f6cfca07f00ce04489b4ef04459bf9045a7c4f1ccc6a6df5e9b10f9c8a,246857
Figure 2A,research/outputs/human_model_profile_visualization/figures/02_trait_decomposition_all_traits.png,png,created,data/primary_matched_profile_shapes.csv,All-trait covariance contribution and signed disagreement,created from frozen source table,0d5bf9185affe78d270054378ea130e311c0e2247a000ead75953c6c035e9517,209565
Figure 2A,research/outputs/human_model_profile_visualization/figures/02_trait_decomposition_all_traits.svg,svg,created,data/primary_matched_profile_shapes.csv,All-trait covariance contribution and signed disagreement,created from frozen source table,8c64380bb5045c608dbac75015b29ed1320d9f55ed4761b1306b20de5f2ae4a8,194928
Figure 2B,research/outputs/human_model_profile_visualization/figures/02b_top_trait_drivers.png,png,created,data/top_trait_drivers.csv,Top eight positive contributors and top eight disagreements per pair,created from frozen source table,cdc0eb91f7f21ce73d0285fcbcc4cdecb8165f21d850aefbca93cc49c715eea8,376490
