result_id,affected_claim,classification,dependency_path,reason,required_action,claim_status
HISTORICAL,Original preserved human Big Five/HiFWB snapshot before AA-10,potentially affected and requiring verification,AA-10 historical_reconstruction_notes.md -> original chat execution without original script/folds,Original implementation unavailable; agreement with later reconstruction does not prove original eligibility or orientation,Keep original snapshot exploratory and provenance-limited; do not withdraw independently scored AA-10 reconstruction,PROVENANCE_LIMITED
AA1,45/74 human bridge covariance and official-scale associations,unaffected,sapa_bridge_psychometric_audit/run_sapa_bridge_psychometric_audit.py -> REVERSE_BY_TRAIT; composite_correlation; official superKey signs,Signed pairwise item covariance; no broad respondent profile or one-item respondent-score eligibility,Retain within original psychometric caveats,RETAINED_FOR_AUDITED_DEFECTS
AA10,Reconstructed historical/non-affect HiFWB and Big Five surface measures,unaffected,sapa_hifwb_reproducibility/run_sapa_hifwb_reproducibility.py -> score_items; domain_items; direct_ok/nonaff_ok; eligible,Independent explicit signs; two-item masks intersected with terrain eligibility; N=3972 historical and N=2548 non-affect,Retain these measures and their score-dependent comparisons; this is not a general certification of every AA-10 sensitivity,RETAINED_FOR_AUDITED_DEFECTS
AA12_CORE,Big Five terrain coordinates/support and default content-balanced surfaces,unaffected,sapa_wellbeing_terrain_explorer/analysis/build_terrain.py -> score; elig; content_balanced_ge2/ge3,Official Big Five signs and >=2 domain items; content masks enforce >=2 or >=3 groups; no dependency on historical_13 fits,Retain these components; separate mixed bundles from withdrawn outcome slices,RETAINED_FOR_AUDITED_DEFECTS
AA12_HIST,Historical 13-item empirical surface and conditional Ridge fit,directly affected,sapa_wellbeing_terrain_explorer/methodology.md -> analysis/build_terrain.py:31 and :39 -> historical_13 rows/bundles,Methodology requires >=2 outcome items but np.nanmean plus isfinite admits one; published N=6549 versus valid N=3972,Withdraw historical_13 means/cells/coefficients/slices pending corrected outcome eligibility and regeneration,WITHDRAWN_PENDING_REPAIR
AA12_NONAFF,Claim of frozen AA-10 non-affect surface reproduction,directly affected,sapa_hifwb_reproducibility/analysis_specification.md -> terrain methodology -> analysis/build_terrain.py:31 -> non_affect rows/bundles,Inherited two-item rule not applied; AA-12 also includes vitality q_832 omitted by AA-10; N=5715 versus 3003 with same nine items and >=2 or 2548 under AA-10 eight-item definition,Withdraw frozen-reproduction claim and dependent non_affect surfaces; resolve membership and eligibility before regeneration,WITHDRAWN_PENDING_REPAIR
AA13_STRUCTURE,79-scale broad structure; PC loadings/retention; 0.940 subspace stability; PC alignment,directly affected,broad_sapa_pca_wellbeing/run_broad_sapa_pca.py -> X0/Z/PCA; run_followup_checks.py:score_matrix -> PCA/parallel/stability,Administered IDs never match reverse-key namespace; follow-up omits reversals entirely; both retain one-item means despite documented >=2; descendants inherit defective scores,Withdraw substantive broad-structure and stability interpretations plus score-dependent artifacts pending corrected frozen scoring,WITHDRAWN_PENDING_REPAIR
AA13_PREDICTION,Broad-PC HiFWB comparisons and no-reliable-increment conclusion,directly affected,broad_sapa_pca_wellbeing/score_matrix -> missing-aware PC scores -> common eligibility -> model comparison/bootstrap,Invalid broad predictors affect PC/combined fits and common-cohort definition; first-pass delta .015 and follow-up mean delta .0072 do not validate properly scored traits,Withdraw comparisons including cohort-dependent Big Five benchmark and negative incremental-validity conclusion; refit only after target/scorer repair,WITHDRAWN_PENDING_REPAIR
AA13_INDEPENDENT,Source hashes; item inventory; frozen HiFWB N=8664 and Big Five N=8585,unaffected,broad_sapa_pca_wellbeing/reconstruct_frozen_scores.py -> DIRECT_SIGN/official keys and count masks; manifests,Separate source/eligibility reconstruction does not consume defective broad scale scores; descriptive inventory/coverage counts are distinct from scoring-validity claim,Retain hashes/definitions/coverage counts; remove any implication that old PASS establishes broad-score validity,RETAINED_FOR_AUDITED_DEFECTS
AA16,Stage 1 240-label human HiFWB association profile,unaffected,run_stage1.py -> frozen_reversals -> score_mean -> association_rows,Explicit signed z-scores; composite minimum2; proxy min(2 item_count); observed single-item measures allowed only if genuinely single-item; AA13 reference is count/split provenance not broad matrix,Retain Stage1 associations and bridge counts; no broad-target dependency,RETAINED_FOR_AUDITED_DEFECTS
AA17,Three-model factor structure and retained factor counts,unaffected,aa17/run_analysis.py -> saved persona-trait cosine matrices; bridge_coverage post-fit,No human respondent scores enter factor fits; semantic bridge metadata is post-fit only,Retain model-only claims within existing limitations,RETAINED_FOR_AUDITED_DEFECTS
AA18,Five supported model-consensus axes and held-out profile reconstruction,unaffected,aa18/run_analysis.py -> AA17 verified saved matrices; AA16 bridge metadata post-fit,Reconstruction targets are saved model cosine profiles rather than SAPA human scores; no raw SAPA scoring,Retain model-only recurrence/reconstruction claims,RETAINED_FOR_AUDITED_DEFECTS
AA19,Partial independent human structural convergence; human covariance alignment r=.531,unaffected,aa19/run_analysis.py -> trait_proxy_item_scoring.csv -> basis/proxy/human_data; official key bigfive_alignment,Orientation signs enter B'CB pairwise covariance; no one-item respondent mean rule and no AA13 broad-score input,Retain structural claims and frozen loadings within existing bridge limits,RETAINED_FOR_AUDITED_DEFECTS
AA20,C1-C3 HiFWB associations and delta R2=.005 plus same-cohort baselines,potentially affected and requiring verification,aa20/run_analysis.py -> trait_matrix(n>0) -> weighted_score -> eligibility -> comparisons,Signs and HiFWB/BigFive >=2 masks correct; one-item means count as observed proxies; own freeze specifies >=8 traits/poles/weight coverage but no per-proxy minimum unlike AA16,Verify intended minimum and inherited-rule consistency; only targeted coverage/scoring sensitivity after rule decision; do not label proven AA13 contamination,FLAGGED_NOT_WITHDRAWN
AA21_PRIMARY,Primary Big Five HiFWB R2=.395 and primary persona transports,unaffected,run_bigfive_hifwb_projection.py -> score_human_data -> bf_ok -> full_overlap_primary,Independent official keys and outcome signs; both scores masked below2; primary cohort ignores proxy coverage and defective AA13 score matrix,Retain primary coefficients and primary construction/cross-model comparisons,RETAINED_FOR_AUDITED_DEFECTS
AA21_SENSITIVITY,AA20-common coefficient/ranking robustness comparison,potentially affected and requiring verification,run_bigfive_hifwb_projection.py -> T/O(n>0) -> common -> Xcommon/ycommon,Only sensitivity cohort inherits one-item proxy availability; primary bf_ok path separate,Verify proxy eligibility meaning together with AA20; confine flag to common-cohort sensitivity,FLAGGED_NOT_WITHDRAWN
AA22,Direct-trait HiFWB increment .040 and dependent transported rankings,potentially affected and requiring verification,aa22/run_analysis.py -> score_traits(n>0) -> assoc_weights/weighted index -> human fits/full-sample transport,Correct signs and outcome/BigFive >=2 masks; freeze says observed proxy means and >=8 proxies without explicit per-proxy minimum; does not reproduce AA16's >=2 multi-item scores,Clarify measurement definition and verify coverage before strengthening claim; dependent persona ranks/contrasts share the flag,FLAGGED_NOT_WITHDRAWN
AA23,Residual-trait HiFWB increment .075 and dependent transported rankings,potentially affected and requiring verification,aa23/run_analysis.py -> score_traits(n>0) -> residual_traits/residual_weights -> fits/transport,Same one-item proxy scorer as AA22 with even shorter freeze; no broad matrix or missing reversal; ambiguity is eligibility not demonstrated invalid outcome scoring,Verify proxy rule with AA22 and test only that dependency if needed; retain exploratory limits,FLAGGED_NOT_WITHDRAWN
AA24,Consensus HiFWB increment .005 and transport/comparison outputs,potentially affected and requiring verification,aa24/load_aa20 -> a.scores/a.eligibility -> human fits/transport; AA23 rankings -> convergence comparison,Direct code dependency on AA20 one-item proxy coverage; comparison also depends on AA23 flagged scores; independent outcome and BigFive orientation are correct,Carry AA20 eligibility flag to fits/weights/ranks and AA23 flag to corresponding comparison; no blanket withdrawal of AA18 axes,FLAGGED_NOT_WITHDRAWN
AA25,Intervention-direction representation and Big Five coefficient probes,unaffected,aa25/run_analysis.py -> external taxonomy/saved model scores; AA21 coefficients filtered full_overlap_primary,No SAPA broad matrix; weights explicitly select unaffected primary AA21 fit rather than flagged common-cohort sensitivity,Retain representation/directional-probe claims with original noncausal boundaries,RETAINED_FOR_AUDITED_DEFECTS
