component,original_assistant_axis_method,prior_trickster_replication_method,current_h100_method,equivalent_status,evidence,remaining_uncertainty
model_id,Model passed to pipeline; local Qwen artifacts use Qwen/Qwen3-32B,Qwen/Qwen3-32B,Qwen/Qwen3-32B,matched,trickster_phase1_manifest.json; h100_run_config.json,None for model identifier.
tokenizer_chat_template,ConversationEncoder/tokenizer.apply_chat_template over conversation records; Qwen spans parsed by <|im_start|>assistant and <|im_end|>,system+user messages with add_generation_prompt=True and enable_thinking=False,user-only prompt with add_generation_prompt=True and enable_thinking=False,partially matched,phase1_inference_only_v4.py; run_h100_percentile_edge_validation.py; assistant_axis/internals/conversation.py,"Role-vector source used system+user role prompts; H100 novel prompts are user-only by design, so template roles differ even though Qwen chat-template mechanics match."
thinking_mode,Qwen pipeline supports enable_thinking=False; thinking tokens filtered when disabled,enable_thinking=False and think artifacts discarded,enable_thinking=False in chat template; generated responses measured without thinking artifacts check as role extraction did,mostly matched,trickster manifest; final_phase1_integrity.md; h100_run_config.json,"H100 did not apply the same discard rule for literal think artifacts, but deterministic Qwen chat template used thinking-disabled mode."
prompt_construction,"role instruction/system prompt plus extraction question, stored as conversation turns",five role system prompts x 240 extraction questions,single novel user prompt from percentile-edge manifest,intentionally different,data/roles/instructions; data/extraction_questions.jsonl; percentile_edge_h100_manifest.csv,"Different prompt construction is experimental design, not extraction mismatch."
generation_settings,not fully recovered from released metadata; pipeline responses preexist before activation extraction,"max_new_tokens=512, do_sample=False","max_new_tokens=256, do_sample=False, temperature=0.0, top_p=1.0",partially matched,trickster_phase1_manifest.json; h100_run_config.json,"Token cap differs; this affects response text distribution, not the activation object for a fixed sequence."
layer_index,"pipeline accepts integer layer list; pca.py selects activation_list[:, layer, :]",LAYER=48 hooked at model.model.layers[48],LAYER=48 read from out.hidden_states[48],ambiguous,pipeline/2_activations.py; phase1_inference_only_v4.py; run_h100_percentile_edge_validation.py,Need direct proof whether hidden_states[48] equals hook output of model.model.layers[48] or an adjacent boundary for Qwen.
indexing_convention,zero-indexed ModuleList layer indices,zero-indexed model.model.layers[48],Transformers hidden_states tuple index 48,ambiguous,assistant_axis/internals/model.py; phase1_inference_only_v4.py; H100 runner,"Transformers hidden_states usually includes embedding output at index 0, making hidden_states[48] potentially correspond to post-layer-47 rather than post-layer-48; must test or prove for Qwen implementation."
activation_site,hooked transformer layer output described locally as mean post-MLP residual over response tokens,forward hook on model.model.layers[48] output tensor,output_hidden_states[48],not closed,assistant_axis/internals/activations.py says hooks are used; methodology note says post-MLP residual; H100 runner uses output_hidden_states,This is the main D01 uncertainty.
hidden_state_vs_hook,hook-based extraction; local comment says hooks are more reliable than output_hidden_states,hook-based extraction,output_hidden_states extraction,"different implementation, equivalence unproven",assistant_axis/internals/activations.py; phase1_inference_only_v4.py; H100 runner,Direct hook-vs-hidden-state comparison needed.
pre_or_post_layernorm,"module output after full decoder layer, likely post-block residual after post-MLP update",module output after full decoder layer,Transformers hidden state boundary selected by tuple index,ambiguous,forward-hook code captures layer module output; hidden_states boundary not locally tested,"If hidden_states[48] is pre-layer-48 or post-layer-47, pre/post-block boundary differs."
response_token_mask,assistant response spans identified by Qwen chat-template special tokens,generated response tokens are out[0][prompt_len:],"generated response tokens are gen_out[0, prompt_len:]",matched for generated single-turn responses,conversation.py; phase1_inference_only_v4.py; H100 runner,Original pipeline span parser trims assistant spans and may remove leading/trailing whitespace in some cases; H100 prompt_len slicing is simpler.
response_token_pooling,mean over response span tokens,response_h.mean(0),hidden.mean(axis=0) over prompt_len: end,matched,assistant_axis/internals/spans.py; phase1_inference_only_v4.py; H100 runner,Only minor boundary/whitespace differences remain possible.
rollout_pooling,mean over qualified role-expression vectors,mean over Codex-scored score>=2 or score==3 activation shards,no rollout pooling; one measured response vector per novel prompt,intentionally different,trickster_vector_validation; H100 final results,"None; H100 validates prompt-level forecasts, not role-vector extraction."
role_expression_filtering,gpt-4.1-mini separates fully/somewhat role-playing,Codex/GPT-5.5 score>=2 and score==3 filters,none; all novel prompts measured,intentionally different,replication_differences_vs_lu.md; trickster/editor scoring summaries,"Filtering differences matter for adaptive extraction claims, not H100 prompt validation."
vector_normalization,released role vectors are raw mean activation vectors; cosine comparisons normalize only for cosine,mean vector saved raw; cosine normalization used only in comparison,raw mean activation projected after PCA centering,matched,extract_validate_trickster_vector.py; H100 project_activation,None found.
PCA_basis_loading,PCA fit over role activation vectors,not used in vector-validation report,basis reconstructed from all 275 Qwen role vectors and verified against committed canonical coordinates,strongly verified,h100_activation_projection_debug.json,Projection basis correctness is closed for the committed coordinates.
PCA_centering_projection,pca.py centers through sklearn PCA; no standardization by default,not used,subtract role-vector mean then dot PCA components,strongly verified,max abs coordinate reproduction error 1.207e-06,Does not prove extraction equivalence.
sign_orientation,canonical committed PCA coordinate orientation,not used,"sign alignment [-1.0, 1.0, -1.0]",strongly verified,h100_activation_projection_debug.json,None for projection sign.
