model_trait,canonical_definition,facet_code,facet,domain,polarity,mapping_tier,semantic_rationale,evidence_source,duplicate_group,confidence,strict_included,expanded_included,prior_AA25_facet,prior_AA25_relation,prior_AA21_strict_facet,model_used,thinking,strict_facet_retained,expanded_facet_retained,strict_score_included,expanded_score_included
absolutist,Maintains that certain truths and values are universal and unchanging.,A1,Trust,Agreeableness,0,none,The canonical definition describes Maintains that certain truths and values are universal and unchanging No explicit or close link to the Trust item family was identified.,91ad7519fe89b55921f58680a9a734e158320ca4:research/outputs/externally_anchored_big_five/external_taxonomy_expanded_trait_mapping.csv; official IPIP newNEOFacetsKey.htm#Trust; Johnson workbook Input,A1:0:absolutist,not_supported,False,False,O6,proxy,,GPT-6 Astra,High,True,True,False,False
absolutist,Maintains that certain truths and values are universal and unchanging.,A2,Morality,Agreeableness,0,none,The canonical definition describes Maintains that certain truths and values are universal and unchanging No explicit or close link to the Morality item family was identified.,91ad7519fe89b55921f58680a9a734e158320ca4:research/outputs/externally_anchored_big_five/external_taxonomy_expanded_trait_mapping.csv; official IPIP newNEOFacetsKey.htm#Morality; Johnson workbook Input,A2:0:absolutist,not_supported,False,False,O6,proxy,,GPT-6 Astra,High,True,True,False,False
absolutist,Maintains that certain truths and values are universal and unchanging.,A3,Altruism,Agreeableness,0,none,The canonical definition describes Maintains that certain truths and values are universal and unchanging No explicit or close link to the Altruism item family was identified.,91ad7519fe89b55921f58680a9a734e158320ca4:research/outputs/externally_anchored_big_five/external_taxonomy_expanded_trait_mapping.csv; official IPIP newNEOFacetsKey.htm#Altruism; Johnson workbook Input,A3:0:absolutist,not_supported,False,False,O6,proxy,,GPT-6 Astra,High,True,True,False,False
absolutist,Maintains that certain truths and values are universal and unchanging.,A4,Cooperation,Agreeableness,0,none,The canonical definition describes Maintains that certain truths and values are universal and unchanging No explicit or close link to the Cooperation item family was identified.,91ad7519fe89b55921f58680a9a734e158320ca4:research/outputs/externally_anchored_big_five/external_taxonomy_expanded_trait_mapping.csv; official IPIP newNEOFacetsKey.htm#Cooperation; Johnson workbook Input,A4:0:absolutist,not_supported,False,False,O6,proxy,,GPT-6 Astra,High,True,True,False,False
absolutist,Maintains that certain truths and values are universal and unchanging.,A5,Modesty,Agreeableness,0,none,The canonical definition describes Maintains that certain truths and values are universal and unchanging No explicit or close link to the Modesty item family was identified.,91ad7519fe89b55921f58680a9a734e158320ca4:research/outputs/externally_anchored_big_five/external_taxonomy_expanded_trait_mapping.csv; official IPIP newNEOFacetsKey.htm#Modesty; Johnson workbook Input,A5:0:absolutist,not_supported,False,False,O6,proxy,,GPT-6 Astra,High,True,True,False,False
absolutist,Maintains that certain truths and values are universal and unchanging.,A6,Sympathy,Agreeableness,0,none,The canonical definition describes Maintains that certain truths and values are universal and unchanging No explicit or close link to the Sympathy item family was identified.,91ad7519fe89b55921f58680a9a734e158320ca4:research/outputs/externally_anchored_big_five/external_taxonomy_expanded_trait_mapping.csv; official IPIP newNEOFacetsKey.htm#Sympathy; Johnson workbook Input,A6:0:absolutist,not_supported,False,False,O6,proxy,,GPT-6 Astra,High,True,True,False,False
absolutist,Maintains that certain truths and values are universal and unchanging.,C1,Self-Efficacy,Conscientiousness,0,none,The canonical definition describes Maintains that certain truths and values are universal and unchanging No explicit or close link to the Self-Efficacy item family was identified.,91ad7519fe89b55921f58680a9a734e158320ca4:research/outputs/externally_anchored_big_five/external_taxonomy_expanded_trait_mapping.csv; official IPIP newNEOFacetsKey.htm#Self-Efficacy; Johnson workbook Input,C1:0:absolutist,not_supported,False,False,O6,proxy,,GPT-6 Astra,High,False,True,False,False
absolutist,Maintains that certain truths and values are universal and unchanging.,C2,Orderliness,Conscientiousness,0,none,The canonical definition describes Maintains that certain truths and values are universal and unchanging No explicit or close link to the Orderliness item family was identified.,91ad7519fe89b55921f58680a9a734e158320ca4:research/outputs/externally_anchored_big_five/external_taxonomy_expanded_trait_mapping.csv; official IPIP newNEOFacetsKey.htm#Orderliness; Johnson workbook Input,C2:0:absolutist,not_supported,False,False,O6,proxy,,GPT-6 Astra,High,True,True,False,False
absolutist,Maintains that certain truths and values are universal and unchanging.,C3,Dutifulness,Conscientiousness,0,none,The canonical definition describes Maintains that certain truths and values are universal and unchanging No explicit or close link to the Dutifulness item family was identified.,91ad7519fe89b55921f58680a9a734e158320ca4:research/outputs/externally_anchored_big_five/external_taxonomy_expanded_trait_mapping.csv; official IPIP newNEOFacetsKey.htm#Dutifulness; Johnson workbook Input,C3:0:absolutist,not_supported,False,False,O6,proxy,,GPT-6 Astra,High,True,True,False,False
absolutist,Maintains that certain truths and values are universal and unchanging.,C4,Achievement-Striving,Conscientiousness,0,none,The canonical definition describes Maintains that certain truths and values are universal and unchanging No explicit or close link to the Achievement-Striving item family was identified.,91ad7519fe89b55921f58680a9a734e158320ca4:research/outputs/externally_anchored_big_five/external_taxonomy_expanded_trait_mapping.csv; official IPIP newNEOFacetsKey.htm#Achievement-Striving; Johnson workbook Input,C4:0:absolutist,not_supported,False,False,O6,proxy,,GPT-6 Astra,High,True,True,False,False
