trait	facet	tier	polarity	alias_group	rationale
anxious	N1	direct	1	worry	Explicit persistent worry and nervous anticipation match worry/fear items.
neurotic	N1	direct	1	worry	Explicit persistent anxiety overlaps anxious; broad emotional content is not separately counted.
calm	N1	direct	-1	calm	Unruffled demeanor matches relaxed/not easily disturbed items.
chill	N1	direct	-1	calm	Relaxed unconcern matches the low-anxiety pole; near-alias of calm.
serene	N1	direct	-1	calm	Peaceful calm is the same low-anxiety content as calm.
nonchalant	N1	close	-1	calm	Relaxed unconcern is adjacent but may be indifference rather than absence of worry.
pessimistic	N1	close	1	anticipates_bad	Worst-case anticipation resembles fear for the worst but need not involve anxiety.
temperamental	N2	close	1	mood_variability	Variable emotions include frustration but do not specifically establish anger/irritability.
hostile	N2	close	1	antagonism	Aggressive antagonism may express anger but is primarily interpersonal behavior.
bitter	N2	close	1	resentment	Resentment can support angry mood; persistent disappointment is not identical to anger frequency.
patient	N2	close	-1	patience	Calm reactions to repetitive questions suggest low irritation only in a restricted context.
impatient	N2	close	1	impatience	Frustration with delay resembles irritation but is narrower than anger disposition.
melancholic	N3	direct	1	sadness	Persistent sadness and brooding match often feeling blue/down items.
mercurial	N3	direct	1	mood_swings	Rapid mood changes explicitly match the frequent mood-swings item content.
temperamental	N3	close	1	mood_swings	Variable affect includes positive excitement as well as negative affect; adjacent to mood swings.
pessimistic	N3	broad	1	negative_outlook	Negative expectations do not directly measure sadness or self-dislike.
nihilistic	N3	broad	1	meaninglessness	Philosophical meaninglessness is not evidence of depressive affect.
optimistic	N3	close	-1	positive_outlook	Positive expectations are adjacent to low depressed affect but do not imply self-acceptance.
avoidant	N4	close	1	social_avoidance	Withdrawal from social challenges can reflect social discomfort; embarrassment/fear of judgment is not explicit.
introverted	N4	broad	1	reserved_interaction	Reserved depth of interaction is not self-consciousness or intimidation.
ascetic	N5	direct	-1	pleasure_restraint	Denial of pleasures and self-discipline explicitly match resisting temptations/cravings.
hedonistic	N5	close	1	pleasure_priority	Prioritizing immediate gratification resembles overindulgence without establishing impaired control.
impulsive	N5	close	1	impulse_control	Immediate desire without considering consequences is adjacent to regretted impulses; no specific excess/craving.
epicurean	N5	broad	1	refined_pleasure	Refined enjoyment does not entail excessive consumption or loss of control.
resilient	N6	direct	-1	recovery	Explicit recovery from setbacks matches readily overcoming setbacks/knowing how to cope.
stoic	N6	direct	-1	composure	Composure regardless of circumstances matches remaining calm under pressure.
serene	N6	direct	-1	composure	Calm in all situations overlaps stoic composure; one representative only.
calm	N6	close	-1	composure	Topic-intensity composure is a narrower proxy for coping under adverse events.
flexible	N6	close	-1	adaptation	Accepting constraints and changing circumstances suggests coping but not explicitly pressure tolerance.
avoidant	N6	close	1	challenge_withdrawal	Withdrawal from challenges is adjacent to inability to cope, not direct overwhelm.
avoidant	E1	direct	-1	social_withdrawal	Explicit withdrawal from social interactions matches avoiding contacts/keeping distance.
charismatic	E1	close	1	social_charm	Attracting others through charm is adjacent to warmth, not explicitly ease of making friends.
nurturing	E1	close	1	supportive_warmth	Supportive guidance can be warm but does not directly establish interpersonal comfort/friend-making.
flirty	E1	close	1	romantic_charm	Playful romantic engagement is a narrow context for social approachability.
benevolent	E1	broad	1	benevolence	Kind intentions need not imply ease/comfort of social contact.
gregarious	E2	direct	1	company_seeking	Explicit sociability and seeking interaction/company match enjoying groups and parties.
extroverted	E2	close	1	social_energy	Energy during engagement with social topics does not explicitly say seeking company/groups.
introverted	E2	close	-1	interaction_depth	Preference for deep/reserved interaction is adjacent to solitary preference; it does not explicitly say avoiding crowds.
verbose	E2	none	0	verbal_length	Response length is not enjoyment of groups or desire for company.
assertive	E3	direct	1	opinion_assertion	Advocating positions matches not holding back opinions/standing up for views.
dominant	E3	direct	1	taking_charge	Taking charge of conversations matches taking control/leading.
submissive	E3	direct	-1	yielding	Yielding and avoiding assertion directly oppose taking charge/expressing opinions.
confident	E3	close	1	certainty	Certainty of recommendations is not necessarily interpersonal leadership or assertion.
rhetorical	E3	close	1	persuasion	Persuasive techniques resemble influencing others but skill does not imply desire to lead.
understated	E3	broad	-1	restraint	Downplaying significance is not necessarily yielding or holding back opinions.
animated	E4	close	1	expressive_energy	Energetic communication is adjacent to activity but does not measure being busy or doing many things.
effusive	E4	close	1	expressive_energy	Overflowing enthusiasm is expressive energy, not sustained behavioral activity.
manic	E4	close	1	high_energy	Excessive energy and rapid thoughts are adjacent to fast pace; no routine activity/busyness claim.
urgent	E4	close	1	pace	Emphasis on prompt action resembles quick pace but may reflect context rather than activity disposition.
nonchalant	E4	broad	-1	unconcern	Unconcern about outcomes does not specify leisurely pace.
adventurous	E5	direct	1	risk_adventure	Explicit risk-taking, exciting possibilities and exploration match seeking adventure/excitement.
risk_taking	E5	close	1	bold_risk	Bold uncertain action is related to thrill-seeking but may be instrumental rather than seeking excitement.
hedonistic	E5	close	1	gratification	Sensory gratification is adjacent to stimulation-seeking, not explicit thrill/danger seeking.
mischievous	E5	close	1	playful_trouble	Harmless troublemaking is adjacent to wild play but not clearly excitement/danger seeking.
optimistic	E6	direct	1	positive_outlook	Focus on positive aspects explicitly matches looking at the bright side of life.
playful	E6	direct	1	fun_humor	Fun and lighthearted interaction match having fun and amusement.
entertaining	E6	direct	1	fun_humor	Making interactions fun overlaps playful amusement.
witty	E6	direct	1	fun_humor	Humor and entertaining observations overlap amusement content; not counted as another alias.
goofy	E6	direct	1	fun_humor	Silly humor and jokes overlap the same amusement concept.
serious	E6	direct	-1	low_humor	Explicit avoidance of humor matches seldom joking around.
solemn	E6	close	-1	low_humor	Gravity resembles low joking but is limited to serious contexts.
inspirational	E6	broad	1	motivation	Encouraging growth does not establish cheerfulness or amusement.
introspective	O1	direct	1	reflection	Explicit inward reflection matches spending time reflecting/getting lost in thought.
whimsical	O1	direct	1	fantasy	Fanciful ideas directly match flights of fantasy.
romantic	O1	direct	1	fantasy	Imagination and idealized views overlap fanciful ideation.
creative	O1	close	1	creative_ideation	Imaginative practical solutions resemble imagination but are not necessarily fantasy/daydreaming.
divergent	O1	close	1	creative_ideation	Producing multiple alternatives is a cognitive strategy adjacent to imagination.
convergent	O1	broad	-1	convergent_thought	Narrowing alternatives does not imply low fantasy/daydreaming.
literal	O1	close	-1	literal_thought	Explicit interpretation is adjacent to low imaginative elaboration, not necessarily low inner fantasy.
metaphorical	O1	close	1	figurative_expression	Figurative explanation suggests imagination without establishing inner fantasy.
artistic	O2	direct	1	aesthetic_appreciation	Explicit appreciation of aesthetics and cultural works matches valuing art.
poetic	O2	close	1	poetic_expression	Producing lyrical expression is adjacent to, but distinct from, enjoying/appreciating art.
romantic	O2	broad	1	idealized_expression	Idealized emotion does not specifically establish aesthetic interests.
passionate	O3	direct	1	affect_intensity	Intense enthusiasm and strong emotions match experiencing emotions intensely/passionate causes.
visceral	O3	direct	1	raw_affect	Raw emotional responses match sensitivity to internal emotional reactions.
dispassionate	O3	direct	-1	emotional_distance	Emotional distance regardless of topic matches low emotional impact.
detached	O3	direct	-1	emotional_distance	Clinical emotional distance overlaps dispassionate noninvolvement.
emotional	O3	close	1	emotion_attention	Discussing/acknowledging feelings does not necessarily mean experiencing them intensely.
introspective	O3	direct	1	self_examination	Self-analysis explicitly matches trying to understand oneself/enjoying self-examination.
zealous	O3	close	1	cause_passion	Fervent cause advocacy is a narrow instance of passionate investment.
reserved	O3	close	-1	emotional_restraint	Restrained expression and nondisclosure do not guarantee low felt emotion.
adventurous	O4	direct	1	novel_experience	Explicit trying new experiences matches liking new places/things.
