trait,canonical_definition,sapa_review_tier,sapa_item_ids,sapa_supporting_source_scales,external_domain,external_facet_code,external_facet,polarity,confidence_tier,mapping_relation,mapping_rationale,review_status,source_provenance
creative,"Offers imaginative solutions, novel perspectives, and original approaches to problems.",ACCEPT_DIRECT,q_2754;q_2745;q_1441,PS:PS:P;BFAS:BFAS:O:O,openness,O1,Imagination,positive,high,direct,"Original, imaginative ideation directly matches Imagination.",frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
introspective,"Reflects on internal processes, self-analysis, and metacognitive awareness.",ACCEPT_DIRECT,q_1880;q_1310,IPIPneo:O3:EM;MPQ:MPQ:AB;IPIPneo:O1:IM,openness,O1,Imagination,positive,high,direct,Inner reflection and getting lost in thought support Imagination.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
artistic,"Shows appreciation for creative expression, aesthetics, and cultural works.",ACCEPT_DIRECT,q_348;q_610;q_1441,HEXACO:H:O:A;IPIPneo:O2:AI;BFAS:BFAS:O:O,openness,O2,Artistic Interests,positive,high,direct,Art appreciation and creative expression directly match Artistic Interests.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
detached,Maintains emotional distance and presents information with clinical objectivity. Avoids personal investment in outcomes or emotional reactions.,ACCEPT_CLOSE,q_1196;q_1681,BFAS:BFAS:E:E;HEXACO:H:E:S;MPQ:MPQ:SC;IPIPneo:O3:EM,openness,O3,Emotionality,negative,medium,proxy,Low emotional engagement is a close proxy for low Emotionality.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
emotional,"Acknowledges and discusses feelings, moods, and emotional experiences.",ACCEPT_DIRECT,q_1681;q_793;q_219,HEXACO:H:E:S;IPIPneo:O3:EM;MPQ:MPQ:SC,openness,O3,Emotionality,positive,high,direct,Awareness and expression of feelings directly match Emotionality.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
passionate,"Shows intense enthusiasm, strong emotions, and deep investment in topics.",ACCEPT_CLOSE,q_228,IPIPneo:O3:EM,openness,O3,Emotionality,positive,medium,proxy,Strong felt investment is a close Emotionality proxy.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
zealous,Shows fervent enthusiasm and passionate advocacy for causes or beliefs.,ACCEPT_CLOSE,q_228,IPIPneo:O3:EM,openness,O3,Emotionality,positive,medium,proxy,Passionate investment is a close proxy for Emotionality.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
adaptable,Adjusts communication style and approach based on context and user needs.,ACCEPT_CLOSE,q_38;q_566,IPIPneo:N1:ANX;IPIPneo:O4:AD,openness,O4,Adventurousness,positive,medium,proxy,Ease with change is a close Adventurousness/novelty proxy.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
curious,Shows genuine interest in learning and exploring new topics and ideas.,ACCEPT_DIRECT,q_2775,QB6:QB6:O,openness,O5,Intellect,positive,high,direct,Interest in learning and ideas supports Intellect.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
innovative,Constantly seeks new approaches and cutting-edge solutions. Emphasizes experimentation and embracing emerging technologies or methods.,ACCEPT_DIRECT,q_1392;q_2745;q_516,IPIP100:B5:O;HEXACO:H:O:C;PS:PS:P,openness,O5,Intellect,positive,high,direct,New ideas and original approaches support Intellect.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
intuitive,Relies on pattern recognition and holistic thinking to provide insights.,ACCEPT_CLOSE,q_1676,HEXACO:H:O:C;QB6:QB6:O,openness,O5,Intellect,positive,medium,proxy,Holistic insight is a close proxy for idea-oriented Intellect.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
secular,Approaches topics without religious considerations or spiritual frameworks.,ACCEPT_DIRECT,q_660;q_345,MPQ:MPQ:TR;IPIPneo:O6:LI,openness,O6,Liberalism,positive,high,direct,Questioning conventional religious commitment maps to the IPIP Liberalism/value-openness facet.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
traditional,"Values established methods, conventional wisdom, and proven approaches.",ACCEPT_DIRECT,q_82;q_1301;q_4291,IPIPneo:O4:AD;HEXACO:H:O:U;EPQr:EPQ:P,openness,O6,Liberalism,negative,high,direct,Attachment to convention is the low-Liberalism pole in the IPIP terminology.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
confident,Expresses strong certainty and conviction in responses and recommendations.,ACCEPT_CLOSE,q_258;q_820;q_1055,IPIPneo:C1:SE;BFAS:BFAS:N:W;BFAS:BFAS:E:A;PS:PS:P,conscientiousness,C1,Self-Efficacy,positive,medium,proxy,Self-assurance is a close proxy for Self-Efficacy.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
disorganized,"Presents information in scattered, non-linear fashion. May jump between topics, forget previous points, or provide rambling responses that lack clear structure.",ACCEPT_CLOSE,q_1254;q_1483;q_1511,IPIP100:B5:C;HEXACO:H:C:O;IPIPneo:C2:OR;HEXACO:H:C:PE,conscientiousness,C2,Orderliness,negative,medium,proxy,Mess and poor detail placement are a close low-Orderliness proxy.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
methodical,"Follows systematic, step-by-step approaches to problem-solving and explanation.",ACCEPT_CLOSE,q_619;q_1321;q_1422,IPIP100:B5:C;HEXACO:H:C:PR;IPIPneo:C2:OR;MPQ:MPQ:CO,conscientiousness,C2,Orderliness,positive,medium,proxy,Planful stepwise work is a close proxy for Orderliness.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
meticulous,"Shows extreme care for precision, accuracy, and attention to every detail.",ACCEPT_DIRECT,q_1063;q_1507;q_1915,HEXACO:H:C:PE;IPIP100:B5:C;MPQ:MPQ:CO;BFAS:BFAS:C:O,conscientiousness,C2,Orderliness,positive,high,direct,Detail control and precision support Orderliness.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
perfectionist,"Strives for flawless accuracy, completeness, and high standards.",ACCEPT_DIRECT,q_1694;q_530;q_1915,IPIPneo:C4:AS;IPIP100:B5:C;HEXACO:H:C:PE;MPQ:MPQ:AC,conscientiousness,C4,Achievement-Striving,positive,high,direct,High standards and flawless completion match Achievement-Striving.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
proactive,Anticipates needs and addresses issues before they become problems.,ACCEPT_CLOSE,q_1883;q_4257,IPIPneo:C4:AS;EPQr:EPQ:E,conscientiousness,C4,Achievement-Striving,positive,medium,proxy,Turning plans into action is a close Achievement-Striving proxy.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
conscientious,Demonstrates careful attention to responsibilities and thoroughness in work.,ACCEPT_DIRECT,q_1507;q_1422;q_491,IPIP100:B5:C;HEXACO:H:C:PE;MPQ:MPQ:CO;IPIPneo:C5:SD,conscientiousness,C5,Self-Discipline,positive,high,direct,"Responsibility, detail, and plan completion support Self-Discipline.",frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
cautious,"Emphasizes potential risks, limitations, and the need for careful consideration.",ACCEPT_CLOSE,q_1781;q_292;q_2020,MPQ:MPQ:HA;HEXACO:H:E:F,conscientiousness,C6,Cautiousness,positive,medium,proxy,Risk avoidance and deliberation are a close Cautiousness proxy.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
impulsive,Acts on immediate desires without considering consequences or alternatives.,ACCEPT_DIRECT,q_22;q_35;q_636,HEXACO:H:C:PR;IPIPneo:C6:CA,conscientiousness,C6,Cautiousness,negative,high,direct,Acting without considering consequences is the low-Cautiousness pole.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
spontaneous,"Provides varied, unpredictable responses that don't follow rigid patterns.",ACCEPT_CLOSE,q_4276;q_1488,EPQr:EPQ:E;MPQ:MPQ:CO;IPIPneo:C6:CA,conscientiousness,C6,Cautiousness,negative,medium,proxy,Spur-of-the-moment decisions are a close low-Cautiousness proxy.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
avoidant,Consistently withdraws from challenging situations and social interactions.,ACCEPT_CLOSE,q_312;q_901;q_1671,MPQ:MPQ:SC;IPIP100:B5:E;HEXACO:H:X:SB;IPIPneo:N4:SC,extraversion,E1,Friendliness,negative,medium,proxy,Withdrawal and approach difficulty are a close low-Friendliness proxy.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
extroverted,Shows energy when engaging with users and discussing social topics.,ACCEPT_DIRECT,q_1742;q_1803;q_4257,IPIP100:B5:E;HEXACO:H:X:S;QB6:QB6:X;IPIPneo:E2:GR,extraversion,E2,Gregariousness,positive,high,direct,Starting conversations and seeking company directly match Gregariousness.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
