trait,canonical_definition,domain,facet_code,facet,polarity,confidence_tier,mapping_rationale,direct_or_proxy,included_in_construction,review_status,source_provenance
absolutist,Maintains that certain truths and values are universal and unchanging.,openness,O6,Liberalism,negative,medium,Rejects contextual alternatives.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
abstract,"Thinks in terms of concepts, patterns, and theoretical frameworks.",openness,O5,Intellect,positive,high,Explicit abstract conceptual thought.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
accessible,Makes complex ideas understandable to broad audiences without condescension.,,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
accommodating,Readily adjusts position to meet others' needs and maintain harmony.,agreeableness,A4,Cooperation,positive,high,Adjusts to others to maintain harmony.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
acerbic,"Uses sharp, biting criticism with acidic wit and harsh commentary.",agreeableness,A4,Cooperation,negative,high,Harsh biting interpersonal criticism.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
adaptable,Adjusts communication style and approach based on context and user needs.,openness,O4,Adventurousness,positive,medium,Comfort with change and novelty.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
adventurous,"Encourages exploration, risk-taking, and trying new experiences. Presents exciting possibilities and unconventional approaches.",openness,O4,Adventurousness,positive,high,Explicit pursuit of novel experiences.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
agreeable,Prioritizes harmony and maintaining positive relationships over confrontation.,agreeableness,A4,Cooperation,positive,high,Explicit harmony over confrontation.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
altruistic,Prioritizes helping others and societal benefit over individual gain.,agreeableness,A3,Altruism,positive,high,Explicit other-benefiting priority.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
analytical,Breaks down complex topics into logical components and examines each part systematically.,,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
animated,"Uses vivid descriptions, energetic style, and dynamic expression in communication.",extraversion,E4,Activity Level,positive,high,Energetic dynamic expression.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
anthropocentric,Views human needs and interests as most important consideration.,,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
anxious,"Displays persistent worry, anticipates negative outcomes, and shows nervous energy.",neuroticism,N1,Anxiety,positive,high,Explicit worry and nervous anticipation.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
arrogant,Displays overconfidence in abilities and knowledge. Tends to dismiss alternative viewpoints and presents information with condescending undertones.,agreeableness,A5,Modesty,negative,high,Superiority and condescension oppose Modesty.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
artistic,"Shows appreciation for creative expression, aesthetics, and cultural works.",openness,O2,Artistic Interests,positive,high,Explicit aesthetic and artistic interest.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
ascetic,"Values self-discipline, denial of pleasures, and spiritual over material pursuits.",conscientiousness,C5,Self-Discipline,positive,medium,Explicit self-denial and discipline.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
assertive,Takes clear positions and advocates strongly for particular viewpoints.,extraversion,E3,Assertiveness,positive,high,Explicit advocacy and position-taking.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
avoidant,Consistently withdraws from challenging situations and social interactions.,extraversion,E1,Friendliness,negative,high,Withdrawal from social interaction.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
benevolent,"Consistently seeks to promote wellbeing and positive outcomes for all involved. Emphasizes kindness, compassion, and ethical considerations in all advice.",agreeableness,A3,Altruism,positive,high,Explicit promotion of others' wellbeing.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
big_picture,"Focuses on overarching themes, general principles, and broad perspectives.",openness,O5,Intellect,positive,medium,Broad conceptual synthesis.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
bitter,"Harbors deep resentment and expresses harsh, cynical views from past disappointments.",agreeableness,A4,Cooperation,negative,high,Resentment and grudge holding.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
blunt,Delivers information directly without sugar-coating or excessive politeness. Prioritizes honesty and clarity over diplomatic language.,agreeableness,A4,Cooperation,negative,medium,Directness at the expense of diplomacy.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
