trait,canonical_definition,sapa_review_tier,sapa_item_ids,sapa_supporting_source_scales,external_domain,external_facet_code,external_facet,polarity,confidence_tier,mapping_relation,mapping_rationale,review_status,source_provenance
creative,"Offers imaginative solutions, novel perspectives, and original approaches to problems.",ACCEPT_DIRECT,q_2754;q_2745;q_1441,PS:PS:P;BFAS:BFAS:O:O,openness,O1,Imagination,positive,high,direct,"Original, imaginative ideation directly matches Imagination.",frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
introspective,"Reflects on internal processes, self-analysis, and metacognitive awareness.",ACCEPT_DIRECT,q_1880;q_1310,IPIPneo:O3:EM;MPQ:MPQ:AB;IPIPneo:O1:IM,openness,O1,Imagination,positive,high,direct,Inner reflection and getting lost in thought support Imagination.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
artistic,"Shows appreciation for creative expression, aesthetics, and cultural works.",ACCEPT_DIRECT,q_348;q_610;q_1441,HEXACO:H:O:A;IPIPneo:O2:AI;BFAS:BFAS:O:O,openness,O2,Artistic Interests,positive,high,direct,Art appreciation and creative expression directly match Artistic Interests.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
emotional,"Acknowledges and discusses feelings, moods, and emotional experiences.",ACCEPT_DIRECT,q_1681;q_793;q_219,HEXACO:H:E:S;IPIPneo:O3:EM;MPQ:MPQ:SC,openness,O3,Emotionality,positive,high,direct,Awareness and expression of feelings directly match Emotionality.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
curious,Shows genuine interest in learning and exploring new topics and ideas.,ACCEPT_DIRECT,q_2775,QB6:QB6:O,openness,O5,Intellect,positive,high,direct,Interest in learning and ideas supports Intellect.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
innovative,Constantly seeks new approaches and cutting-edge solutions. Emphasizes experimentation and embracing emerging technologies or methods.,ACCEPT_DIRECT,q_1392;q_2745;q_516,IPIP100:B5:O;HEXACO:H:O:C;PS:PS:P,openness,O5,Intellect,positive,high,direct,New ideas and original approaches support Intellect.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
secular,Approaches topics without religious considerations or spiritual frameworks.,ACCEPT_DIRECT,q_660;q_345,MPQ:MPQ:TR;IPIPneo:O6:LI,openness,O6,Liberalism,positive,high,direct,Questioning conventional religious commitment maps to the IPIP Liberalism/value-openness facet.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
traditional,"Values established methods, conventional wisdom, and proven approaches.",ACCEPT_DIRECT,q_82;q_1301;q_4291,IPIPneo:O4:AD;HEXACO:H:O:U;EPQr:EPQ:P,openness,O6,Liberalism,negative,high,direct,Attachment to convention is the low-Liberalism pole in the IPIP terminology.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
meticulous,"Shows extreme care for precision, accuracy, and attention to every detail.",ACCEPT_DIRECT,q_1063;q_1507;q_1915,HEXACO:H:C:PE;IPIP100:B5:C;MPQ:MPQ:CO;BFAS:BFAS:C:O,conscientiousness,C2,Orderliness,positive,high,direct,Detail control and precision support Orderliness.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
perfectionist,"Strives for flawless accuracy, completeness, and high standards.",ACCEPT_DIRECT,q_1694;q_530;q_1915,IPIPneo:C4:AS;IPIP100:B5:C;HEXACO:H:C:PE;MPQ:MPQ:AC,conscientiousness,C4,Achievement-Striving,positive,high,direct,High standards and flawless completion match Achievement-Striving.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
conscientious,Demonstrates careful attention to responsibilities and thoroughness in work.,ACCEPT_DIRECT,q_1507;q_1422;q_491,IPIP100:B5:C;HEXACO:H:C:PE;MPQ:MPQ:CO;IPIPneo:C5:SD,conscientiousness,C5,Self-Discipline,positive,high,direct,"Responsibility, detail, and plan completion support Self-Discipline.",frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
impulsive,Acts on immediate desires without considering consequences or alternatives.,ACCEPT_DIRECT,q_22;q_35;q_636,HEXACO:H:C:PR;IPIPneo:C6:CA,conscientiousness,C6,Cautiousness,negative,high,direct,Acting without considering consequences is the low-Cautiousness pole.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
extroverted,Shows energy when engaging with users and discussing social topics.,ACCEPT_DIRECT,q_1742;q_1803;q_4257,IPIP100:B5:E;HEXACO:H:X:S;QB6:QB6:X;IPIPneo:E2:GR,extraversion,E2,Gregariousness,positive,high,direct,Starting conversations and seeking company directly match Gregariousness.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
gregarious,"Shows highly sociable, outgoing style that seeks interaction and company.",ACCEPT_DIRECT,q_463;q_1742;q_1803,HEXACO:H:E:D;IPIP100:B5:E;HEXACO:H:X:S;QB6:QB6:X;IPIPneo:E2:GR,extraversion,E2,Gregariousness,positive,high,direct,Seeking company and social interaction directly match Gregariousness.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
reserved,Maintains emotional restraint and limits personal disclosure.,ACCEPT_DIRECT,q_1196;q_1635;q_1742,BFAS:BFAS:E:E;HEXACO:H:X:S;MPQ:MPQ:SC;QB6:QB6:X,extraversion,E2,Gregariousness,negative,high,direct,Limited disclosure and social initiation indicate low Gregariousness.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
assertive,Takes clear positions and advocates strongly for particular viewpoints.,ACCEPT_DIRECT,q_2161;q_1768;q_1769,BFAS:BFAS:E:A;IPIP100:B5:E;MPQ:MPQ:SP;IPIPneo:E3:AS,extraversion,E3,Assertiveness,positive,high,direct,Taking charge and advocating positions directly match Assertiveness.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
dominant,Takes charge of conversations and drives toward specific outcomes.,ACCEPT_DIRECT,q_1768;q_1769;q_2161,IPIP100:B5:E;BFAS:BFAS:E:A;MPQ:MPQ:SP;IPIPneo:E3:AS,extraversion,E3,Assertiveness,positive,high,direct,Taking charge directly matches Assertiveness.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
adventurous,"Encourages exploration, risk-taking, and trying new experiences. Presents exciting possibilities and unconventional approaches.",ACCEPT_DIRECT,q_1662;q_2011,MPQ:MPQ:HA;IPIPneo:E5:ES;HEXACO:H:O:I,extraversion,E5,Excitement-Seeking,positive,high,direct,Seeking adventure and stimulation directly matches Excitement-Seeking.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
optimistic,"Focuses on positive aspects, possibilities, and favorable outcomes in discussions.",ACCEPT_DIRECT,q_1350;q_1457;q_1835,IPIPneo:E6:CH;MPQ:MPQ:UV;IPIPneo:A1:TR,extraversion,E6,Cheerfulness,positive,high,direct,Positive outlook and hope directly support Cheerfulness.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
playful,"Incorporates fun, games, and lighthearted elements into interactions and problem-solving.",ACCEPT_DIRECT,q_4265;q_1685;q_1043,EPQr:EPQ:E;QB6:QB6:X;IPIPneo:E6:CH;BFAS:BFAS:E:E,extraversion,E6,Cheerfulness,positive,high,direct,"Fun, joking, and lightheartedness directly match Cheerfulness.",frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
cynical,Views human nature and motivations with deep distrust and pessimism.,ACCEPT_DIRECT,q_594;q_343;q_381,HEXACO:H:A:FO;MPQ:MPQ:AL;IPIPneo:A1:TR,agreeableness,A1,Trust,negative,high,direct,Distrust of human motives directly opposes Trust.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
paranoid,Shows excessive suspicion of others' motives and sees threats everywhere.,ACCEPT_DIRECT,q_1758;q_880;q_594,MPQ:MPQ:AL;IPIPneo:A1:TR;PS:PS:S;HEXACO:H:A:FO,agreeableness,A1,Trust,negative,high,direct,Suspicion and distrust directly oppose Trust.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
manipulative,"Uses deception, emotional exploitation, and psychological tactics to control others.",ACCEPT_DIRECT,q_1896;q_1765;q_905,QB6:QB6:H;IPIPneo:A2:MO;BFAS:BFAS:A:P;MPQ:MPQ:SP,agreeableness,A2,Morality,negative,high,direct,Deception and exploitation directly oppose Morality.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
altruistic,Prioritizes helping others and societal benefit over individual gain.,ACCEPT_DIRECT,q_1385;q_4229;q_1764,IPIPneo:A3:AL;IPIPneo:A6:SY;IPIP100:B5:A,agreeableness,A3,Altruism,positive,high,direct,Helping and charitable concern directly match Altruism.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
agreeable,Prioritizes harmony and maintaining positive relationships over confrontation.,ACCEPT_DIRECT,q_6;q_1763;q_1910,HEXACO:H:A:G;IPIP100:B5:A;BFAS:BFAS:A:C;IPIPneo:A6:SY,agreeableness,A4,Cooperation,positive,high,direct,Harmony and cooperation directly match Cooperation.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
