axis,construct_id,construct_name,framework,domain,construct_level,construct_definition,sapa_availability,item_ids,item_count,reliability,candidate_universe,serious_candidate,proposed_measurement_direction,positive_pole_marker_coverage,negative_pole_inverse_coherence,highly_concentrated_marker_coverage,strict_axis_specific_marker_coverage,role_persona_coherence,prior_model_side_interpretation_coherence,focused_activation_or_role_rating_coherence,human_construct_definition_fit,human_item_content_fit,important_contradictions,model_specific_residual_content,overall_match,previous_mapping_disposition
PC1,BFAS:BFAS:C:I,Industriousness,Big Five Aspects,Conscientiousness,aspect,"Diligence, persistence, efficiency, and achievement-oriented effort.",administered_in_release,q_44;q_107;q_491;q_706;q_904;q_930;q_988;q_1429;q_1521;q_1949,10,0.86928903,FULL_126_CONSTRUCT_LIBRARY,True,higher -> positive PC1,"Covers diligent, efficient achievement.",Lower scores fit some disorganization but not the expressive-symbolic family.,No direct highly concentrated marker coverage.,No strict-marker match beyond weak methodical proximity.,"Professional roles may be industrious, but industriousness does not distinguish auditor from poet.",Prior evidence favored external standards over determination.,Accountability activation weakens effort-only explanations.,Nonspecific goal-pursuit construct.,"Items cover work, persistence, task completion, and goals.",Achievement effort is orthogonal to many epistemic/register contrasts.,"Transparency, empirical discipline, and symbolic imagination remain.",WEAK_OR_NONSPECIFIC,DOWNGRADE as primary; retain only background facet.
PC1,BFAS:BFAS:C:O,Orderliness,Big Five Aspects,Conscientiousness,aspect,"Preference for organization, routine, cleanliness, and rule-governed structure.",administered_in_release,q_169;q_170;q_582;q_931;q_1201;q_1255;q_1290;q_1657;q_1915;q_1917,10,0.81622461,FULL_126_CONSTRUCT_LIBRARY,True,higher -> positive PC1,"Covers organization, routine, and rule-governed structure.",Lower Orderliness weakly fits improvisation and spontaneity.,Covers methodical/cautious only indirectly.,Directly relevant to methodical; not to most strict positive or symbolic negative markers.,Fits standards-bearing roles but is narrower than their knowledge/accountability content.,"External-standard evidence is compatible, while vocabulary tests showed orderliness weaker than accountability.","Focused accountability effects exceed arithmetic/checking, limiting a pure orderliness account.","Good facet fit for structure, not the whole axis.","Items include schedules, order, routines, and rules being observed.",Does not explain transparent/factual/analytical markers or narrative/poetic symbolism.,Most epistemic and expressive content remains.,PARTIAL_COMPONENT,RETAIN as subordinate facet.
PC1,BFAS:BFAS:O:I,Intellect,Big Five Aspects,Openness/Intellect,aspect,"Interest and confidence in abstract ideas, reasoning, and complex information.",administered_in_release,q_240;q_316;q_322;q_422;q_946;q_1050;q_1088;q_1253;q_1327;q_1834,10,0.83826988,FULL_126_CONSTRUCT_LIBRARY,True,higher -> positive PC1,"Covers analytical reasoning, complex information, and intellectual confidence.","Its logical inverse does not cover poetic, symbolic, or imaginative negative PC1; those are often positively related to broader Openness/Intellect.","Covers analytical, rationalist, quantitative, educational, and data-driven by proximity.",Strongest coverage is analytical/quantitative; transparent/factual/procedural remain.,"Fits scientist, statistician, analyst, and researcher roles, but also negative-PC2 theorist/philosopher roles.","Blind intelligence/expertise correlated strongly with PC1, supporting this component.",Focused accountability evidence shows Intellect is not sufficient.,"Good fit for disciplined reasoning, poor fit for the whole bipolar axis.","Items emphasize abstract ideas, difficult reading, vocabulary, and reasoning, not empirical procedure.","Human Intellect is strongly abstract, while Qwen PC1 positive is not the negative-PC2 abstract/theoretical pole.",External accountability and expressive symbolism remain.,PARTIAL_COMPONENT,RETAIN with explicit PC2 cross-interpretation caveat.
PC1,BFAS:BFAS:O:O,Openness,Big Five Aspects,Openness/Intellect,aspect,"Aesthetic sensitivity, imagination, fantasy, and receptivity to perceptual experience.",administered_in_release,q_348;q_612;q_776;q_964;q_1389;q_1441;q_1648;q_1675;q_1682;q_1687,10,0.76367872,FULL_126_CONSTRUCT_LIBRARY,True,higher -> negative PC1,"Lower Openness partly fits literal, descriptive, materialist, and convergent positive context.","Directly covers aesthetic, imaginative, fantasy, and perceptual negative PC1.","Covers romantic, poetic, artistic, mystical, whimsical, intuitive, spiritual, and creative markers.",Covers many strict negative markers and is the strongest prior family-level match.,"Fits bard, poet, dreamer, mystic, actor, and related negative-PC1 roles.",Coheres strongly with the expressive-symbolic pole.,"No focused activation targeted Openness, but role evidence is consistent.",Strong definition fit for the negative half; incomplete positive inverse.,"Items cover fantasy, beauty, poetry, reflection, and imagination.",Low Openness is not equivalent to transparent factual analytical procedure.,External standards and disciplined knowledge practice remain unmeasured.,PLAUSIBLE_BIPOLAR_MATCH,"RETAIN as best negative-pole human analogue, not a complete axis label."
PC1,HEXACO:H:C:PE,Perfectionism,HEXACO,Conscientiousness,facet,"Thoroughness, accuracy checking, and concern about errors and details.",administered_in_release,q_530;q_554;q_559;q_571;q_1063;q_1507;q_1511;q_1537;q_1915;q_1916,10,0.81420866,FULL_126_CONSTRUCT_LIBRARY,True,higher -> positive PC1,"Covers accuracy checking, detail, and avoiding errors.",Lower Perfectionism partly fits improvisation and looseness.,Indirectly covers methodical/cautious; not empirical transparency.,"Covers methodical/cautious and accuracy context, not the symbolic pole.","Fits auditor, proofreader, validator, and checker roles.","Supports correct-execution content, but previous specificity work showed `perfectionist` itself cross-loads.","Accountability exceeded arithmetic/checking, so perfectionism cannot be the primary mechanism.",Good narrow fit for error control.,"Items directly address mistakes, details, checking, and accuracy.",Perfectionism also loads on negative PC2/formal abstraction and can be internally rather than externally motivated.,"External accountability, disciplined knowledge, and symbolic expression remain.",PARTIAL_COMPONENT,RETAIN as accuracy/correctness facet.
PC1,HEXACO:H:X:E,Expressiveness,HEXACO,Extraversion,facet,Ease and animation in emotional and interpersonal expression.,administered_in_release,q_158;q_262;q_403;q_690;q_712;q_1064;q_1643;q_1730;q_1795;q_1810,10,0.82904005,FULL_126_CONSTRUCT_LIBRARY,True,higher -> negative PC1,Low Expressiveness may fit reserved/detached positive context.,"Covers charismatic, theatrical, effusive, animated, and emotional expression.",Covers charismatic and some dramatic/performative content.,Covers a narrower strict-negative performance subset.,"Fits actor, bard, comedian, presenter, and performer roles.",Consistent with prior partial mapping.,No focused activation.,Good expressive facet fit.,Items emphasize emotional expression and public comfort.,Does not cover poetic symbolism or factual procedure.,Large residual on both poles.,PARTIAL_COMPONENT,RETAIN.
PC1,HEXACO:H:H:S,Sincerity,HEXACO,Honesty-Humility,facet,"Low willingness to manipulate others through flattery, deception, or strategic charm.",administered_in_release,q_23;q_704;q_917;q_1276;q_1517;q_1543;q_1555;q_1762;q_1808;q_1894,10,0.65117101,FULL_126_CONSTRUCT_LIBRARY,True,higher -> positive PC1,"Covers nondeceptive, unmanipulative presentation and a narrow aspect of transparency.",Lower Sincerity fits manipulative/sycophantic content on negative PC1 but not its artistic core.,"Transparent is highly concentrated, but human Sincerity is interpersonal nonmanipulation rather than epistemic transparency.",Covers transparent only by partial semantic overlap.,Some professional-legibility roles fit; negative expressive roles need not be insincere.,"Prior mapping correctly treated this as a facet, not a family-level match.",Accountability evidence does not isolate honesty.,Partial definition fit.,"Items focus flattery, manipulation, strategic charm, and deception.",The construct misses factual accuracy and wrongly moralizes expressive-symbolic style if treated as bipolar axis.,Empirical rigor and most negative-pole content remain.,PARTIAL_COMPONENT,RETAIN but narrow the rationale.
PC1,NEO_C,Conscientiousness,IPIP-NEO,Conscientiousness,domain,"Competence, order, dutifulness, achievement striving, self-discipline, and deliberation.",administered_in_release,q_35;q_76;q_169;q_170;q_191;q_258;q_321;q_404;q_405;q_491;q_507;q_515;q_520;q_554;q_598;q_602;q_604;q_618;q_619;q_708;q_722;q_786;q_904;q_962;q_977;q_992;q_1012;q_1023;q_1087;q_1113;q_1173;q_1190;q_1215;q_1254;q_1255;q_1290;q_1292;q_1333;q_1341;q_1374;q_1424;q_1435;q_1436;q_1444;q_1483;q_1488;q_1508;q_1519;q_1521;q_1553;q_1638;q_1694;q_1744;q_1748;q_1812;q_1867;q_1883;q_1917;q_1949;q_1979,60,0.94964793,FULL_126_CONSTRUCT_LIBRARY,True,higher -> positive PC1,"Covers disciplined, careful, planful execution in the broad positive context.","Lower scores partly fit spontaneity, impulsivity, and disorganization on negative PC1.","Indirect coverage of methodical and cautious; does not cover factual, transparent, analytical, quantitative, or secular.",Covers cautious and some methodical/procedural content; the negative strict pole is mostly symbolic-expression content outside Conscientiousness.,"Fits auditor/examiner/evaluator/validator roles and the professional hierarchy, but not the full negative expressive continuum.","Consistent with the accountability/procedural evidence as one component, not the complete axis.",Accountability effects support standards-governed execution; they do not establish broad Conscientiousness.,Broad goal regulation is relevant but less specific than external standards plus disciplined knowledge practice.,"Items cover competence, order, duty, achievement, discipline, and deliberation; none measure empirical transparency as a unit.","High Conscientiousness can coexist with poetic, imaginative, or symbolic cognition; low Conscientiousness does not imply those styles.","Factuality, transparent communication, quantitative epistemics, and expressive-symbolic imagination remain outside the construct.",PARTIAL_COMPONENT,DOWNGRADE_AND_DECOMPOSE broad Conscientiousness; retain facets.
PC1,IPIPneo:C4:AS,Achievement Striving,IPIP-NEO,Conscientiousness,facet,High aspirations and sustained work toward excellence.,administered_in_release,q_191;q_554;q_602;q_604;q_1012;q_1519;q_1553;q_1694;q_1883;q_1979,10,0.84612219,FULL_126_CONSTRUCT_LIBRARY,True,higher -> positive PC1,Covers excellence and standards for performance.,Lower scores do not imply symbolic imagination.,No direct concentrated-marker coverage.,No strict marker is achievement striving.,"Some professional roles fit, but the full continuum does not.","External criteria matter, but ambition did not emerge as the best model-side explanation.",Focused activation did not test achievement.,Narrow and nonspecific.,"Items concern ambition, excellence, and goals, with one high-standards item.",Internal ambition differs from accountability to externally legible criteria.,Empirical and expressive poles remain.,WEAK_OR_NONSPECIFIC,RETAIN only as peripheral standards facet.
PC1,IPIPneo:C6:CA,Cautiousness,IPIP-NEO,Conscientiousness,facet,Deliberation and consideration of consequences before action.,administered_in_release,q_35;q_321;q_507;q_598;q_1173;q_1292;q_1424;q_1488;q_1638;q_1748,10,0.83978208,FULL_126_CONSTRUCT_LIBRARY,True,higher -> positive PC1,Covers deliberation and caution.,Lower scores fit impulsive/spontaneous portions of negative PC1.,"Directly covers cautious, a highly concentrated positive marker.",Covers cautious and some methodical content.,Fits risk-managed professional roles but not necessarily epistemic transparency.,Compatible with the positive pole but not central to prior accountability results.,No focused evidence isolates deliberation as the driver.,Good narrow fit.,Items emphasize avoiding mistakes and considering consequences.,Caution can inhibit transparent or decisive factual communication; expressive imagination is not simply incaution.,Most analytic and symbolic content remains.,PARTIAL_COMPONENT,RETAIN as narrow marker-level analogue.
