model_trait,canonical_definition,coverage_category,coverage_label,review_status,evidence_text,candidate_item_ids,accepted_evidence_item_ids,candidate_scale_names,wording_direction,lexical_candidate_item_ids,semantic_candidate_item_ids,top_semantic_score,ambiguity_flag,notes
pessimistic,"Tends to focus on potential problems, limitations, and negative outcomes. Frequently presents cautionary perspectives and worst-case scenarios.",3,DIRECT / NEAR-DIRECT CONSTRUCT COVERAGE,codex_feasibility_reviewed,q_1038: Have a dark outlook on the future. | q_808: Fear for the worst.,q_1038;q_808;q_960;q_423;q_195;q_1327;q_651;q_1099,q_1038;q_808,MPQ:MPQ:WB;PS:PS:S;IPIPneo:N1:ANX,same_direction,q_808;q_960;q_423;q_195;q_1327,q_808;q_960;q_423;q_195;q_1327,0.103555,False,"Face-valid narrow item content; feasibility only, not validated construct equivalence."
blunt,Delivers information directly without sugar-coating or excessive politeness. Prioritizes honesty and clarity over diplomatic language.,0,NO DEFENSIBLE COVERAGE FOUND,codex_feasibility_reviewed,Top lexical/TF-IDF candidates were retained for audit but rejected as construct evidence.,q_422;q_163;q_35;q_875;q_1374;q_1610;q_923;q_463,,,not_applicable_or_not_accepted,q_422;q_163;q_35;q_875;q_1374,q_422;q_163;q_35;q_875;q_1374,0.105271,False,No defensible coverage found in this feasibility review.
rebellious,Challenges authority and conventional wisdom. Questions established norms and suggests alternative approaches to traditional methods.,3,DIRECT / NEAR-DIRECT CONSTRUCT COVERAGE,codex_feasibility_reviewed,q_1609: Rebel against authority. | q_1624: Respect authority.,q_1609;q_1624;q_82;q_1301;q_1235;q_1388;q_901;q_1328,q_1609;q_1624,HEXACO:H:O:U;BFAS:BFAS:A:P,same_direction,q_1609;q_1624;q_82;q_1301;q_1235,q_1609;q_1624;q_82;q_1301;q_1235,0.150425,False,"Face-valid narrow item content; feasibility only, not validated construct equivalence."
meditative,"Provides calm, reflective responses that encourage introspection. Often incorporates mindfulness concepts and emphasizes present-moment awareness.",1,BROAD-DOMAIN ONLY,codex_feasibility_reviewed,Only broad Big-Five/HEXACO-domain content is plausible; no narrow reviewed item anchor accepted.,q_4276;q_1616;q_85;q_1389;q_1738;q_1446;q_1610;q_105,,,not_applicable_or_not_accepted,q_4276;q_1616;q_85;q_1389;q_1738,q_4276;q_1616;q_85;q_1389;q_1738,0.095783,True,Broad-domain coverage is not a usable one-to-one trait match.
dramatic,Uses emotionally charged language and vivid descriptions. Tends to present information with heightened intensity and theatrical flair.,3,DIRECT / NEAR-DIRECT CONSTRUCT COVERAGE,codex_feasibility_reviewed,q_2951: Have a colorful and dramatic way of talking about things. ,q_2951;q_1058;q_422;q_793;q_1768;q_844;q_1589;q_1681,q_2951,PS:PS:P,same_direction,q_2951;q_1058;q_422;q_793;q_1768,q_1058;q_422;q_2951;q_793;q_1768,0.120512,False,"Face-valid narrow item content; feasibility only, not validated construct equivalence."
innovative,Constantly seeks new approaches and cutting-edge solutions. Emphasizes experimentation and embracing emerging technologies or methods.,3,DIRECT / NEAR-DIRECT CONSTRUCT COVERAGE,codex_feasibility_reviewed,q_1392: Love to think up new ways of doing things. | q_2745: Am able to come up with new and different ideas. | q_516: Come up with something new.,q_1392;q_2745;q_516;q_515;q_581;q_38;q_4237;q_1303,q_1392;q_2745;q_516,IPIP100:B5:O;HEXACO:H:O:C;PS:PS:P,same_direction,q_515;q_581;q_516;q_38;q_4237,q_515;q_581;q_516;q_38;q_4237,0.113748,False,"Face-valid narrow item content; feasibility only, not validated construct equivalence."
arrogant,Displays overconfidence in abilities and knowledge. Tends to dismiss alternative viewpoints and presents information with condescending undertones.,2,CLOSE NARROW CONSTRUCT,codex_feasibility_reviewed,q_364: Believe that I am better than others. | q_716: Don't think that I'm better than other people. | q_1042: Have a high opinion of myself.,q_364;q_716;q_1042;q_1110;q_422;q_804;q_4272;q_882,q_364;q_716;q_1042,BFAS:BFAS:A:P;HEXACO:H:H:M;IPIPneo:A5:MO,mixed_or_reverse_wording_review_required,q_1110;q_422;q_804;q_4272;q_882,q_1110;q_422;q_804;q_4272;q_882,0.125456,True,Neighboring narrow content; semantic scope differs from the canonical model-trait definition.
impatient,Responds with urgency and pushes for quick decisions. May express frustration with detailed explanations or lengthy discussions.,2,CLOSE NARROW CONSTRUCT,codex_feasibility_reviewed,q_1330: Like to take my time. | q_988: Get things done quickly. | q_4274: Like doing things in which I have to act quickly.,q_1330;q_988;q_4274;q_1521;q_740;q_1424;q_197;q_803,q_1330;q_988;q_4274,IPIPneo:E4:AL;BFAS:BFAS:C:I;EPQr:EPQ:E,same_direction,q_1521;q_740;q_1424;q_197;q_803,q_1521;q_740;q_1424;q_197;q_803,0.162212,True,Neighboring narrow content; semantic scope differs from the canonical model-trait definition.
detached,Maintains emotional distance and presents information with clinical objectivity. Avoids personal investment in outcomes or emotional reactions.,3,DIRECT / NEAR-DIRECT CONSTRUCT COVERAGE,codex_feasibility_reviewed,q_1196: Keep others at a distance. | q_1681: Seldom get emotional.,q_1196;q_1681;q_1589;q_225;q_797;q_721;q_2020;q_1687,q_1196;q_1681,BFAS:BFAS:E:E;HEXACO:H:X:S;MPQ:MPQ:SC;IPIPneo:E1:FR;HEXACO:H:E:S;IPIPneo:O3:EM,mixed_or_reverse_wording_review_required,q_1589;q_1196;q_1681;q_225;q_797,q_1589;q_1196;q_1681;q_225;q_797,0.268981,False,"Face-valid narrow item content; feasibility only, not validated construct equivalence."
adventurous,"Encourages exploration, risk-taking, and trying new experiences. Presents exciting possibilities and unconventional approaches.",3,DIRECT / NEAR-DIRECT CONSTRUCT COVERAGE,codex_feasibility_reviewed,q_1662: Seek adventure. | q_2011: Would love to explore strange places.,q_1662;q_2011;q_4279;q_1998;q_134;q_797;q_82;q_1301,q_1662;q_2011,MPQ:MPQ:HA;IPIPneo:E5:ES;HEXACO:H:O:I,same_direction,q_4279;q_1998;q_134;q_1662;q_797,q_4279;q_1998;q_134;q_1662;q_797,0.105174,False,"Face-valid narrow item content; feasibility only, not validated construct equivalence."
