review_id,trait,canonical_definition,evidence_item_ids,exact_sapa_item_wording,evidence_scale_names,item_scoring_direction_metadata,single_or_multi_item,response_anchors,reverse_keying_metadata,sapa_scale_metadata
SAPA-C3-001,risk_taking,"Encourages bold actions, experimentation, and embracing uncertainty.",q_1781;q_292;q_1780,q_1781: Take risks. | q_292: Am willing to take risks. | q_1780: Take risks that could cause trouble for me.,MPQ:MPQ:HA;HEXACO:H:E:F;QB6:QB6:H,same_direction,multi_item,q_1781: 1=Very Inaccurate;6=Very Accurate | q_292: 1=Very Inaccurate;6=Very Accurate | q_1780: 1=Very Inaccurate;6=Very Accurate,q_1781: MPQha | q_292: none documented | q_1780: QB6honprop,"[{""scale_id"":""MPQ:MPQ:HA"",""instrument"":""MPQ"",""scale_name"":""MPQ:HA"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""HEXACO:H:E:F"",""instrument"":""HEXACO"",""scale_name"":""H:E:F"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""QB6:QB6:H"",""instrument"":""QB6"",""scale_name"":""QB6:H"",""item_count"":8,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""}]"
SAPA-C3-002,pessimistic,"Tends to focus on potential problems, limitations, and negative outcomes. Frequently presents cautionary perspectives and worst-case scenarios.",q_1038;q_808,q_1038: Have a dark outlook on the future. | q_808: Fear for the worst.,MPQ:MPQ:WB;PS:PS:S;IPIPneo:N1:ANX,same_direction,multi_item,q_1038: 1=Very Inaccurate;6=Very Accurate | q_808: 1=Very Inaccurate;6=Very Accurate,q_1038: SPI_15enthusiasm;PSs;MPQwb | q_808: none documented,"[{""scale_id"":""MPQ:MPQ:WB"",""instrument"":""MPQ"",""scale_name"":""MPQ:WB"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""PS:PS:S"",""instrument"":""PS"",""scale_name"":""PS:S"",""item_count"":20,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""IPIPneo:N1:ANX"",""instrument"":""IPIPneo"",""scale_name"":""N1:ANX"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""}]"
SAPA-C3-003,detached,Maintains emotional distance and presents information with clinical objectivity. Avoids personal investment in outcomes or emotional reactions.,q_1196;q_1681,q_1196: Keep others at a distance. | q_1681: Seldom get emotional.,BFAS:BFAS:E:E;HEXACO:H:X:S;MPQ:MPQ:SC;IPIPneo:E1:FR;HEXACO:H:E:S;IPIPneo:O3:EM,mixed_or_reverse_wording_review_required,multi_item,q_1196: 1=Very Inaccurate;6=Very Accurate | q_1681: 1=Very Inaccurate;6=Very Accurate,q_1196: BFASenthus;HEXACO_X;NEO_E;MPQsc;HXSociable;NEOe1 | q_1681: NEO_O;NEOo3,"[{""scale_id"":""BFAS:BFAS:E:E"",""instrument"":""BFAS"",""scale_name"":""BFAS:E:E"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""HEXACO:H:X:S"",""instrument"":""HEXACO"",""scale_name"":""H:X:S"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""MPQ:MPQ:SC"",""instrument"":""MPQ"",""scale_name"":""MPQ:SC"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""IPIPneo:E1:FR"",""instrument"":""IPIPneo"",""scale_name"":""E1:FR"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""HEXACO:H:E:S"",""instrument"":""HEXACO"",""scale_name"":""H:E:S"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""IPIPneo:O3:EM"",""instrument"":""IPIPneo"",""scale_name"":""O3:EM"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""}]"
SAPA-C3-004,intuitive,Relies on pattern recognition and holistic thinking to provide insights.,q_1676,q_1676: Seldom experience sudden intuitive insights.,HEXACO:H:O:C;QB6:QB6:O,mixed_or_reverse_wording_review_required,single_item,q_1676: 1=Very Inaccurate;6=Very Accurate,q_1676: HEXACO_O;QB6open;HOCreative,"[{""scale_id"":""HEXACO:H:O:C"",""instrument"":""HEXACO"",""scale_name"":""H:O:C"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""QB6:QB6:O"",""instrument"":""QB6"",""scale_name"":""QB6:O"",""item_count"":8,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""}]"
SAPA-C3-005,empathetic,Shows understanding and consideration for human emotions and perspectives.,q_844;q_1763;q_1757,q_844: Feel others' emotions. | q_1763: Sympathize with others' feelings. | q_1757: Suffer from others' sorrows.,IPIP100:B5:A;BFAS:BFAS:A:C;HEXACO:H:E:S;IPIPneo:O3:EM;IPIPneo:A6:SY,same_direction,multi_item,q_844: 1=Very Inaccurate;6=Very Accurate | q_1763: 1=Very Inaccurate;6=Very Accurate | q_1757: 1=Very Inaccurate;6=Very Accurate,q_844: none documented | q_1763: none documented | q_1757: none documented,"[{""scale_id"":""IPIP100:B5:A"",""instrument"":""IPIP100"",""scale_name"":""B5:A"",""item_count"":20,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""BFAS:BFAS:A:C"",""instrument"":""BFAS"",""scale_name"":""BFAS:A:C"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""HEXACO:H:E:S"",""instrument"":""HEXACO"",""scale_name"":""H:E:S"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""IPIPneo:O3:EM"",""instrument"":""IPIPneo"",""scale_name"":""O3:EM"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""IPIPneo:A6:SY"",""instrument"":""IPIPneo"",""scale_name"":""A6:SY"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""}]"
SAPA-C3-006,methodical,"Follows systematic, step-by-step approaches to problem-solving and explanation.",q_619;q_1321;q_1422,q_619: Do things according to a plan. | q_1321: Like to plan ahead. | q_1422: Make plans and stick to them.,IPIP100:B5:C;HEXACO:H:C:PR;IPIPneo:C2:OR;QB6:QB6:C;MPQ:MPQ:CO,same_direction,multi_item,q_619: 1=Very Inaccurate;6=Very Accurate | q_1321: 1=Very Inaccurate;6=Very Accurate | q_1422: 1=Very Inaccurate;6=Very Accurate,q_619: none documented | q_1321: none documented | q_1422: none documented,"[{""scale_id"":""IPIP100:B5:C"",""instrument"":""IPIP100"",""scale_name"":""B5:C"",""item_count"":20,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""HEXACO:H:C:PR"",""instrument"":""HEXACO"",""scale_name"":""H:C:PR"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""IPIPneo:C2:OR"",""instrument"":""IPIPneo"",""scale_name"":""C2:OR"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""QB6:QB6:C"",""instrument"":""QB6"",""scale_name"":""QB6:C"",""item_count"":8,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""MPQ:MPQ:CO"",""instrument"":""MPQ"",""scale_name"":""MPQ:CO"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""}]"
SAPA-C3-007,anxious,"Displays persistent worry, anticipates negative outcomes, and shows nervous energy.",q_1989;q_4249;q_4256,q_1989: Worry about things. | q_4249: Would call myself a nervous person. | q_4256: Worry about awful things that might happen.,IPIP100:B5:ES;BFAS:BFAS:N:W;HEXACO:H:E:A;MPQ:MPQ:SR;IPIPneo:N1:ANX;EPQr:EPQ:N,same_direction,multi_item,q_1989: 1=Very Inaccurate;6=Very Accurate | q_4249: 1=Very Inaccurate;6=Very Accurate | q_4256: 1=Very Inaccurate;6=Very Accurate,q_1989: IPIP100stability;IPIP50EmoSt;HEXACO_E;HEAnxiety | q_4249: none documented | q_4256: none documented,"[{""scale_id"":""IPIP100:B5:ES"",""instrument"":""IPIP100"",""scale_name"":""B5:ES"",""item_count"":20,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""BFAS:BFAS:N:W"",""instrument"":""BFAS"",""scale_name"":""BFAS:N:W"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""HEXACO:H:E:A"",""instrument"":""HEXACO"",""scale_name"":""H:E:A"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""MPQ:MPQ:SR"",""instrument"":""MPQ"",""scale_name"":""MPQ:SR"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""IPIPneo:N1:ANX"",""instrument"":""IPIPneo"",""scale_name"":""N1:ANX"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""EPQr:EPQ:N"",""instrument"":""EPQr"",""scale_name"":""EPQ:N"",""item_count"":24,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""}]"
SAPA-C3-008,patient,"Provides calm, understanding responses even when dealing with repetitive questions.",q_278,q_278: Am usually a patient person.,HEXACO:H:A:P;QB6:QB6:A,same_direction,single_item,q_278: 1=Very Inaccurate;6=Very Accurate,q_278: none documented,"[{""scale_id"":""HEXACO:H:A:P"",""instrument"":""HEXACO"",""scale_name"":""H:A:P"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""QB6:QB6:A"",""instrument"":""QB6"",""scale_name"":""QB6:A"",""item_count"":8,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""}]"
SAPA-C3-009,artistic,"Shows appreciation for creative expression, aesthetics, and cultural works.",q_348;q_610;q_1441,q_348: Believe in the importance of art. | q_610: Do not like art. | q_1441: Need a creative outlet.,BFAS:BFAS:O:O;HEXACO:H:O:A;QB6:QB6:O;MPQ:MPQ:TR;IPIPneo:O2:AI;MPQ:MPQ:AB,mixed_or_reverse_wording_review_required,multi_item,q_348: 1=Very Inaccurate;6=Very Accurate | q_610: 1=Very Inaccurate;6=Very Accurate | q_1441: 1=Very Inaccurate;6=Very Accurate,q_348: MPQtr | q_610: HEXACO_O;NEO_O;MPQab;HOAesthetic;NEOo2 | q_1441: none documented,"[{""scale_id"":""BFAS:BFAS:O:O"",""instrument"":""BFAS"",""scale_name"":""BFAS:O:O"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""HEXACO:H:O:A"",""instrument"":""HEXACO"",""scale_name"":""H:O:A"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""QB6:QB6:O"",""instrument"":""QB6"",""scale_name"":""QB6:O"",""item_count"":8,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""MPQ:MPQ:TR"",""instrument"":""MPQ"",""scale_name"":""MPQ:TR"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""IPIPneo:O2:AI"",""instrument"":""IPIPneo"",""scale_name"":""O2:AI"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""MPQ:MPQ:AB"",""instrument"":""MPQ"",""scale_name"":""MPQ:AB"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""}]"
SAPA-C3-010,creative,"Offers imaginative solutions, novel perspectives, and original approaches to problems.",q_2754;q_2745;q_1441,q_2754: Am an original thinker. | q_2745: Am able to come up with new and different ideas. | q_1441: Need a creative outlet.,PS:PS:P;BFAS:BFAS:O:O,same_direction,multi_item,q_2754: 1=Very Inaccurate;6=Very Accurate | q_2745: 1=Very Inaccurate;6=Very Accurate | q_1441: 1=Very Inaccurate;6=Very Accurate,q_2754: none documented | q_2745: none documented | q_1441: none documented,"[{""scale_id"":""PS:PS:P"",""instrument"":""PS"",""scale_name"":""PS:P"",""item_count"":20,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""BFAS:BFAS:O:O"",""instrument"":""BFAS"",""scale_name"":""BFAS:O:O"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""}]"
