review_id,trait,decision,rationale,evidence_item_ids,evidence_scale_names,single_or_multi_item,reverse_direction_issue,construct_boundary_note
SAPA-C3-001,risk_taking,ACCEPT_CLOSE,The items directly assess personal risk propensity but the model definition concerns encouraging bold action and experimentation.,q_1781;q_292;q_1780,MPQ:MPQ:HA;HEXACO:H:E:F;QB6:QB6:H,multi_item,none,Personal propensity versus response recommendation.
SAPA-C3-002,pessimistic,ACCEPT_DIRECT,Dark future outlook and expecting the worst directly express the defined negative-outcome orientation.,q_1038;q_808,MPQ:MPQ:WB;PS:PS:S;IPIPneo:N1:ANX,multi_item,none,none
SAPA-C3-003,detached,ACCEPT_CLOSE,Social distance and low emotionality cover detachment but do not directly measure clinical objectivity or lack of investment in outcomes.,q_1196;q_1681,BFAS:BFAS:E:E;HEXACO:H:E:S;MPQ:MPQ:SC;IPIPneo:O3:EM,multi_item,none,Emotional and interpersonal distance only.
SAPA-C3-004,intuitive,ACCEPT_CLOSE,The reverse-keyed item directly concerns intuitive insight but only sudden insight rather than holistic pattern recognition.,q_1676,HEXACO:H:O:C;QB6:QB6:O,single_item,handled,Sudden intuitive insight is narrower than the defined reasoning style.
SAPA-C3-005,empathetic,ACCEPT_DIRECT,Feeling and sympathizing with others' emotions directly cover affective understanding and concern.,q_844;q_1763;q_1757,BFAS:BFAS:A:C;HEXACO:H:E:S;IPIPneo:A6:SY,multi_item,none,none
SAPA-C3-006,methodical,ACCEPT_CLOSE,Planning and plan adherence measure orderly method but not specifically stepwise problem-solving or explanation.,q_619;q_1321;q_1422,IPIP100:B5:C;HEXACO:H:C:PR;IPIPneo:C2:OR;MPQ:MPQ:CO,multi_item,none,General planfulness versus procedural communication.
SAPA-C3-007,anxious,ACCEPT_DIRECT,Worry nervousness and anticipation of awful events directly cover the defined anxiety construct.,q_1989;q_4249;q_4256,BFAS:BFAS:N:W;HEXACO:H:E:A;IPIPneo:N1:ANX;EPQr:EPQ:N,multi_item,none,none
SAPA-C3-008,patient,ACCEPT_DIRECT,The single item explicitly assesses being a patient person and matches the central narrow construct.,q_278,HEXACO:H:A:P;QB6:QB6:A,single_item,none,Application to repetitive questions is not separately measured.
SAPA-C3-009,artistic,ACCEPT_DIRECT,Art importance art liking and need for creative expression directly cover aesthetic and artistic orientation.,q_348;q_610;q_1441,HEXACO:H:O:A;IPIPneo:O2:AI;BFAS:BFAS:O:O,multi_item,handled,none
SAPA-C3-010,creative,ACCEPT_DIRECT,Original thinking and generating new ideas directly measure creative ideation.,q_2754;q_2745;q_1441,PS:PS:P;BFAS:BFAS:O:O,multi_item,none,none
