model,K,profile_id,trait,mean_trait_score,median_trait_score,within_model_standardized_score,within_model_mean_percentile
llama,4,L04_A,absolutist,-0.05986005092271966,-0.0617956379445287,1.1208784625658745,81.17703349282297
llama,4,L04_A,abstract,0.3096674001695969,0.3098427726082532,1.1667264554933778,84.9090909090909
llama,4,L04_A,accessible,0.08721744374601267,0.0840304627708508,-1.2801891226714766,15.45454545454545
llama,4,L04_A,accommodating,0.06204396335255839,0.0546324258031087,0.03404125571970339,55.473684210526315
llama,4,L04_A,acerbic,-0.3350587979109061,-0.3465526337942905,0.6117818929672654,73.32376395534293
llama,4,L04_A,adaptable,0.5444160212503844,0.548148433041376,-0.8820483627142153,20.417862838915468
llama,4,L04_A,adventurous,0.08133573559224488,0.0804227194237766,0.9405827814816947,78.29984051036682
llama,4,L04_A,agreeable,0.3216582033991434,0.334523227923545,-0.17561294315300247,37.82137161084529
llama,4,L04_A,altruistic,0.20847721365495864,0.2206131611238396,0.05205586351527629,47.67145135566187
llama,4,L04_A,analytical,0.3066804765801886,0.3093402291593651,-0.39209876545349825,35.72886762360447
llama,4,L04_A,animated,0.11410685702574408,0.1166574242106776,0.7200893644811763,71.5566188197767
llama,4,L04_A,anthropocentric,-0.10495537877425246,-0.1079396141376285,0.42683039279964924,63.05263157894738
llama,4,L04_A,anxious,-0.1881002355582041,-0.1931270798374301,-0.20390310003519638,49.37480063795854
llama,4,L04_A,arrogant,-0.09203168734582089,-0.1012950054559041,1.0642718059420488,81.33652312599679
llama,4,L04_A,artistic,0.19632440223531225,0.1979185335191403,1.3281016555998308,85.62998405103669
llama,4,L04_A,ascetic,0.22689857278818412,0.2212766976262884,1.4621525986029917,87.11004784688993
llama,4,L04_A,assertive,0.037132113908302504,0.0318409744885598,0.48304609983474744,67.42264752791068
llama,4,L04_A,avoidant,-0.6303916179443066,-0.6321571495985868,0.2967372899905733,69.64912280701753
llama,4,L04_A,benevolent,0.3281755498412844,0.3353122870943936,-0.3911994295533038,32.25199362041467
llama,4,L04_A,big_picture,0.5036546237756186,0.5068749162433183,0.546053104395687,69.19617224880382
llama,4,L04_A,bitter,-0.23643407942162525,-0.2472730456784954,0.42976144836035424,68.97288676236045
llama,4,L04_A,blunt,-0.31713489063330363,-0.3221008446345855,-0.34253570594928967,39.365231259968105
llama,4,L04_A,bombastic,0.11084959531118634,0.1103673740077221,1.5442905876779618,88.55821371610843
llama,4,L04_A,calculating,0.39925851684028796,0.3996149379012313,0.46850720811857083,62.07655502392345
llama,4,L04_A,callous,-0.35436355665232,-0.3632961727209565,0.3710873242920763,66.22328548644337
llama,4,L04_A,calm,0.30719664524563195,0.3161666283531454,-0.16147046530313133,36.883572567783105
llama,4,L04_A,casual,-0.28467468464143086,-0.2856087203437174,-0.5822069263055674,31.339712918660283
llama,4,L04_A,cautious,0.16619580174980855,0.16753651831599,-0.25951107020029457,39.65869218500797
llama,4,L04_A,challenging,0.13254897550806488,0.121880925126194,0.7954776214944667,75.66507177033493
llama,4,L04_A,chaotic,0.17357479240096935,0.1715473197288144,1.3735732451405633,85.9489633173844
llama,4,L04_A,charismatic,0.3439990981693737,0.3467582205618141,0.4859921987368081,67.78628389154706
llama,4,L04_A,chill,0.17742328690795625,0.1839420821948964,-0.641295455059288,29.776714513556627
llama,4,L04_A,circumspect,0.2567588429452094,0.263029240707574,0.26430559343910376,58.71451355661883
llama,4,L04_A,closure_seeking,-0.1909429915667715,-0.1916690386705613,-0.1975872717253814,42.93779904306222
llama,4,L04_A,collaborative,0.14257107521527174,0.1451601389333753,-0.5516650883187945,31.0334928229665
llama,4,L04_A,collectivistic,0.12801187800130057,0.13037307158143,-0.0663581860603532,46.46570972886763
llama,4,L04_A,competitive,-0.08098491044000615,-0.0898773853857446,0.6108752920813884,72.50079744816586
llama,4,L04_A,conceptual,0.2854235818850856,0.2866326000525724,1.20090808073882,85.06858054226474
llama,4,L04_A,conciliatory,0.27824734158904574,0.2904549966594241,-0.49024692464730335,30.27432216905901
llama,4,L04_A,concise,-0.40146857091628363,-0.4024021377059338,0.10016492609470197,61.64912280701756
llama,4,L04_A,condescending,-0.08929152290306319,-0.0992767352950435,0.8392115750695643,77.55342902711324
llama,4,L04_A,confident,-0.09334524981382665,-0.0955837697377126,1.0338580107878597,80.25837320574163
llama,4,L04_A,confrontational,-0.18840795128191523,-0.1941451350322432,0.31988941952578576,62.07655502392345
llama,4,L04_A,conscientious,0.36038780667971354,0.3648790110852404,0.07539728283380913,39.97767145135565
llama,4,L04_A,constructivist,0.3125732357481042,0.3114269516206139,0.5297214552464368,68.66666666666666
llama,4,L04_A,contemporary,0.001595547105423899,-0.0075016283450104,-1.50228168922977,12.258373205741627
llama,4,L04_A,contrarian,0.014642768252447147,0.0061993668049098,1.0065833252833698,81.61084529505582
llama,4,L04_A,convergent,-0.239860050089335,-0.2411378194615782,-0.32611482411356024,39.78628389154704
llama,4,L04_A,cosmopolitan,0.30235328688965324,0.304069605827691,0.3815971587241177,59.48644338118023
llama,4,L04_A,creative,0.2723247827333565,0.2759371226937594,1.316203770970207,85.20893141945773
