item_id,exact_item_wording,hifwb_domain,response_direction,reverse_keyed,positive_wellbeing_orientation,source,source_sha256,minimal_first_person,primary_positive_pole,wording_transformation
q_2765,Am happy with my life.,Appraisal,+,0,high original response,AA-10 frozen SAPA V5 HiFWB direct inventory,dcac8f8d2e82c6fa337a8c34472b8b1901d7c709823618dd4bf614ed885a46e0,I am happy with my life.,I feel happy with my life.,concise affirmative paraphrase
q_1371,Love life.,Appraisal,+,0,high original response,AA-10 frozen SAPA V5 HiFWB direct inventory,dcac8f8d2e82c6fa337a8c34472b8b1901d7c709823618dd4bf614ed885a46e0,I love life.,I love my life.,concise affirmative paraphrase
q_1043,Have a lot of fun.,Affect,+,0,high original response,AA-10 frozen SAPA V5 HiFWB direct inventory,dcac8f8d2e82c6fa337a8c34472b8b1901d7c709823618dd4bf614ed885a46e0,I have a lot of fun.,I often have fun.,concise affirmative paraphrase
q_208,Am often in a bad mood.,Affect,-,1,low original response,AA-10 frozen SAPA V5 HiFWB direct inventory,dcac8f8d2e82c6fa337a8c34472b8b1901d7c709823618dd4bf614ed885a46e0,I am often in a bad mood.,I am usually in a good mood.,positive-pole rewrite of reverse-keyed original
q_206,Am often down in the dumps.,Affect,-,1,low original response,AA-10 frozen SAPA V5 HiFWB direct inventory,dcac8f8d2e82c6fa337a8c34472b8b1901d7c709823618dd4bf614ed885a46e0,I am often down in the dumps.,I rarely feel down.,positive-pole rewrite of reverse-keyed original
q_1578,Rarely feel depressed.,Affect,+,0,high original response,AA-10 frozen SAPA V5 HiFWB direct inventory,dcac8f8d2e82c6fa337a8c34472b8b1901d7c709823618dd4bf614ed885a46e0,I rarely feel depressed.,I rarely feel depressed.,concise affirmative paraphrase
q_875,Feel that my life lacks direction.,Meaning-making,-,1,low original response,AA-10 frozen SAPA V5 HiFWB direct inventory,dcac8f8d2e82c6fa337a8c34472b8b1901d7c709823618dd4bf614ed885a46e0,I feel that my life lacks direction.,I feel that my life has direction.,positive-pole rewrite of reverse-keyed original
q_285,Am very pleased with myself.,Self-concept,+,0,high original response,AA-10 frozen SAPA V5 HiFWB direct inventory,dcac8f8d2e82c6fa337a8c34472b8b1901d7c709823618dd4bf614ed885a46e0,I am very pleased with myself.,I feel pleased with myself.,concise affirmative paraphrase
q_820,Feel comfortable with myself.,Self-concept,+,0,high original response,AA-10 frozen SAPA V5 HiFWB direct inventory,dcac8f8d2e82c6fa337a8c34472b8b1901d7c709823618dd4bf614ed885a46e0,I feel comfortable with myself.,I feel at ease with myself.,concise affirmative paraphrase
q_1044,Have a low opinion of myself.,Self-concept,-,1,low original response,AA-10 frozen SAPA V5 HiFWB direct inventory,dcac8f8d2e82c6fa337a8c34472b8b1901d7c709823618dd4bf614ed885a46e0,I have a low opinion of myself.,I regard myself positively.,positive-pole rewrite of reverse-keyed original
q_867,Feel that I'm unable to deal with things.,Self-concept,-,1,low original response,AA-10 frozen SAPA V5 HiFWB direct inventory,dcac8f8d2e82c6fa337a8c34472b8b1901d7c709823618dd4bf614ed885a46e0,I feel that I'm unable to deal with things.,I feel able to deal with things.,positive-pole rewrite of reverse-keyed original
q_4288,Often feel lonely.,Interpersonal relationships,-,1,low original response,AA-10 frozen SAPA V5 HiFWB direct inventory,dcac8f8d2e82c6fa337a8c34472b8b1901d7c709823618dd4bf614ed885a46e0,I often feel lonely.,I feel socially connected.,positive-pole rewrite of reverse-keyed original
q_832,Feel healthy and vibrant most of the time.,Vitality,+,0,high original response,AA-10 frozen SAPA V5 HiFWB direct inventory,dcac8f8d2e82c6fa337a8c34472b8b1901d7c709823618dd4bf614ed885a46e0,I feel healthy and vibrant most of the time.,I usually feel healthy and vibrant.,concise affirmative paraphrase
