model_family_id,human_profile_id,comparison_role,trait,canonical_order,human_value,model_consensus_value,pearson_r,spearman_rho
MFamily_A,H10_C,primary_injective_K10,adventurous,1,-0.25849938598,-0.889733529412,0.519496033231,0.472742844224
MFamily_A,H10_C,primary_injective_K10,agreeable,2,0.304306417806,0.665150172427,0.519496033231,0.472742844224
MFamily_A,H10_C,primary_injective_K10,altruistic,3,0.324094232162,0.266519760168,0.519496033231,0.472742844224
MFamily_A,H10_C,primary_injective_K10,anxious,4,0.121611891626,-0.619747656456,0.519496033231,0.472742844224
MFamily_A,H10_C,primary_injective_K10,artistic,5,-0.088516168964,-0.9567083201,0.519496033231,0.472742844224
MFamily_A,H10_C,primary_injective_K10,assertive,6,-0.1220766676,-0.803238227465,0.519496033231,0.472742844224
MFamily_A,H10_C,primary_injective_K10,bitter,7,-0.346844508899,-0.867182814815,0.519496033231,0.472742844224
MFamily_A,H10_C,primary_injective_K10,callous,8,-0.375076972388,-0.420655702982,0.519496033231,0.472742844224
MFamily_A,H10_C,primary_injective_K10,calm,9,-0.116108947386,0.875608107494,0.519496033231,0.472742844224
MFamily_A,H10_C,primary_injective_K10,conscientious,10,0.286014059745,0.747148199272,0.519496033231,0.472742844224
MFamily_A,H10_C,primary_injective_K10,creative,11,-0.225125652825,-0.848101380304,0.519496033231,0.472742844224
MFamily_A,H10_C,primary_injective_K10,curious,12,-0.0741679528802,-0.0749255460078,0.519496033231,0.472742844224
MFamily_A,H10_C,primary_injective_K10,cynical,13,-0.342342505731,-0.54398499128,0.519496033231,0.472742844224
MFamily_A,H10_C,primary_injective_K10,dominant,14,-0.1220766676,0.0236032898872,0.519496033231,0.472742844224
MFamily_A,H10_C,primary_injective_K10,dramatic,15,-0.165821053928,-0.918913505889,0.519496033231,0.472742844224
MFamily_A,H10_C,primary_injective_K10,emotional,16,0.22899752079,-0.885743652025,0.519496033231,0.472742844224
MFamily_A,H10_C,primary_injective_K10,empathetic,17,0.389052518203,-0.566418746656,0.519496033231,0.472742844224
MFamily_A,H10_C,primary_injective_K10,extroverted,18,-0.0927777189723,-0.446560614273,0.519496033231,0.472742844224
MFamily_A,H10_C,primary_injective_K10,forgiving,19,0.195925576451,-0.31829457053,0.519496033231,0.472742844224
MFamily_A,H10_C,primary_injective_K10,grandiose,20,-0.309924035785,-0.759934491827,0.519496033231,0.472742844224
MFamily_A,H10_C,primary_injective_K10,gregarious,21,-0.0513313783151,-0.312311198524,0.519496033231,0.472742844224
MFamily_A,H10_C,primary_injective_K10,impulsive,22,-0.383524860121,-0.842685709642,0.519496033231,0.472742844224
MFamily_A,H10_C,primary_injective_K10,innovative,23,-0.271144158064,-0.742211816468,0.519496033231,0.472742844224
MFamily_A,H10_C,primary_injective_K10,introspective,24,-0.0773478906387,-0.242390611509,0.519496033231,0.472742844224
MFamily_A,H10_C,primary_injective_K10,judgmental,25,-0.324983750287,-0.786339072029,0.519496033231,0.472742844224
MFamily_A,H10_C,primary_injective_K10,manipulative,26,-0.545588751495,-0.952132271808,0.519496033231,0.472742844224
MFamily_A,H10_C,primary_injective_K10,melancholic,27,-0.0519525964386,-0.814629581173,0.519496033231,0.472742844224
MFamily_A,H10_C,primary_injective_K10,meticulous,28,0.2075023161,0.672524128234,0.519496033231,0.472742844224
MFamily_A,H10_C,primary_injective_K10,neurotic,29,-0.0130043513412,-0.761114195605,0.519496033231,0.472742844224
MFamily_A,H10_C,primary_injective_K10,optimistic,30,0.180840611278,0.259762221492,0.519496033231,0.472742844224
MFamily_A,H10_C,primary_injective_K10,paranoid,31,-0.346990987299,-0.806019021792,0.519496033231,0.472742844224
MFamily_A,H10_C,primary_injective_K10,patient,32,0.335311520193,0.767664517523,0.519496033231,0.472742844224
MFamily_A,H10_C,primary_injective_K10,perfectionist,33,0.15615947174,0.577578167363,0.519496033231,0.472742844224
MFamily_A,H10_C,primary_injective_K10,pessimistic,34,-0.298908473559,-0.479382113802,0.519496033231,0.472742844224
MFamily_A,H10_C,primary_injective_K10,playful,35,0.00309453037132,-0.919067961592,0.519496033231,0.472742844224
MFamily_A,H10_C,primary_injective_K10,rebellious,36,-0.638107162874,-0.826870376889,0.519496033231,0.472742844224
MFamily_A,H10_C,primary_injective_K10,reserved,37,-0.0424092891858,0.96120247492,0.519496033231,0.472742844224
MFamily_A,H10_C,primary_injective_K10,resilient,38,0.0493827480749,0.83064137098,0.519496033231,0.472742844224
MFamily_A,H10_C,primary_injective_K10,secular,39,-0.317621498404,0.83437095152,0.519496033231,0.472742844224
MFamily_A,H10_C,primary_injective_K10,serene,40,-0.0577098422092,0.163752690151,0.519496033231,0.472742844224
MFamily_A,H10_C,primary_injective_K10,stoic,41,-0.00897003375361,0.70505173168,0.519496033231,0.472742844224
MFamily_A,H10_C,primary_injective_K10,temperamental,42,-0.199745002775,-0.905294782133,0.519496033231,0.472742844224
MFamily_A,H10_C,primary_injective_K10,theatrical,43,-0.326403893851,-0.846746614881,0.519496033231,0.472742844224
MFamily_A,H10_C,primary_injective_K10,traditional,44,0.327493887175,0.51863332467,0.519496033231,0.472742844224
MFamily_A,H10_C,primary_injective_K10,vindictive,45,-0.334995859171,-0.199838362388,0.519496033231,0.472742844224
MFamily_A,H06_A,family_specific_strongest,adventurous,1,-0.124915526864,-0.889733529412,0.623661914326,0.592377878381
MFamily_A,H06_A,family_specific_strongest,agreeable,2,0.232658748,0.665150172427,0.623661914326,0.592377878381
MFamily_A,H06_A,family_specific_strongest,altruistic,3,0.256746480188,0.266519760168,0.623661914326,0.592377878381
MFamily_A,H06_A,family_specific_strongest,anxious,4,-0.223920354896,-0.619747656456,0.623661914326,0.592377878381
MFamily_A,H06_A,family_specific_strongest,artistic,5,-0.0757220299215,-0.9567083201,0.623661914326,0.592377878381
MFamily_A,H06_A,family_specific_strongest,assertive,6,0.0674250520603,-0.803238227465,0.623661914326,0.592377878381
MFamily_A,H06_A,family_specific_strongest,bitter,7,-0.451429890231,-0.867182814815,0.623661914326,0.592377878381
MFamily_A,H06_A,family_specific_strongest,callous,8,-0.318206217723,-0.420655702982,0.623661914326,0.592377878381
MFamily_A,H06_A,family_specific_strongest,calm,9,0.175568581435,0.875608107494,0.623661914326,0.592377878381
MFamily_A,H06_A,family_specific_strongest,conscientious,10,0.332438588172,0.747148199272,0.623661914326,0.592377878381
MFamily_A,H06_A,family_specific_strongest,creative,11,-0.0836046517377,-0.848101380304,0.623661914326,0.592377878381
MFamily_A,H06_A,family_specific_strongest,curious,12,0.107347167523,-0.0749255460078,0.623661914326,0.592377878381
MFamily_A,H06_A,family_specific_strongest,cynical,13,-0.352736226295,-0.54398499128,0.623661914326,0.592377878381
MFamily_A,H06_A,family_specific_strongest,dominant,14,0.0674250520603,0.0236032898872,0.623661914326,0.592377878381
MFamily_A,H06_A,family_specific_strongest,dramatic,15,-0.135721691513,-0.918913505889,0.623661914326,0.592377878381
MFamily_A,H06_A,family_specific_strongest,emotional,16,0.0299056341991,-0.885743652025,0.623661914326,0.592377878381
