path,media_type,rows_excluding_header,bytes,sha256,description,respondent_level_data,branch_raw_url,future_canonical_raw_url
research/outputs/nlsy97_occupation_personality_stability/analysis_specification.md,text/markdown,,15006,8e9e2dc6d956b84bfe9f522fce886a0e2019d6f24ee8c0fd9e3a80ca60460b1d,Outcome-blind frozen analysis and tier specification,False,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa5-nlsy97-occupation-stability/research/outputs/nlsy97_occupation_personality_stability/analysis_specification.md,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/master/research/outputs/nlsy97_occupation_personality_stability/analysis_specification.md
research/outputs/nlsy97_occupation_personality_stability/run_nlsy97_occupation_personality_stability.py,text/x-python,,94366,9bba010748bee5cd04ea356579919001c68011e8ca62eec6c08fa37749e2be7f,Deterministic human-only analysis runner,False,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa5-nlsy97-occupation-stability/research/outputs/nlsy97_occupation_personality_stability/run_nlsy97_occupation_personality_stability.py,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/master/research/outputs/nlsy97_occupation_personality_stability/run_nlsy97_occupation_personality_stability.py
research/outputs/nlsy97_occupation_personality_stability/verify_nlsy97_occupation_personality_stability.py,text/x-python,,16632,0ba0627656fa95e0b74df464cd12aef1e0fa5598c2affeaf50162d6ed50cd7bb,Independent artifact and reproducibility verifier,False,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa5-nlsy97-occupation-stability/research/outputs/nlsy97_occupation_personality_stability/verify_nlsy97_occupation_personality_stability.py,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/master/research/outputs/nlsy97_occupation_personality_stability/verify_nlsy97_occupation_personality_stability.py
research/outputs/nlsy97_occupation_personality_stability/analysis_cohort_summary.json,application/json,,5131,17ad8675f32204cfe5f532a883a725c2f5d088ebacf0931d88d7da3760e476c2,"Cohort counts, design audit, transformations, item availability, and tier counts",False,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa5-nlsy97-occupation-stability/research/outputs/nlsy97_occupation_personality_stability/analysis_cohort_summary.json,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/master/research/outputs/nlsy97_occupation_personality_stability/analysis_cohort_summary.json
research/outputs/nlsy97_occupation_personality_stability/future_model_role_comparison_candidates.csv,text/csv,94,38680,133fd4943c0fd00b69e2848e4cb192918bccc92dc7815657072da03be66042b2,Post-tier future comparison candidates; no model measurements,False,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa5-nlsy97-occupation-stability/research/outputs/nlsy97_occupation_personality_stability/future_model_role_comparison_candidates.csv,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/master/research/outputs/nlsy97_occupation_personality_stability/future_model_role_comparison_candidates.csv
research/outputs/nlsy97_occupation_personality_stability/nlsy97_occupation_personality_stability_report.md,text/markdown,,13855,696aff14b111bdc4933c0bc22f6838e77d7db0f804f58eeaff2a91cfe7f3a62a,Scientific feasibility report,False,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa5-nlsy97-occupation-stability/research/outputs/nlsy97_occupation_personality_stability/nlsy97_occupation_personality_stability_report.md,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/master/research/outputs/nlsy97_occupation_personality_stability/nlsy97_occupation_personality_stability_report.md
research/outputs/nlsy97_occupation_personality_stability/occupation_aggregation_crosswalk.csv,text/csv,510,116247,c98ea950f18e1b355b9e3d3081653d95c9c255deb3dd1c73cb95a5750ea9377a,Frozen Census-to-SOC minor/major aggregation rules,False,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa5-nlsy97-occupation-stability/research/outputs/nlsy97_occupation_personality_stability/occupation_aggregation_crosswalk.csv,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/master/research/outputs/nlsy97_occupation_personality_stability/occupation_aggregation_crosswalk.csv
research/outputs/nlsy97_occupation_personality_stability/occupation_big_five_centroids.csv,text/csv,245,248505,a43b32661f554065daa2e243ea838d9934f0aeee3e8f8461d6be63b9959f4e07,Aggregate weighted/unweighted occupational domain means and characterization,False,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa5-nlsy97-occupation-stability/research/outputs/nlsy97_occupation_personality_stability/occupation_big_five_centroids.csv,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/master/research/outputs/nlsy97_occupation_personality_stability/occupation_big_five_centroids.csv
research/outputs/nlsy97_occupation_personality_stability/occupation_centroid_feasibility.csv,text/csv,245,73616,458231368974cf04087e64218a9bebffdb2725af11921dff1fae17918101a29a,Frozen empirical feasibility tier assignments,False,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa5-nlsy97-occupation-stability/research/outputs/nlsy97_occupation_personality_stability/occupation_centroid_feasibility.csv,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/master/research/outputs/nlsy97_occupation_personality_stability/occupation_centroid_feasibility.csv
research/outputs/nlsy97_occupation_personality_stability/occupation_centroid_sample_size_curve.csv,text/csv,522,88457,957729a2852a6155a537e7f78e207f70d53e3f210b7e662127a78b86b44d5855,Repeated finite-cell subsampling error curves,False,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa5-nlsy97-occupation-stability/research/outputs/nlsy97_occupation_personality_stability/occupation_centroid_sample_size_curve.csv,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/master/research/outputs/nlsy97_occupation_personality_stability/occupation_centroid_sample_size_curve.csv
research/outputs/nlsy97_occupation_personality_stability/occupation_centroid_shrinkage.csv,text/csv,1225,269913,de56bfb085afbce64bf16c89a8d68550668938ffe208f688de15c96aa954df77,Empirical-Bayes sensitivity estimates,False,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa5-nlsy97-occupation-stability/research/outputs/nlsy97_occupation_personality_stability/occupation_centroid_shrinkage.csv,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/master/research/outputs/nlsy97_occupation_personality_stability/occupation_centroid_shrinkage.csv
research/outputs/nlsy97_occupation_personality_stability/occupation_centroid_split_half_stability.csv,text/csv,245,60987,385487cbede25333e4289c276ea07c31f81f6978ca63cf358ea0d5763918a380,Repeated deterministic split-half metrics,False,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa5-nlsy97-occupation-stability/research/outputs/nlsy97_occupation_personality_stability/occupation_centroid_split_half_stability.csv,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/master/research/outputs/nlsy97_occupation_personality_stability/occupation_centroid_split_half_stability.csv
research/outputs/nlsy97_occupation_personality_stability/occupation_centroid_uncertainty.csv,text/csv,245,154565,01bc6f4a08d84cefa81ec21fb59f25f4483ed68d272e5ac3ad5cee9b95c861f2,Design-respecting bootstrap centroid uncertainty,False,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa5-nlsy97-occupation-stability/research/outputs/nlsy97_occupation_personality_stability/occupation_centroid_uncertainty.csv,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/master/research/outputs/nlsy97_occupation_personality_stability/occupation_centroid_uncertainty.csv
research/outputs/nlsy97_occupation_personality_stability/occupation_granularity_tradeoff.csv,text/csv,151,54232,5f5a7d9749fd27baa3d2234914043c373e1d7e29eea021ca061efd688f2bf181,Narrow-to-intermediate-to-broad reliability/specificity comparison,False,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa5-nlsy97-occupation-stability/research/outputs/nlsy97_occupation_personality_stability/occupation_granularity_tradeoff.csv,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/master/research/outputs/nlsy97_occupation_personality_stability/occupation_granularity_tradeoff.csv
research/outputs/nlsy97_occupation_personality_stability/occupation_personality_discriminability.csv,text/csv,3,1582,4631d0e5f0f317a747e8041b43123e117e392635075fc0d7a5997e40f31b3b02,Fixed cross-validated descriptive occupation classifier,False,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa5-nlsy97-occupation-stability/research/outputs/nlsy97_occupation_personality_stability/occupation_personality_discriminability.csv,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/master/research/outputs/nlsy97_occupation_personality_stability/occupation_personality_discriminability.csv
research/outputs/nlsy97_occupation_personality_stability/occupation_personality_variance_decomposition.csv,text/csv,40,15423,31abd68734d4e5a4cc7267828ff7419a9eb3e75b3bfeab1363241a7aeb1a58fd,Observed and sampling-error-corrected variance decompositions,False,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa5-nlsy97-occupation-stability/research/outputs/nlsy97_occupation_personality_stability/occupation_personality_variance_decomposition.csv,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/master/research/outputs/nlsy97_occupation_personality_stability/occupation_personality_variance_decomposition.csv
research/outputs/nlsy97_occupation_personality_stability/occupation_round6_round12_replication.csv,text/csv,116,39632,32a300a3aac86944e4350f6e120fed030ef152d980b2f9777a841f4c3115e5e0,Population-cell and stable-respondent A/C recurrence checks,False,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa5-nlsy97-occupation-stability/research/outputs/nlsy97_occupation_personality_stability/occupation_round6_round12_replication.csv,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/master/research/outputs/nlsy97_occupation_personality_stability/occupation_round6_round12_replication.csv
research/outputs/nlsy97_occupation_personality_stability/source_manifest.json,application/json,,4133,11b19b7afa17386c24244ff3a3472ddfe76409cdf3b0aecf0ecf1c46d8480465,"Input, source, software, randomness, and scientific-boundary manifest",False,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa5-nlsy97-occupation-stability/research/outputs/nlsy97_occupation_personality_stability/source_manifest.json,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/master/research/outputs/nlsy97_occupation_personality_stability/source_manifest.json
