source_narrow_occupation_code,source_narrow_occupation_title,source_narrow_analytic_n,source_narrow_feasibility_tier,future_comparison_level,future_comparison_occupation_code,future_comparison_occupation_title,future_comparison_analytic_n,human_stability_tier,matching_model_role_name,existing_match_quality,existing_translation_quality,semantic_cost_flag,semantic_cost_note,boundary
1210,Mathematicians,<10_or_zero,SUPPRESSED_OR_EMPTY,broad,15-0000,Computer and Mathematical Occupations,121,STRONG CENTROID,mathematician,exact,official_crosswalk_stable_code_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
1230,Statisticians,<10_or_zero,SUPPRESSED_OR_EMPTY,broad,15-0000,Computer and Mathematical Occupations,121,STRONG CENTROID,statistician,exact,official_crosswalk_stable_code_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
1300,"Architects, except naval",<10_or_zero,SUPPRESSED_OR_EMPTY,broad,17-0000,Architecture and Engineering Occupations,98,MODERATE / EXPLORATORY,architect,exact,older_frame_aggregate_or_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
1310,"Surveyors, cartographers, and photogrammetrists",<10_or_zero,SUPPRESSED_OR_EMPTY,broad,17-0000,Architecture and Engineering Occupations,98,MODERATE / EXPLORATORY,cartographer,exact,older_frame_aggregate_or_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
1860,Miscellaneous social scientists and related workers,<10_or_zero,SUPPRESSED_OR_EMPTY,broad,19-0000,"Life, Physical, and Social Science Occupations",55,MODERATE / EXPLORATORY,anthropologist,exact,older_frame_aggregate_or_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
1860,Miscellaneous social scientists and related workers,<10_or_zero,SUPPRESSED_OR_EMPTY,broad,19-0000,"Life, Physical, and Social Science Occupations",55,MODERATE / EXPLORATORY,archaeologist,exact,older_frame_aggregate_or_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
1610,Biological scientists,<10_or_zero,SUPPRESSED_OR_EMPTY,broad,19-0000,"Life, Physical, and Social Science Occupations",55,MODERATE / EXPLORATORY,biologist,close,exact_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
1720,Chemists and materials scientists,<10_or_zero,SUPPRESSED_OR_EMPTY,broad,19-0000,"Life, Physical, and Social Science Occupations",55,MODERATE / EXPLORATORY,chemist,exact,older_frame_aggregate_or_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
1800,Economists,<10_or_zero,SUPPRESSED_OR_EMPTY,broad,19-0000,"Life, Physical, and Social Science Occupations",55,MODERATE / EXPLORATORY,economist,exact,official_crosswalk_stable_code_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
1860,Miscellaneous social scientists and related workers,<10_or_zero,SUPPRESSED_OR_EMPTY,broad,19-0000,"Life, Physical, and Social Science Occupations",55,MODERATE / EXPLORATORY,geographer,exact,older_frame_aggregate_or_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
1860,Miscellaneous social scientists and related workers,<10_or_zero,SUPPRESSED_OR_EMPTY,broad,19-0000,"Life, Physical, and Social Science Occupations",55,MODERATE / EXPLORATORY,historian,exact,older_frame_aggregate_or_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
1860,Miscellaneous social scientists and related workers,<10_or_zero,SUPPRESSED_OR_EMPTY,broad,19-0000,"Life, Physical, and Social Science Occupations",55,MODERATE / EXPLORATORY,linguist,close,older_frame_aggregate_or_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
1810,Market and survey researchers,10,BROAD-FAMILY ONLY,broad,19-0000,"Life, Physical, and Social Science Occupations",55,MODERATE / EXPLORATORY,marketer,close,older_frame_aggregate_or_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
1640,Conservation scientists and foresters,<10_or_zero,SUPPRESSED_OR_EMPTY,broad,19-0000,"Life, Physical, and Social Science Occupations",55,MODERATE / EXPLORATORY,naturalist,close,older_frame_aggregate_or_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
1700,Astronomers and physicists,<10_or_zero,SUPPRESSED_OR_EMPTY,broad,19-0000,"Life, Physical, and Social Science Occupations",55,MODERATE / EXPLORATORY,physicist,exact,older_frame_aggregate_or_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
1840,Urban and regional planners,<10_or_zero,SUPPRESSED_OR_EMPTY,broad,19-0000,"Life, Physical, and Social Science Occupations",55,MODERATE / EXPLORATORY,planner,close,official_crosswalk_stable_code_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
1820,Psychologists,<10_or_zero,SUPPRESSED_OR_EMPTY,broad,19-0000,"Life, Physical, and Social Science Occupations",55,MODERATE / EXPLORATORY,psychologist,broad,older_frame_aggregate_or_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
1860,Miscellaneous social scientists and related workers,<10_or_zero,SUPPRESSED_OR_EMPTY,broad,19-0000,"Life, Physical, and Social Science Occupations",55,MODERATE / EXPLORATORY,researcher,broad,older_frame_aggregate_or_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
