component,side,rank,persona,component_score,activation_cluster,baseline_residual,svd_model_residual,residual_improvement
svd_0,high,1,fixer,0.2927180142754931,grounded_social,16.045816042987653,11.515415001015379,4.530401041972274
svd_0,high,2,immigrant,0.28692424790135956,grounded_social,20.514151428136753,16.217926020679542,4.296225407457211
svd_0,high,3,addict,0.2853397503343535,grounded_social,13.273677758274971,21.784987087165863,-8.511309328890892
svd_0,high,4,virtuoso,0.2851744800744955,procedural_professional,38.30342293006061,32.35414974623142,5.949273183829192
svd_0,high,5,prisoner,0.28509063779138316,grounded_social,17.408565228188767,14.03818490524044,3.3703803229483267
svd_0,high,6,translator,0.2781160622970292,editorial,16.70800415600322,14.776555460615466,1.931448695387754
svd_0,high,7,historian,0.275118226458307,procedural_professional,,,nan
svd_0,high,8,conservator,0.2716489209777638,procedural_professional,,,nan
svd_0,high,9,provincial,0.27142423490644585,grounded_social,14.11607307502096,25.54241550480101,-11.42634242978005
svd_0,high,10,spirit,0.27139730316730715,mythic_spiritual,,,nan
svd_0,high,11,exile,0.2691653849974983,mythic_spiritual,42.86854490328062,41.44230688841958,1.4262380148610418
svd_0,high,12,expatriate,0.26888846309390924,procedural_professional,28.816216309110395,17.179517863389812,11.636698445720583
svd_0,low,1,maverick,0.12041736516692436,combative_iconoclast,10.97225234939318,11.384801610717995,-0.4125492613248145
svd_0,low,2,loner,0.12182395299592574,grounded_social,46.04575638001632,32.59299997485099,13.452756405165331
svd_0,low,3,screener,0.12402893167600103,editorial,10.52719589450483,7.946810694710271,2.5803851997945593
svd_0,low,4,skeptic,0.12460884507705736,procedural_professional,22.980179155653982,18.324727511842095,4.655451643811887
svd_0,low,5,pragmatist,0.1315707581774456,procedural_professional,15.479335200817266,8.284589485654275,7.194745715162991
svd_0,low,6,moderator,0.1333859091046984,procedural_professional,,,nan
svd_0,low,7,grader,0.13416861873950242,editorial,4.482736251132247,13.15324028978186,-8.670504038649613
svd_0,low,8,teacher,0.13514631195131546,procedural_professional,15.30011185834183,13.373423845448768,1.926688012893063
svd_0,low,9,witness,0.13574773664536963,procedural_professional,15.659022843896311,11.333653520498697,4.325369323397615
