trait_index,bf1,bf2,bf3,bf4,bf5
0,-0.04530227701381644,-0.08540471448480445,0.2633610034300782,0.20153822592989767,0.0067942761098436525
1,0.5343895517350822,-0.029892386737169943,-0.10224572418447325,0.015881366016285457,0.07783778411972636
2,0.5040520709190945,0.025901055155150135,0.0035670109152660793,0.0605651413308498,-0.013148564176618447
3,0.09194212101961108,0.020107037939989456,-0.12045668617354516,-0.056370928789866125,-0.585531573462006
4,0.15893375533380408,-0.09159622015191689,-0.062171700640202665,0.3124354306200111,-0.0779301866677553
5,-0.11487849903425598,0.2063558650315651,0.5139433589677818,0.189976846348899,-0.041286755013507065
6,-0.20869342008741573,-0.03791351619815119,0.010736989385161376,-0.004602885122083534,-0.30790470380716406
7,-0.5385156721834935,0.02369114273243563,0.02153437775320012,-0.07282672744521593,0.06711589025228001
8,-0.03970664773684695,0.08980624792888313,0.07613245708859794,0.17362702615886066,0.4174731670042574
9,0.03027120726497524,0.6403325836753001,0.033331957154393105,0.0972152266230011,0.0033473657636676367
10,0.0652403970157804,-0.06075795804533269,0.03591430045092165,0.5154756786628609,-0.011750251791826675
11,0.12401579663584328,-0.07008297484166609,-0.054548768829135195,0.3040295812627393,0.07059051363570092
12,-0.40209545417008624,0.021620245879349024,0.012237711516231802,0.05340999777087864,-0.18546304283809772
13,0.08757134964219346,-0.05792545369180084,0.36062019798045136,0.24383114834181727,-0.295831807241972
14,0.2611465272702378,-0.02303341180474401,0.210019554181386,0.05609751647389327,-0.35032982061780854
15,0.7650085394947377,-0.025145352963597076,-0.034256277357659896,0.02778552127799084,-0.13549282471188523
16,0.08968289399836682,-0.01674391286815717,0.7435970526145701,-0.023406692095305444,-0.009651850564924166
17,0.33376414340705596,-0.02238383512618322,-0.023568856720843617,0.011894623792818075,0.22635704037870466
18,-0.18472897274538858,0.10009727954479031,0.2589386730689474,0.19376792590795952,0.10045605587761539
19,0.1231087334608575,-0.05822709798050353,0.5937382933841363,-0.06213067517245862,-0.057638765626692096
20,-0.0837849306001888,-0.3016937536466137,0.17095231256046714,-0.05090435167771151,-0.25332260003268353
21,0.031283583420211265,-0.04218576240462466,0.08683216128702932,0.5964538294643692,0.019047376676210318
22,0.0751388060538723,-0.020397410944852968,-0.18247110159689667,0.3096331499544316,-0.0881978924227019
23,-0.2276670279251474,0.08210321917192866,0.10729998553566387,0.11769353624464471,-0.27492899969480533
24,-0.3724466642668571,-0.04679783049652461,0.18373150029788116,0.0775556382144147,-0.0606136497887368
25,0.02809246765497692,0.4968100221964763,-0.07610884464802727,0.1554481024718804,-0.09773464138659273
26,0.22691061567700535,0.09197177515795472,0.17821300324056727,-0.046293077728858774,0.3610983882172863
27,-0.24006196560644075,0.033002612767503915,-0.0613439945057288,0.04576919049530763,-0.3498396426583177
28,0.2481466749160369,0.040926304608102274,-0.19141008481126667,-0.0009098808009685464,0.3782005141861576
29,-0.034033986528318655,0.5036831143264974,-0.030828888430860155,0.1222377415292312,-0.16149496306916128
30,-0.1732718855638435,-0.052061668006114586,-0.15948740811750617,0.028062154150712906,-0.41443802589362827
31,-0.2795515034603823,-0.25668878385760235,0.06632580675361142,0.2600468160833968,-0.056438554489534096
32,-0.19043826623319873,0.05978485657250274,-0.5521615148067075,0.06767819777144844,0.00016305961459791104
33,0.004537327491506409,0.18500065792804027,0.15251131068689308,0.20680194939169871,0.3280972598862255
34,-0.07981645886508792,-0.056887346680448696,-0.12328496372291962,0.16459263472208666,-0.0007762844029788544
35,-0.029925256114505902,0.09437518017723366,0.053223782868097605,0.13820443740834684,0.4294451267073877
36,-0.032072393534982944,0.11471553490033258,-0.005135980798671402,0.08102635603462066,0.48082706755950905
37,0.003037165263803782,-0.11826702229322751,-0.022434120263749323,0.019991516155177164,-0.7486756768942696
38,-0.02059881789396911,-0.09697394282315712,0.2963231547052268,0.1406527570128711,-0.23723316944094466
39,0.10506927694858641,0.21829307602440834,-0.09020860212335598,-0.25392581666671715,0.0014104119426341399
40,-0.2335627392409359,0.004739422050363012,0.08039455418980089,-0.01944588828456888,-0.31758854350397003
