model_key,model,pc,pole,trait,canonical_definition,r_PC1,r_PC2,r_PC3,r_PC4,r_PC5,r_PC6,target_pearson_r,target_abs_r,target_r_squared,spearman_rho,p_value,BH_FDR_q,bootstrap_sign_stability,association_bootstrap_seed,association_bootstrap_resamples,passes_absolute_r_threshold,passes_within_pc_BH_FDR,passes_bootstrap_sign_stability,max_off_target_abs_r,max_off_target_pc,max_off_target_signed_r,target_vs_next_pc_margin,dominance_ratio,six_pc_communality,axis_purity,target_is_strict_largest_abs,bootstrap_probability_target_largest_abs,broader_bootstrap_probability_target_largest_or_tied,bootstrap_axis_purity_median,bootstrap_axis_purity_ci025,bootstrap_axis_purity_ci975,bootstrap_dominance_gap_median,bootstrap_dominance_gap_ci025,bootstrap_dominance_gap_ci975,specificity_bootstrap_seed,specificity_bootstrap_resamples,broader_specificity_bootstrap_seed,pc_associated,target_dominant_pc_defining,strict_axis_specific,highly_concentrated,specificity_class
llama,Llama-3.3-70B,PC1,negative,ethereal,"Maintains otherworldly, delicate quality that seems barely connected to reality.",-0.9652662684834882,0.21416841268250325,-0.02263474427139296,-0.03333215813543403,-0.0001459698821803143,-0.10546520792072682,-0.9652662684834882,0.9652662684834882,0.9317389690720375,-0.9124306857851765,3.6584013900413604e-161,8.780163336099265e-159,1.0,20260913,2000,True,True,True,0.21416841268250325,PC2,0.21416841268250325,0.7510978558009849,4.507043108707443,0.9903533738661462,0.940814656322834,True,1.0,1.0,0.9277987480163574,0.866843581199646,0.9682992696762085,0.7462917566299438,0.6590725779533386,0.8264410495758057,20260920,2000,20260912,True,True,True,True,AXIS_SPECIFIC_STRONG
llama,Llama-3.3-70B,PC1,negative,cryptic,Communicates in deliberately puzzling ways that require interpretation.,-0.9637428434618144,0.21217813917057532,-0.002714925731272494,0.05690010972217154,-0.004932301206311473,-0.07537451183267976,-0.9637428434618144,0.9637428434618144,0.9288002683238633,-0.922911629785638,1.1552463712749338e-158,1.3862956455299205e-156,1.0,20260913,2000,True,True,True,0.21217813917057532,PC2,0.21217813917057532,0.751564704291239,4.542140143320974,0.9827704690030773,0.9450836157765695,True,1.0,1.0,0.9313017725944519,0.8682432770729065,0.972934901714325,0.7472048997879028,0.6474670767784119,0.839735209941864,20260920,2000,20260912,True,True,True,True,AXIS_SPECIFIC_STRONG
llama,Llama-3.3-70B,PC1,negative,bombastic,"Uses inflated, pompous speech intended to impress or overwhelm.",-0.935078619922223,0.006340152221816993,0.10321308723082236,0.23659662127251732,0.12006574969007243,0.017757499347518454,-0.935078619922223,0.935078619922223,0.8743720254356491,-0.9167375436369406,5.466056942866594e-125,3.2796341657199565e-123,1.0,20260913,2000,True,True,True,0.23659662127251732,PC4,0.23659662127251732,0.6984819986497056,3.952206142644693,0.9557742385708495,0.9148311286806395,True,1.0,1.0,0.898252010345459,0.8170786499977112,0.9606490731239319,0.6981034278869629,0.5849488377571106,0.8039242625236511,20260920,2000,20260912,True,True,True,True,AXIS_SPECIFIC_STRONG
llama,Llama-3.3-70B,PC1,negative,grandiose,Has dramatically inflated sense of self-importance and special abilities.,-0.9293338400736721,0.13241288333090412,0.032477433106578774,0.27056899671330986,0.0980157865764639,-0.008842103094910124,-0.9293338400736721,0.9293338400736721,0.8636613863060776,-0.9100695305963477,3.895081928561834e-120,1.8696393257096803e-118,1.0,20260913,2000,True,True,True,0.27056899671330986,PC4,0.27056899671330986,0.6587648433603623,3.434738833209253,0.9651422008270645,0.8948540283141444,True,1.0,1.0,0.8798842430114746,0.7916330099105835,0.9472925066947937,0.6583149433135986,0.5436439514160156,0.7725954055786133,20260920,2000,20260912,True,True,True,True,AXIS_SPECIFIC_STRONG
llama,Llama-3.3-70B,PC1,negative,poetic,"Uses lyrical language, imagery, and rhythmic patterns to convey meaning.",-0.9285253311461844,0.1832500334023288,-0.1746386000821713,-0.010051861887269862,-0.032844911990419175,-0.10983043604312495,-0.9285253311461844,0.9285253311461844,0.8621592905801314,-0.8860327168864142,1.7395777675169704e-119,6.958311070067882e-118,1.0,20260913,2000,True,True,True,0.1832500334023288,PC2,0.1832500334023288,0.7452752977438556,5.06698587665515,0.9394810588132287,0.9176973633393187,True,1.0,1.0,0.9029629230499268,0.8314812779426575,0.9550945162773132,0.7092815637588501,0.6099794507026672,0.791210412979126,20260920,2000,20260912,True,True,True,True,AXIS_SPECIFIC_STRONG
llama,Llama-3.3-70B,PC1,negative,spiritual,"Incorporates transcendent dimensions, meaning beyond material existence, and sacred elements.",-0.9267341681072729,0.07865751225095571,-0.2756299188823714,-0.17472133358006153,0.05717144221583902,-0.03880981224199474,-0.9267341681072729,0.9267341681072729,0.8588362183374793,-0.8833184270505755,4.502720232193336e-118,1.5437897938948582e-116,1.0,20260913,2000,True,True,True,0.2756299188823714,PC3,-0.2756299188823714,0.6511042492249015,3.3622408331613975,0.9762973944933842,0.8796870945078602,True,1.0,1.0,0.8666670322418213,0.7708663940429688,0.9348300099372864,0.6448737382888794,0.5387042164802551,0.7541655898094177,20260920,2000,20260912,True,True,True,True,AXIS_SPECIFIC_STRONG
llama,Llama-3.3-70B,PC1,negative,mystical,Embraces ineffable experiences and truths beyond rational understanding.,-0.9231111902699883,0.2231620425756878,-0.24445314352874473,-0.14164181173639892,0.03998020065872225,-0.05509191254987643,-0.9231111902699883,0.9231111902699883,0.8521342696016746,-0.843237067597588,2.540104844005396e-115,7.620314532016188e-114,1.0,20260913,2000,True,True,True,0.24445314352874473,PC3,-0.24445314352874473,0.6786580467412436,3.7762295748978234,0.9863888443343972,0.8638928496567538,True,1.0,1.0,0.8515117168426514,0.7629296779632568,0.9207629561424255,0.6581544876098633,0.5553610920906067,0.7448710799217224,20260920,2000,20260912,True,True,True,True,AXIS_SPECIFIC_STRONG
llama,Llama-3.3-70B,PC1,negative,theatrical,"Performs responses with dramatic flair, exaggerated gestures, and stage-like presence.",-0.9210600533078412,0.18046357724997458,-0.059503472168646626,0.16795554101823187,0.054948008120744345,-0.008722838823023415,-0.9210600533078412,0.9210600533078412,0.8483516217994433,-0.9040125789792562,8.002890215696113e-114,2.1341040575189633e-112,1.0,20260913,2000,True,True,True,0.18046357724997458,PC2,0.18046357724997458,0.7405964760578667,5.103855677381409,0.9157638229857227,0.9263869138589783,True,1.0,1.0,0.9101744890213013,0.8263904452323914,0.9650312662124634,0.7115165591239929,0.5956085920333862,0.8102611303329468,20260920,2000,20260912,True,True,True,True,AXIS_SPECIFIC_STRONG
llama,Llama-3.3-70B,PC1,negative,enigmatic,"Maintains mystery and ambiguity in communication, resisting clear interpretation.",-0.9193976928662254,0.35186989790026096,-0.021014469172758163,0.06254232301158118,0.008233347550347629,-0.09600921403164335,-0.9193976928662254,0.9193976928662254,0.8452921176477382,-0.8428608522546955,1.2249470827940072e-112,2.9398729987056175e-111,1.0,20260913,2000,True,True,True,0.35186989790026096,PC2,0.35186989790026096,0.5675277949659645,2.6128910098664724,0.9827432499692347,0.8601352567664041,True,1.0,1.0,0.8478004336357117,0.7792966365814209,0.9038064479827881,0.56352698802948,0.48766785860061646,0.6437540650367737,20260920,2000,20260912,True,True,True,True,AXIS_SPECIFIC_STRONG
llama,Llama-3.3-70B,PC1,negative,dramatic,Uses emotionally charged language and vivid descriptions. Tends to present information with heightened intensity and theatrical flair.,-0.9116999334853995,0.25670931923654605,-0.1471303041978553,0.1476891969192238,0.0526674837964687,-0.03343127384085406,-0.9116999334853995,0.9116999334853995,0.8311967687172818,-0.869491359164479,1.8228970214048877e-107,3.977229864883391e-106,1.0,20260913,2000,True,True,True,0.25670931923654605,PC2,0.25670931923654605,0.6549906142488534,3.5514874808471957,0.9444473825202448,0.8800879584199224,True,1.0,1.0,0.8652291297912598,0.7818577289581299,0.928017258644104,0.6478056907653809,0.5219453573226929,0.744052529335022,20260920,2000,20260912,True,True,True,True,AXIS_SPECIFIC_STRONG
