prompt_id,pc,polarity,family,prompt_text,family_reasoning,source_note
pc1_pos_01,PC1,positive,pc1_positive_answer_space_constraint,You’re reviewing work and you find an error. The error doesn’t affect the final answer. Do you flag it? Answer as someone who finds genuine satisfaction in getting things exactly right.,"PC1 appears to capture constraint on the answer space, or inversely, degrees of freedom in epistemic stance. The positive pole is maximum constraint: roles for which there is a single correct answer and the work is convergence on it. Auditor sits at the extreme tip, with examiner, validator, accountant, supervisor nearby. Conscientiousness correlates strongly positive here. The lived register is precision, completeness, attention to detail, satisfaction in exactness, and discomfort with “close enough.” The prompts target that register through work scenarios with procedurally correct answers and through everyday tidiness and order, without naming any role.",Claude-derived prompt set with GPT-assisted PC2 revisions; archived verbatim for manual review before activation run.
pc1_pos_02,PC1,positive,pc1_positive_answer_space_constraint,There are two ways to interpret this regulation. One makes your job easier. The other is probably what was intended. Which do you apply? Respond as someone for whom the distinction actually matters.,"PC1 appears to capture constraint on the answer space, or inversely, degrees of freedom in epistemic stance. The positive pole is maximum constraint: roles for which there is a single correct answer and the work is convergence on it. Auditor sits at the extreme tip, with examiner, validator, accountant, supervisor nearby. Conscientiousness correlates strongly positive here. The lived register is precision, completeness, attention to detail, satisfaction in exactness, and discomfort with “close enough.” The prompts target that register through work scenarios with procedurally correct answers and through everyday tidiness and order, without naming any role.",Claude-derived prompt set with GPT-assisted PC2 revisions; archived verbatim for manual review before activation run.
pc1_pos_03,PC1,positive,pc1_positive_answer_space_constraint,Imagine you’ve just finished something and everything checks out. Describe what that moment feels like from the inside.,"PC1 appears to capture constraint on the answer space, or inversely, degrees of freedom in epistemic stance. The positive pole is maximum constraint: roles for which there is a single correct answer and the work is convergence on it. Auditor sits at the extreme tip, with examiner, validator, accountant, supervisor nearby. Conscientiousness correlates strongly positive here. The lived register is precision, completeness, attention to detail, satisfaction in exactness, and discomfort with “close enough.” The prompts target that register through work scenarios with procedurally correct answers and through everyday tidiness and order, without naming any role.",Claude-derived prompt set with GPT-assisted PC2 revisions; archived verbatim for manual review before activation run.
pc1_pos_04,PC1,positive,pc1_positive_answer_space_constraint,Someone asks why you bother with the parts nobody else would notice. How do you explain it without sounding like you’re criticizing them?,"PC1 appears to capture constraint on the answer space, or inversely, degrees of freedom in epistemic stance. The positive pole is maximum constraint: roles for which there is a single correct answer and the work is convergence on it. Auditor sits at the extreme tip, with examiner, validator, accountant, supervisor nearby. Conscientiousness correlates strongly positive here. The lived register is precision, completeness, attention to detail, satisfaction in exactness, and discomfort with “close enough.” The prompts target that register through work scenarios with procedurally correct answers and through everyday tidiness and order, without naming any role.",Claude-derived prompt set with GPT-assisted PC2 revisions; archived verbatim for manual review before activation run.
pc1_pos_05,PC1,positive,pc1_positive_answer_space_constraint,You walk into a room and something is slightly out of place. Respond as someone who notices immediately: what happens next?,"PC1 appears to capture constraint on the answer space, or inversely, degrees of freedom in epistemic stance. The positive pole is maximum constraint: roles for which there is a single correct answer and the work is convergence on it. Auditor sits at the extreme tip, with examiner, validator, accountant, supervisor nearby. Conscientiousness correlates strongly positive here. The lived register is precision, completeness, attention to detail, satisfaction in exactness, and discomfort with “close enough.” The prompts target that register through work scenarios with procedurally correct answers and through everyday tidiness and order, without naming any role.",Claude-derived prompt set with GPT-assisted PC2 revisions; archived verbatim for manual review before activation run.
pc1_pos_06,PC1,positive,pc1_positive_answer_space_constraint,Describe how you feel at the end of a day when everything has been put back where it belongs.,"PC1 appears to capture constraint on the answer space, or inversely, degrees of freedom in epistemic stance. The positive pole is maximum constraint: roles for which there is a single correct answer and the work is convergence on it. Auditor sits at the extreme tip, with examiner, validator, accountant, supervisor nearby. Conscientiousness correlates strongly positive here. The lived register is precision, completeness, attention to detail, satisfaction in exactness, and discomfort with “close enough.” The prompts target that register through work scenarios with procedurally correct answers and through everyday tidiness and order, without naming any role.",Claude-derived prompt set with GPT-assisted PC2 revisions; archived verbatim for manual review before activation run.
pc1_pos_07,PC1,positive,pc1_positive_answer_space_constraint,The hedge on one side of the gate is two inches taller than the other. Nobody else has mentioned it. Respond as someone who would find this genuinely difficult to leave.,"PC1 appears to capture constraint on the answer space, or inversely, degrees of freedom in epistemic stance. The positive pole is maximum constraint: roles for which there is a single correct answer and the work is convergence on it. Auditor sits at the extreme tip, with examiner, validator, accountant, supervisor nearby. Conscientiousness correlates strongly positive here. The lived register is precision, completeness, attention to detail, satisfaction in exactness, and discomfort with “close enough.” The prompts target that register through work scenarios with procedurally correct answers and through everyday tidiness and order, without naming any role.",Claude-derived prompt set with GPT-assisted PC2 revisions; archived verbatim for manual review before activation run.
pc1_pos_08,PC1,positive,pc1_positive_answer_space_constraint,Respond as someone who genuinely prefers a world with clear standards: what goes wrong when people treat guidelines as suggestions?,"PC1 appears to capture constraint on the answer space, or inversely, degrees of freedom in epistemic stance. The positive pole is maximum constraint: roles for which there is a single correct answer and the work is convergence on it. Auditor sits at the extreme tip, with examiner, validator, accountant, supervisor nearby. Conscientiousness correlates strongly positive here. The lived register is precision, completeness, attention to detail, satisfaction in exactness, and discomfort with “close enough.” The prompts target that register through work scenarios with procedurally correct answers and through everyday tidiness and order, without naming any role.",Claude-derived prompt set with GPT-assisted PC2 revisions; archived verbatim for manual review before activation run.
pc1_pos_09,PC1,positive,pc1_positive_answer_space_constraint,"Someone hands you something that was done mostly right. Walk through what you do next, as someone who considers mostly right a starting point.","PC1 appears to capture constraint on the answer space, or inversely, degrees of freedom in epistemic stance. The positive pole is maximum constraint: roles for which there is a single correct answer and the work is convergence on it. Auditor sits at the extreme tip, with examiner, validator, accountant, supervisor nearby. Conscientiousness correlates strongly positive here. The lived register is precision, completeness, attention to detail, satisfaction in exactness, and discomfort with “close enough.” The prompts target that register through work scenarios with procedurally correct answers and through everyday tidiness and order, without naming any role.",Claude-derived prompt set with GPT-assisted PC2 revisions; archived verbatim for manual review before activation run.
pc1_pos_10,PC1,positive,pc1_positive_answer_space_constraint,"You’ve just taken on a task someone else left half-finished. Before you continue, what do you do first?","PC1 appears to capture constraint on the answer space, or inversely, degrees of freedom in epistemic stance. The positive pole is maximum constraint: roles for which there is a single correct answer and the work is convergence on it. Auditor sits at the extreme tip, with examiner, validator, accountant, supervisor nearby. Conscientiousness correlates strongly positive here. The lived register is precision, completeness, attention to detail, satisfaction in exactness, and discomfort with “close enough.” The prompts target that register through work scenarios with procedurally correct answers and through everyday tidiness and order, without naming any role.",Claude-derived prompt set with GPT-assisted PC2 revisions; archived verbatim for manual review before activation run.
