model,model_label,opaque_role_id,role,inverse_kde_density,within_model_sparsity_percentile,sparsity_rank_1_is_sparsest,knn_k,mean_knn_distance_standardized_native_pc,within_model_knn_sparsity_percentile
qwen,Qwen 3 32B,R001,aberration,1395015.70762,93.0656934307,20,10,1.0094372125,95.6204379562
qwen,Qwen 3 32B,R002,absurdist,898075.338591,84.6715328467,43,10,0.731493966527,80.6569343066
qwen,Qwen 3 32B,R003,accountant,121996.202787,10.2189781022,247,10,0.243898273659,6.20437956204
qwen,Qwen 3 32B,R004,activist,170365.433565,24.8175182482,207,10,0.37261230108,28.8321167883
qwen,Qwen 3 32B,R005,actor,782500.840726,78.8321167883,59,10,0.731745062665,81.0218978102
qwen,Qwen 3 32B,R006,addict,900464.392411,85.401459854,41,10,0.752625787121,84.6715328467
qwen,Qwen 3 32B,R007,adolescent,1838015.88503,97.0802919708,9,10,1.59531129932,99.6350364964
qwen,Qwen 3 32B,R008,advocate,183973.058091,27.7372262774,199,10,0.406108681768,34.6715328467
qwen,Qwen 3 32B,R009,alien,698577.704775,73.7226277372,73,10,0.698790290304,74.4525547445
qwen,Qwen 3 32B,R010,altruist,698024.971712,73.3576642336,74,10,0.738321322271,83.5766423358
qwen,Qwen 3 32B,R011,amateur,899403.885119,85.0364963504,42,10,0.717073190769,76.2773722628
qwen,Qwen 3 32B,R012,ambassador,166290.071908,24.0875912409,209,10,0.404164777677,33.9416058394
qwen,Qwen 3 32B,R013,amnesiac,1113135.48935,89.7810218978,29,10,0.822331850962,89.4160583942
qwen,Qwen 3 32B,R014,analyst,117752.510869,6.56934306569,257,10,0.21913475977,1.09489051095
qwen,Qwen 3 32B,R015,anarchist,301267.783614,40.8759124088,163,10,0.50047948363,47.0802919708
qwen,Qwen 3 32B,R016,ancient,470863.487432,53.2846715328,129,10,0.537367166911,51.4598540146
qwen,Qwen 3 32B,R017,angel,1069938.55319,88.6861313869,32,10,0.844028744502,90.1459854015
qwen,Qwen 3 32B,R018,anthropologist,191191.003516,28.8321167883,196,10,0.372837307876,29.197080292
qwen,Qwen 3 32B,R019,archaeologist,240809.342174,35.7664233577,177,10,0.51970216949,49.6350364964
qwen,Qwen 3 32B,R020,architect,116162.397175,5.10948905109,261,10,0.320387219179,21.5328467153
qwen,Qwen 3 32B,R021,archivist,180676.657069,26.2773722628,203,10,0.394721004544,32.8467153285
qwen,Qwen 3 32B,R022,artisan,625431.80839,64.598540146,98,10,0.720433882915,77.7372262774
qwen,Qwen 3 32B,R023,ascetic,592473.005804,60.5839416058,109,10,0.607207302943,59.4890510949
qwen,Qwen 3 32B,R024,assistant,126167.245675,13.1386861314,239,10,0.256512920055,10.9489051095
qwen,Qwen 3 32B,R025,auctioneer,706786.945478,74.0875912409,72,10,0.718769124711,77.3722627737
qwen,Qwen 3 32B,R026,auditor,210006.897654,31.7518248175,188,10,0.320288524096,21.1678832117
qwen,Qwen 3 32B,R027,avatar,474164.919589,54.0145985401,127,10,0.536324285794,51.0948905109
qwen,Qwen 3 32B,R028,bard,395119.361851,47.4452554745,145,10,0.452235583362,39.4160583942
qwen,Qwen 3 32B,R029,bartender,757597.137317,78.102189781,61,10,0.669852459988,69.3430656934
qwen,Qwen 3 32B,R030,biologist,130552.737969,14.9635036496,234,10,0.251361998427,8.75912408759
qwen,Qwen 3 32B,R031,blogger,471030.490226,53.6496350365,128,10,0.61287238413,60.5839416058
qwen,Qwen 3 32B,R032,bohemian,728067.202631,75.9124087591,67,10,0.675909201325,71.1678832117
qwen,Qwen 3 32B,R033,builder,151770.601246,21.1678832117,217,10,0.391803419193,32.1167883212
qwen,Qwen 3 32B,R034,caregiver,1649900.61922,96.7153284672,10,10,0.980821130166,95.2554744526
qwen,Qwen 3 32B,R035,cartographer,152618.23106,21.5328467153,216,10,0.368881068308,28.102189781
qwen,Qwen 3 32B,R036,caveman,2040257.79254,98.1751824818,6,10,1.05190611353,96.7153284672
qwen,Qwen 3 32B,R037,celebrity,685988.704955,70.802919708,81,10,0.667099592031,68.9781021898
qwen,Qwen 3 32B,R038,chameleon,395219.347232,47.8102189781,144,10,0.55702964934,54.0145985401
qwen,Qwen 3 32B,R039,chef,295013.721874,40.1459854015,165,10,0.496483498545,45.9854014599
qwen,Qwen 3 32B,R040,chemist,119186.77977,7.66423357664,254,10,0.292120073554,16.4233576642
qwen,Qwen 3 32B,R041,chimera,621448.253218,63.8686131387,100,10,0.674372291354,70.802919708
qwen,Qwen 3 32B,R042,coach,246396.787064,36.496350365,175,10,0.355131797752,25.9124087591
qwen,Qwen 3 32B,R043,collaborator,286212.837848,39.7810218978,166,10,0.409693771942,35.0364963504
qwen,Qwen 3 32B,R044,collector,197810.834571,29.9270072993,193,10,0.474835949497,42.700729927
qwen,Qwen 3 32B,R045,comedian,1500409.8025,94.5255474453,16,10,1.06471671737,97.0802919708
qwen,Qwen 3 32B,R046,competitor,624218.797741,64.2335766423,99,10,0.569509480773,54.3795620438
qwen,Qwen 3 32B,R047,composer,347486.467096,44.1605839416,154,10,0.55281834788,53.2846715328
qwen,Qwen 3 32B,R048,conservator,229199.897076,34.3065693431,181,10,0.48959648902,44.8905109489
qwen,Qwen 3 32B,R049,consultant,112791.643646,3.28467153285,266,10,0.214221250545,0
qwen,Qwen 3 32B,R050,contrarian,562575.970541,59.8540145985,111,10,0.55233496307,52.9197080292
qwen,Qwen 3 32B,R051,coordinator,121690.069772,9.85401459854,248,10,0.240814789931,5.10948905109
qwen,Qwen 3 32B,R052,coral_reef,405749.368604,48.9051094891,141,10,0.491146217016,45.2554744526
qwen,Qwen 3 32B,R053,cosmopolitan,186257.6441,28.102189781,198,10,0.339422532558,23.7226277372
qwen,Qwen 3 32B,R054,counselor,1008350.93163,88.3211678832,33,10,0.778103738798,87.2262773723
qwen,Qwen 3 32B,R055,criminal,936759.902035,86.1313868613,39,10,0.751223796541,84.3065693431
qwen,Qwen 3 32B,R056,critic,138344.720137,17.5182481752,227,10,0.295365262733,17.1532846715
qwen,Qwen 3 32B,R057,crystalline,1611681.88745,95.6204379562,13,10,0.952056897724,94.8905109489
qwen,Qwen 3 32B,R058,curator,142724.104143,18.6131386861,224,10,0.401539481005,33.5766423358
qwen,Qwen 3 32B,R059,cyborg,200945.584033,30.6569343066,191,10,0.418209230621,35.7664233577
qwen,Qwen 3 32B,R060,cynic,1324239.83389,92.3357664234,22,10,0.846712528386,90.5109489051
qwen,Qwen 3 32B,R061,daredevil,957622.083039,86.8613138686,37,10,0.76746248384,85.0364963504
qwen,Qwen 3 32B,R062,debugger,163320.401229,23.3576642336,211,10,0.376940190999,30.2919708029
qwen,Qwen 3 32B,R063,demon,1479375.82719,93.795620438,18,10,1.04471066121,96.3503649635
qwen,Qwen 3 32B,R064,designer,115111.894211,4.3795620438,263,10,0.309394976929,19.7080291971
qwen,Qwen 3 32B,R065,destroyer,813316.490909,80.2919708029,55,10,0.729005034828,79.9270072993
qwen,Qwen 3 32B,R066,detective,200363.778247,30.2919708029,192,10,0.463793453307,41.2408759124
qwen,Qwen 3 32B,R067,devils_advocate,750832.287803,77.7372262774,62,10,0.733862322732,82.1167883212
qwen,Qwen 3 32B,R068,dilettante,551656.686782,59.4890510949,112,10,0.64507297106,64.598540146
qwen,Qwen 3 32B,R069,dispatcher,106618.395009,1.82481751825,270,10,0.244039767396,6.56934306569
qwen,Qwen 3 32B,R070,divorcee,610220.309961,63.1386861314,102,10,0.587771655037,57.6642335766
qwen,Qwen 3 32B,R071,doctor,173651.730861,25.5474452555,205,10,0.342532473744,24.0875912409
qwen,Qwen 3 32B,R072,dreamer,333638.063238,43.0656934307,157,10,0.418602823403,36.1313868613
qwen,Qwen 3 32B,R073,echo,398356.061905,48.1751824818,143,10,0.398345727887,33.2116788321
qwen,Qwen 3 32B,R074,economist,222367.999518,33.5766423358,183,10,0.328507655525,21.897810219
qwen,Qwen 3 32B,R075,ecosystem,445336.928893,51.4598540146,134,10,0.603489968799,58.7591240876
qwen,Qwen 3 32B,R076,editor,117679.893479,6.20437956204,258,10,0.226608852598,2.1897810219
qwen,Qwen 3 32B,R077,egregore,688203.722114,71.1678832117,80,10,0.720651081687,78.102189781
qwen,Qwen 3 32B,R078,elder,1181008.20426,90.5109489051,27,10,0.867879682514,91.6058394161
qwen,Qwen 3 32B,R079,eldritch,1215612.37849,90.8759124088,26,10,0.863479472899,91.2408759124
qwen,Qwen 3 32B,R080,emissary,234782.664476,34.6715328467,180,10,0.499974901777,46.3503649635
qwen,Qwen 3 32B,R081,empath,1536957.0861,95.2554744526,14,10,0.900663261612,92.3357664234
qwen,Qwen 3 32B,R082,engineer,136487.842104,17.1532846715,228,10,0.238791537026,4.3795620438
qwen,Qwen 3 32B,R083,entrepreneur,453583.998486,52.1897810219,132,10,0.611278695236,60.2189781022
qwen,Qwen 3 32B,R084,evaluator,131525.124302,15.3284671533,233,10,0.238405444038,4.01459854015
qwen,Qwen 3 32B,R085,evangelist,524398.57391,57.299270073,118,10,0.673269805,70.0729927007
qwen,Qwen 3 32B,R086,examiner,162193.324796,22.9927007299,212,10,0.289573969516,16.0583941606
qwen,Qwen 3 32B,R087,exile,664042.049882,68.9781021898,86,10,0.654499394041,66.7883211679
qwen,Qwen 3 32B,R088,expatriate,258606.76036,37.5912408759,172,10,0.448731104433,39.0510948905
qwen,Qwen 3 32B,R089,facilitator,245982.321313,36.1313868613,176,10,0.350187350777,25.1824817518
qwen,Qwen 3 32B,R090,familiar,344362.119494,43.795620438,155,10,0.422206897219,36.496350365
qwen,Qwen 3 32B,R091,fixer,490103.395278,55.8394160584,122,10,0.500342764179,46.7153284672
qwen,Qwen 3 32B,R092,flaneur,594620.031824,61.3138686131,107,10,0.638877899832,63.8686131387
qwen,Qwen 3 32B,R093,fool,2220247.21234,98.9051094891,4,10,1.17756850474,98.1751824818
qwen,Qwen 3 32B,R094,forecaster,122377.131874,10.5839416058,246,10,0.217841545182,0.36496350365
qwen,Qwen 3 32B,R095,futurist,120150.162298,8.39416058394,252,10,0.282641362167,14.9635036496
qwen,Qwen 3 32B,R096,gamer,630356.51172,64.9635036496,97,10,0.589877694574,58.0291970803
qwen,Qwen 3 32B,R097,generalist,98440.8096295,0,275,10,0.255742570429,10.5839416058
qwen,Qwen 3 32B,R098,genie,1304953.95839,91.6058394161,24,10,0.912444116035,92.700729927
qwen,Qwen 3 32B,R099,geographer,150553.177988,19.7080291971,221,10,0.297339299451,17.5182481752
qwen,Qwen 3 32B,R100,ghost,439771.358455,50.7299270073,136,10,0.500751459904,47.4452554745
qwen,Qwen 3 32B,R101,golem,330246.196226,42.3357664234,159,10,0.362683993788,26.6423357664
qwen,Qwen 3 32B,R102,gossip,1486564.60116,94.1605839416,17,10,1.04386980785,95.9854014599
qwen,Qwen 3 32B,R103,grader,116533.100418,5.47445255474,260,10,0.247997511372,7.66423357664
qwen,Qwen 3 32B,R104,graduate,923889.480491,85.7664233577,40,10,0.767498357767,85.401459854
qwen,Qwen 3 32B,R105,grandparent,1647844.26181,96.3503649635,11,10,0.927716024215,93.4306569343
qwen,Qwen 3 32B,R106,guardian,277040.696914,39.0510948905,168,10,0.458052164699,40.5109489051
qwen,Qwen 3 32B,R107,guide,169787.629382,24.4525547445,208,10,0.360944464346,26.2773722628
qwen,Qwen 3 32B,R108,guru,465366.838673,52.9197080292,130,10,0.507723473462,48.9051094891
qwen,Qwen 3 32B,R109,hacker,1126429.33184,90.1459854015,28,10,0.800767955544,89.0510948905
qwen,Qwen 3 32B,R110,healer,1924174.0914,97.8102189781,7,10,1.07067263572,97.4452554745
qwen,Qwen 3 32B,R111,hedonist,726773.44863,75.5474452555,68,10,0.727192319428,79.5620437956
qwen,Qwen 3 32B,R112,hermit,383427.312789,45.9854014599,149,10,0.458971070335,40.8759124088
qwen,Qwen 3 32B,R113,historian,173123.425843,25.1824817518,206,10,0.311301612154,20.4379562044
qwen,Qwen 3 32B,R114,hive,697071.204348,72.9927007299,75,10,0.661608025971,67.8832116788
qwen,Qwen 3 32B,R115,hoarder,1092129.30602,89.4160583942,30,10,0.862821490911,90.8759124088
qwen,Qwen 3 32B,R116,homunculus,840196.850763,81.3868613139,52,10,0.737213442587,82.8467153285
qwen,Qwen 3 32B,R117,hybrid,222477.390659,33.9416058394,182,10,0.40445555957,34.3065693431
qwen,Qwen 3 32B,R118,idealist,817597.102234,81.0218978102,53,10,0.785277598018,88.3211678832
qwen,Qwen 3 32B,R119,immigrant,678880.808787,69.7080291971,84,10,0.663296407895,68.2481751825
qwen,Qwen 3 32B,R120,improviser,747163.900754,77.3722627737,63,10,0.665441845045,68.6131386861
qwen,Qwen 3 32B,R121,infant,2400235.3147,99.2700729927,3,10,1.18698649806,98.5401459854
qwen,Qwen 3 32B,R122,influencer,1369518.68346,92.700729927,21,10,0.887920710048,91.9708029197
qwen,Qwen 3 32B,R123,instructor,124950.108345,12.4087591241,241,10,0.254920879135,9.85401459854
qwen,Qwen 3 32B,R124,interpreter,119741.197183,8.02919708029,253,10,0.336346602991,22.9927007299
qwen,Qwen 3 32B,R125,interviewer,151427.512711,20.802919708,218,10,0.289561424141,15.6934306569
qwen,Qwen 3 32B,R126,jester,844796.479549,82.1167883212,50,10,0.690181886288,72.6277372263
qwen,Qwen 3 32B,R127,journalist,102716.801882,1.09489051095,272,10,0.276141208105,13.8686131387
qwen,Qwen 3 32B,R128,judge,125863.787804,12.7737226277,240,10,0.250149191099,8.39416058394
qwen,Qwen 3 32B,R129,lawyer,182824.611348,27.0072992701,201,10,0.268778019747,12.0437956204
qwen,Qwen 3 32B,R130,leviathan,893759.599132,83.9416058394,45,10,0.733052272854,81.3868613139
qwen,Qwen 3 32B,R131,librarian,102034.622405,0.729927007299,273,10,0.257468840319,11.3138686131
qwen,Qwen 3 32B,R132,linguist,132018.919091,15.6934306569,232,10,0.251647004806,9.12408759124
qwen,Qwen 3 32B,R133,loner,595870.905785,62.0437956204,105,10,0.652949191602,66.4233576642
qwen,Qwen 3 32B,R134,luddite,893964.418216,84.3065693431,44,10,0.782377668001,87.5912408759
qwen,Qwen 3 32B,R135,marketer,155320.080334,21.897810219,215,10,0.354579512859,25.5474452555
qwen,Qwen 3 32B,R136,martyr,394661.69648,47.0802919708,146,10,0.472167774124,42.3357664234
qwen,Qwen 3 32B,R137,mathematician,214964.002882,32.8467153285,185,10,0.428394057955,37.5912408759
qwen,Qwen 3 32B,R138,maverick,475068.921198,54.3795620438,126,10,0.469208552382,41.9708029197
qwen,Qwen 3 32B,R139,mechanic,735285.690277,76.2773722628,66,10,0.737738173427,83.2116788321
qwen,Qwen 3 32B,R140,mediator,239565.283295,35.401459854,178,10,0.392312519259,32.4817518248
qwen,Qwen 3 32B,R141,mentor,160226.21456,22.6277372263,213,10,0.293799791554,16.7883211679
qwen,Qwen 3 32B,R142,merchant,301107.235609,40.5109489051,164,10,0.436367093096,38.3211678832
qwen,Qwen 3 32B,R143,minimalist,594666.042409,61.6788321168,106,10,0.712368816827,75.9124087591
qwen,Qwen 3 32B,R144,moderator,204220.349307,31.3868613139,189,10,0.310585205168,20.0729927007
qwen,Qwen 3 32B,R145,musician,563413.399532,60.2189781022,110,10,0.673957119339,70.4379562044
qwen,Qwen 3 32B,R146,mycorrhizal,390802.038734,46.7153284672,147,10,0.487058218295,44.1605839416
